1,谷川 里江,谷川 里江.1,2,平田 忠則,平田 忠則.1,3,吉岡 誠,吉岡 誠.1,4,秋田　健太郎,秋田　健太郎.1,5,宮下 元胤,宮下 元胤.1,6,東 健介,東 健介.1
2.0,3.0,25.8,1.0,3.0,25.6,1.0,2.0,289.9,1.0,2.0,285.5,1.0,2.0,28.5,1.0,2.0,808.3
2.0,4.0,32.4,1.0,4.0,28.3,1.0,4.0,601.8,1.0,3.0,871.4,1.0,3.0,128.3,1.0,3.0,1838.0
2.0,5.0,9.5,1.0,5.0,6.9,1.0,5.0,369.0,1.0,5.0,390.0,1.0,4.0,161.3,1.0,4.0,1932.0
2.0,6.0,58.5,1.0,6.0,38.5,1.0,6.0,873.9,1.0,6.0,667.0,1.0,6.0,67.0,1.0,5.0,842.1
3.0,2.0,69.6,3.0,1.0,60.7,2.0,1.0,285.7,2.0,1.0,288.2,2.0,1.0,21.6,2.0,1.0,716.1
3.0,4.0,127.3,3.0,4.0,78.9,2.0,4.0,356.8,2.0,3.0,505.0,2.0,3.0,57.6,2.0,3.0,1507.0
3.0,5.0,90.1,3.0,5.0,32.0,2.0,5.0,183.7,2.0,5.0,186.6,2.0,4.0,59.9,2.0,4.0,1054.0
3.0,6.0,269.9,3.0,6.0,141.5,2.0,6.0,567.8,2.0,6.0,441.4,2.0,6.0,29.8,2.0,5.0,342.2
4.0,2.0,97.7,4.0,1.0,70.1,4.0,1.0,835.1,3.0,1.0,1133.0,3.0,1.0,273.1,3.0,1.0,2644.0
4.0,3.0,221.5,4.0,3.0,99.2,4.0,2.0,565.6,3.0,2.0,773.0,3.0,2.0,156.0,3.0,2.0,2412.0
4.0,5.0,130.3,4.0,5.0,37.5,4.0,5.0,665.5,3.0,5.0,785.1,3.0,4.0,483.9,3.0,4.0,2079.0
4.0,6.0,304.8,4.0,6.0,128.9,4.0,6.0,936.3,3.0,6.0,1328.0,3.0,6.0,324.5,3.0,5.0,2319.0
5.0,2.0,20.8,5.0,1.0,9.6,5.0,1.0,471.8,5.0,1.0,351.8,4.0,1.0,261.2,4.0,1.0,2766.0
5.0,3.0,80.7,5.0,3.0,22.7,5.0,2.0,254.2,5.0,2.0,192.7,4.0,2.0,141.3,4.0,2.0,1816.0
5.0,4.0,94.3,5.0,4.0,22.9,5.0,4.0,620.3,5.0,3.0,628.1,4.0,3.0,438.2,4.0,3.0,2716.0
5.0,6.0,86.0,5.0,6.0,19.5,5.0,6.0,721.3,5.0,6.0,435.0,4.0,6.0,278.6,4.0,5.0,1884.0
6.0,2.0,256.8,6.0,1.0,133.1,6.0,1.0,1945.0,6.0,1.0,1201.0,6.0,1.0,105.6,5.0,1.0,744.4
6.0,3.0,607.8,6.0,3.0,283.9,6.0,2.0,1522.0,6.0,2.0,795.5,6.0,2.0,62.1,5.0,2.0,349.3
6.0,4.0,677.5,6.0,4.0,231.7,6.0,4.0,1595.0,6.0,3.0,1449.0,6.0,3.0,248.5,5.0,3.0,1389.0
6.0,5.0,308.2,6.0,5.0,60.8,6.0,5.0,1456.0,6.0,5.0,884.1,6.0,4.0,277.6,5.0,4.0,1230.0
