1,早川 尚人,早川 尚人.1,2,橋本 英一,橋本 英一.1,3,大久保信一郎,大久保信一郎.1,4,西村 秀樹,西村 秀樹.1,5,村上 功祐,村上 功祐.1,6,樋口 亮,樋口 亮.1
2.0,3.0,12.0,1.0,3.0,30.2,1.0,2.0,77.4,1.0,2.0,227.9,1.0,2.0,111.8,1.0,2.0,224.6
2.0,4.0,31.1,1.0,4.0,59.1,1.0,4.0,73.3,1.0,3.0,203.2,1.0,3.0,75.8,1.0,3.0,234.8
2.0,5.0,20.6,1.0,5.0,33.8,1.0,5.0,37.8,1.0,5.0,127.8,1.0,4.0,183.6,1.0,4.0,328.2
2.0,6.0,34.8,1.0,6.0,59.0,1.0,6.0,66.6,1.0,6.0,192.1,1.0,6.0,99.9,1.0,5.0,194.9
3.0,2.0,12.7,3.0,1.0,57.5,2.0,1.0,105.9,2.0,1.0,387.9,2.0,1.0,154.5,2.0,1.0,284.5
3.0,4.0,18.7,3.0,4.0,131.5,2.0,4.0,163.9,2.0,3.0,483.4,2.0,3.0,209.0,2.0,3.0,634.7
3.0,5.0,11.6,3.0,5.0,67.2,2.0,5.0,102.6,2.0,5.0,397.9,2.0,4.0,445.2,2.0,4.0,565.1
3.0,6.0,17.3,3.0,6.0,127.8,2.0,6.0,148.4,2.0,6.0,432.7,2.0,6.0,298.2,2.0,5.0,517.8
4.0,2.0,51.3,4.0,1.0,180.4,4.0,1.0,142.0,3.0,1.0,260.0,3.0,1.0,103.6,3.0,1.0,266.7
4.0,3.0,44.4,4.0,3.0,246.0,4.0,2.0,230.4,3.0,2.0,513.5,3.0,2.0,197.3,3.0,2.0,589.3
4.0,5.0,53.4,4.0,5.0,257.3,4.0,5.0,142.2,3.0,5.0,297.5,3.0,4.0,319.8,3.0,4.0,565.1
4.0,6.0,59.8,4.0,6.0,289.1,4.0,6.0,155.8,3.0,6.0,342.8,3.0,6.0,190.7,3.0,5.0,375.0
5.0,2.0,31.9,5.0,1.0,88.5,5.0,1.0,69.6,5.0,1.0,194.2,4.0,1.0,280.6,4.0,1.0,434.2
5.0,3.0,25.0,5.0,3.0,115.1,5.0,2.0,136.0,5.0,2.0,323.1,4.0,2.0,381.9,4.0,2.0,676.3
5.0,4.0,55.6,5.0,4.0,263.8,5.0,4.0,178.0,5.0,3.0,280.6,4.0,3.0,354.6,4.0,3.0,575.6
5.0,6.0,40.6,5.0,6.0,186.3,5.0,6.0,105.8,5.0,6.0,184.1,4.0,6.0,254.6,4.0,5.0,476.0
6.0,2.0,78.4,6.0,1.0,201.2,6.0,1.0,157.8,6.0,1.0,243.1,6.0,1.0,160.3,5.0,1.0,311.7
6.0,3.0,52.1,6.0,3.0,326.5,6.0,2.0,255.1,6.0,2.0,456.7,6.0,2.0,316.5,5.0,2.0,461.8
6.0,4.0,102.6,6.0,4.0,485.3,6.0,4.0,249.0,6.0,3.0,379.6,6.0,3.0,254.1,5.0,3.0,356.6
6.0,5.0,79.0,6.0,5.0,293.9,6.0,5.0,160.5,6.0,5.0,236.1,6.0,4.0,341.8,5.0,4.0,435.7
