1,中川 りな,中川 りな.1,2,喜井　つかさ,喜井　つかさ.1,3,蜂須 瑞生,蜂須 瑞生.1,4,藤本　紗弥香,藤本　紗弥香.1,5,嶋田 有里,嶋田 有里.1,6,大澤 真菜,大澤 真菜.1
2.0,3.0,4.5,1.0,3.0,12.3,1.0,2.0,36.8,1.0,2.0,107.3,1.0,2.0,76.5,1.0,2.0,519.8
2.0,4.0,12.0,1.0,4.0,29.9,1.0,4.0,84.8,1.0,3.0,162.9,1.0,3.0,119.6,1.0,3.0,1024.0
2.0,5.0,15.8,1.0,5.0,35.6,1.0,5.0,110.1,1.0,5.0,158.3,1.0,4.0,170.3,1.0,4.0,1545.0
2.0,6.0,34.0,1.0,6.0,58.8,1.0,6.0,193.1,1.0,6.0,305.3,1.0,6.0,180.8,1.0,5.0,1382.0
3.0,2.0,8.5,3.0,1.0,27.6,2.0,1.0,52.0,2.0,1.0,144.1,2.0,1.0,109.4,2.0,1.0,616.3
3.0,4.0,22.3,3.0,4.0,96.7,2.0,4.0,133.6,2.0,3.0,231.2,2.0,3.0,219.7,2.0,3.0,1083.0
3.0,5.0,26.3,3.0,5.0,99.8,2.0,5.0,167.2,2.0,5.0,271.2,2.0,4.0,284.5,2.0,4.0,1260.0
3.0,6.0,55.7,3.0,6.0,150.6,2.0,6.0,273.0,2.0,6.0,415.7,2.0,6.0,267.2,2.0,5.0,1358.0
4.0,2.0,30.3,4.0,1.0,98.7,4.0,1.0,210.3,3.0,1.0,323.8,3.0,1.0,293.4,3.0,1.0,1511.0
4.0,3.0,41.7,4.0,3.0,177.4,4.0,2.0,225.8,3.0,2.0,332.0,3.0,2.0,371.5,3.0,2.0,1309.0
4.0,5.0,59.3,4.0,5.0,240.5,4.0,5.0,406.1,3.0,5.0,582.8,3.0,4.0,759.2,3.0,4.0,2455.0
4.0,6.0,140.7,4.0,6.0,365.4,4.0,6.0,665.0,3.0,6.0,956.3,3.0,6.0,703.7,3.0,5.0,2694.0
5.0,2.0,42.0,5.0,1.0,99.2,5.0,1.0,236.1,5.0,1.0,201.2,4.0,1.0,279.4,4.0,1.0,1932.0
5.0,3.0,58.0,5.0,3.0,197.7,5.0,2.0,279.3,5.0,2.0,265.1,4.0,2.0,367.7,4.0,2.0,1370.0
5.0,4.0,87.4,5.0,4.0,306.1,5.0,4.0,527.3,5.0,3.0,449.8,4.0,3.0,620.3,4.0,3.0,2663.0
5.0,6.0,136.4,5.0,6.0,333.4,5.0,6.0,570.8,5.0,6.0,351.0,4.0,6.0,481.1,4.0,5.0,1654.0
6.0,2.0,149.3,6.0,1.0,227.7,6.0,1.0,664.0,6.0,1.0,711.1,6.0,1.0,370.9,5.0,1.0,1530.0
6.0,3.0,235.6,6.0,3.0,386.1,6.0,2.0,664.0,6.0,2.0,656.6,6.0,2.0,445.6,5.0,2.0,1450.0
6.0,4.0,316.6,6.0,4.0,619.5,6.0,4.0,1298.0,6.0,3.0,1099.0,6.0,3.0,699.5,5.0,3.0,2357.0
6.0,5.0,273.1,6.0,5.0,557.3,6.0,5.0,1149.0,6.0,5.0,627.8,6.0,4.0,638.0,5.0,4.0,1473.0
