1,川崎 公靖,川崎 公靖.1,2,近藤 友宝,近藤 友宝.1,3,石倉 洋行,石倉 洋行.1,4,木村 亮太,木村 亮太.1,5,向井田　佑紀,向井田　佑紀.1,6,川北 浩貴,川北 浩貴.1
2.0,3.0,24.2,1.0,3.0,49.7,1.0,2.0,29.1,1.0,2.0,240.6,1.0,2.0,252.9,1.0,2.0,362.0
2.0,4.0,51.4,1.0,4.0,88.9,1.0,4.0,23.3,1.0,3.0,194.1,1.0,3.0,132.1,1.0,3.0,147.6
2.0,5.0,69.6,1.0,5.0,106.0,1.0,5.0,20.3,1.0,5.0,282.4,1.0,4.0,282.4,1.0,4.0,508.0
2.0,6.0,55.1,1.0,6.0,94.8,1.0,6.0,17.7,1.0,6.0,239.7,1.0,6.0,170.7,1.0,5.0,289.1
3.0,2.0,18.4,3.0,1.0,85.0,2.0,1.0,60.7,2.0,1.0,345.8,2.0,1.0,452.2,2.0,1.0,667.3
3.0,4.0,20.8,3.0,4.0,99.0,2.0,4.0,67.7,2.0,3.0,402.1,2.0,3.0,332.7,2.0,3.0,365.2
3.0,5.0,21.4,3.0,5.0,114.7,2.0,5.0,68.1,2.0,5.0,599.2,2.0,4.0,705.4,2.0,4.0,851.3
3.0,6.0,15.4,3.0,6.0,85.0,2.0,6.0,48.2,2.0,6.0,421.3,2.0,6.0,394.4,2.0,5.0,653.1
4.0,2.0,76.1,4.0,1.0,182.8,4.0,1.0,48.5,3.0,1.0,177.8,3.0,1.0,135.6,3.0,1.0,158.6
4.0,3.0,53.1,4.0,3.0,169.5,4.0,2.0,69.3,3.0,2.0,275.5,3.0,2.0,247.3,3.0,2.0,282.4
4.0,5.0,117.9,4.0,5.0,330.0,4.0,5.0,40.3,3.0,5.0,144.5,3.0,4.0,222.8,3.0,4.0,297.4
4.0,6.0,83.8,4.0,6.0,240.1,4.0,6.0,29.3,3.0,6.0,129.5,3.0,6.0,104.0,3.0,5.0,141.7
5.0,2.0,107.9,5.0,1.0,296.7,5.0,1.0,45.9,5.0,1.0,338.2,4.0,1.0,505.9,4.0,1.0,823.0
5.0,3.0,54.3,5.0,3.0,281.2,5.0,2.0,80.0,5.0,2.0,516.5,4.0,2.0,713.5,4.0,2.0,1092.0
5.0,4.0,154.1,5.0,4.0,529.8,5.0,4.0,59.0,5.0,3.0,262.1,4.0,3.0,353.7,4.0,3.0,487.9
5.0,6.0,81.2,5.0,6.0,298.9,5.0,6.0,23.7,5.0,6.0,202.0,4.0,6.0,303.3,4.0,5.0,561.1
6.0,2.0,112.9,6.0,1.0,254.5,6.0,1.0,40.9,6.0,1.0,440.9,6.0,1.0,206.7,5.0,1.0,318.9
6.0,3.0,62.4,6.0,3.0,189.9,6.0,2.0,61.5,6.0,2.0,556.0,6.0,2.0,364.1,5.0,2.0,527.5
6.0,4.0,181.5,6.0,4.0,382.2,6.0,4.0,47.2,6.0,3.0,289.1,6.0,3.0,133.7,5.0,3.0,173.8
6.0,5.0,113.0,6.0,5.0,329.2,6.0,5.0,31.8,6.0,5.0,287.0,6.0,4.0,292.5,5.0,4.0,434.6
