1,中野 和裕,中野 和裕.1,2,芝田 浩治,芝田 浩治.1,3,川田 正人,川田 正人.1,4,飯田 庄吾,飯田 庄吾.1,5,榮田 将彦,榮田 将彦.1,6,寺島 吉彦,寺島 吉彦.1
2.0,3.0,13.8,1.0,3.0,10.7,1.0,2.0,47.7,1.0,2.0,258.3,1.0,2.0,145.2,1.0,2.0,175.8
2.0,4.0,54.2,1.0,4.0,44.9,1.0,4.0,179.5,1.0,3.0,301.3,1.0,3.0,222.6,1.0,3.0,268.7
2.0,5.0,37.0,1.0,5.0,27.4,1.0,5.0,113.7,1.0,5.0,246.3,1.0,4.0,379.0,1.0,4.0,576.7
2.0,6.0,30.1,1.0,6.0,18.3,1.0,6.0,77.5,1.0,6.0,241.9,1.0,6.0,135.9,1.0,5.0,341.1
3.0,2.0,21.1,3.0,1.0,15.4,2.0,1.0,42.0,2.0,1.0,355.0,2.0,1.0,149.4,2.0,1.0,174.4
3.0,4.0,59.5,3.0,4.0,45.7,2.0,4.0,107.6,2.0,3.0,338.8,2.0,3.0,130.2,2.0,3.0,109.8
3.0,5.0,48.6,3.0,5.0,24.7,2.0,5.0,58.3,2.0,5.0,325.7,2.0,4.0,328.9,2.0,4.0,372.0
3.0,6.0,37.9,3.0,6.0,13.1,2.0,6.0,33.8,2.0,6.0,234.6,2.0,6.0,98.5,2.0,5.0,220.4
4.0,2.0,131.3,4.0,1.0,147.3,4.0,1.0,365.9,3.0,1.0,609.9,3.0,1.0,364.6,3.0,1.0,323.6
4.0,3.0,145.3,4.0,3.0,107.1,4.0,2.0,228.4,3.0,2.0,525.5,3.0,2.0,210.3,3.0,2.0,146.5
4.0,5.0,173.3,4.0,5.0,207.9,4.0,5.0,479.2,3.0,5.0,871.3,3.0,4.0,740.0,3.0,4.0,842.2
4.0,6.0,158.0,4.0,6.0,136.0,4.0,6.0,313.0,3.0,6.0,602.6,3.0,6.0,256.7,3.0,5.0,549.9
5.0,2.0,81.7,5.0,1.0,81.9,5.0,1.0,197.1,5.0,1.0,266.6,4.0,1.0,372.7,4.0,1.0,879.0
5.0,3.0,114.0,5.0,3.0,58.3,5.0,2.0,119.3,5.0,2.0,253.8,4.0,2.0,340.5,4.0,2.0,528.3
5.0,4.0,209.4,5.0,4.0,196.5,5.0,4.0,399.3,5.0,3.0,494.5,4.0,3.0,578.4,4.0,3.0,1076.0
5.0,6.0,116.6,5.0,6.0,66.3,5.0,6.0,178.7,5.0,6.0,184.5,4.0,6.0,269.1,4.0,5.0,597.3
6.0,2.0,75.0,6.0,1.0,52.2,6.0,1.0,141.6,6.0,1.0,394.6,6.0,1.0,145.1,5.0,1.0,308.7
6.0,3.0,94.0,6.0,3.0,31.5,6.0,2.0,72.0,6.0,2.0,318.5,6.0,2.0,108.8,5.0,2.0,196.0
6.0,4.0,215.5,6.0,4.0,141.0,6.0,4.0,367.9,6.0,3.0,578.4,6.0,3.0,175.4,5.0,3.0,325.7
6.0,5.0,152.7,6.0,5.0,80.0,6.0,5.0,221.4,6.0,5.0,294.7,6.0,4.0,259.7,5.0,4.0,426.4
