1,桐本 康臣,桐本 康臣.1,2,新田 智彰,新田 智彰.1,3,宮野 仁,宮野 仁.1,4,大西 隆洋,大西 隆洋.1,5,玄馬 徹,玄馬 徹.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,5.8,1.0,3.0,27.8,1.0,2.0,62.8,1.0,2.0,135.6,1.0,2.0,669.4,1.0,2.0,163.4
2.0,4.0,8.9,1.0,4.0,34.9,1.0,4.0,85.2,1.0,3.0,191.7,1.0,3.0,916.3,1.0,3.0,236.3
2.0,5.0,29.5,1.0,5.0,89.8,1.0,5.0,157.5,1.0,5.0,281.7,1.0,4.0,894.1,1.0,4.0,312.6
2.0,6.0,9.9,1.0,6.0,37.3,1.0,6.0,85.8,1.0,6.0,130.8,1.0,6.0,811.8,1.0,5.0,578.4
3.0,2.0,8.8,3.0,1.0,70.6,2.0,1.0,99.2,2.0,1.0,220.2,2.0,1.0,852.9,2.0,1.0,283.2
3.0,4.0,14.5,3.0,4.0,129.2,2.0,4.0,148.8,2.0,3.0,426.9,2.0,3.0,1638.0,2.0,3.0,591.3
3.0,5.0,41.2,3.0,5.0,255.8,2.0,5.0,265.5,2.0,5.0,512.7,2.0,4.0,1729.0,2.0,4.0,640.4
3.0,6.0,17.1,3.0,6.0,129.9,2.0,6.0,148.1,2.0,6.0,297.1,2.0,6.0,1356.0,2.0,5.0,1111.0
4.0,2.0,21.9,4.0,1.0,112.3,4.0,1.0,194.5,3.0,1.0,340.2,3.0,1.0,1069.0,3.0,1.0,544.4
4.0,3.0,28.0,4.0,3.0,213.1,4.0,2.0,254.6,3.0,2.0,485.8,3.0,2.0,1667.0,3.0,2.0,643.8
4.0,5.0,67.1,4.0,5.0,326.7,4.0,5.0,465.6,3.0,5.0,817.2,3.0,4.0,2484.0,3.0,4.0,1039.0
4.0,6.0,35.9,4.0,6.0,199.3,4.0,6.0,264.0,3.0,6.0,429.9,3.0,6.0,1602.0,3.0,5.0,1958.0
5.0,2.0,100.7,5.0,1.0,302.6,5.0,1.0,436.0,5.0,1.0,432.9,4.0,1.0,1085.0,4.0,1.0,440.1
5.0,3.0,135.4,5.0,3.0,600.9,5.0,2.0,496.9,5.0,2.0,607.8,4.0,2.0,1582.0,4.0,2.0,572.1
5.0,4.0,146.0,5.0,4.0,678.0,5.0,4.0,718.8,5.0,3.0,907.3,4.0,3.0,2079.0,4.0,3.0,911.8
5.0,6.0,146.0,5.0,6.0,716.0,5.0,6.0,956.5,5.0,6.0,426.4,4.0,6.0,1346.0,4.0,5.0,932.4
6.0,2.0,27.7,6.0,1.0,123.7,6.0,1.0,216.4,6.0,1.0,209.1,6.0,1.0,1346.0,5.0,1.0,1391.0
6.0,3.0,39.3,6.0,3.0,235.9,6.0,2.0,238.0,6.0,2.0,322.4,6.0,2.0,2022.0,5.0,2.0,1869.0
6.0,4.0,53.8,6.0,4.0,289.6,6.0,4.0,352.9,6.0,3.0,450.9,6.0,3.0,2892.0,5.0,3.0,2467.0
6.0,5.0,125.2,6.0,5.0,522.1,6.0,5.0,733.0,6.0,5.0,432.9,6.0,4.0,1898.0,5.0,4.0,1958.0
