1,西川　新太郎,西川　新太郎.1,2,岡部 大輔,岡部 大輔.1,3,河合 三弘,河合 三弘.1,4,中辻 崇人,中辻 崇人.1,5,渡辺 史之,渡辺 史之.1,6,江藤 敦宏,江藤 敦宏.1
2.0,3.0,35.3,1.0,3.0,89.2,1.0,2.0,325.2,1.0,2.0,8.3,1.0,2.0,424.3,1.0,2.0,1429.0
2.0,4.0,14.0,1.0,4.0,33.6,1.0,4.0,217.0,1.0,3.0,18.1,1.0,3.0,923.7,1.0,3.0,2536.0
2.0,5.0,96.9,1.0,5.0,189.5,1.0,5.0,641.5,1.0,5.0,16.5,1.0,4.0,323.1,1.0,4.0,1157.0
2.0,6.0,133.9,1.0,6.0,226.4,1.0,6.0,1070.0,1.0,6.0,22.9,1.0,6.0,596.9,1.0,5.0,2109.0
3.0,2.0,62.5,3.0,1.0,242.6,2.0,1.0,450.0,2.0,1.0,13.2,2.0,1.0,578.1,2.0,1.0,1798.0
3.0,4.0,46.2,3.0,4.0,235.0,2.0,4.0,395.3,2.0,3.0,34.9,2.0,3.0,1088.0,2.0,3.0,3324.0
3.0,5.0,186.3,3.0,5.0,722.8,2.0,5.0,1049.0,2.0,5.0,24.9,2.0,4.0,491.3,2.0,4.0,1555.0
3.0,6.0,272.3,3.0,6.0,977.2,2.0,6.0,1899.0,2.0,6.0,31.0,2.0,6.0,759.1,2.0,5.0,3090.0
4.0,2.0,9.5,4.0,1.0,40.3,4.0,1.0,224.9,3.0,1.0,50.2,3.0,1.0,1545.0,3.0,1.0,3917.0
4.0,3.0,21.7,4.0,3.0,111.2,4.0,2.0,304.9,3.0,2.0,67.2,3.0,2.0,2099.0,3.0,2.0,4930.0
4.0,5.0,36.6,4.0,5.0,164.8,4.0,5.0,725.2,3.0,5.0,123.9,3.0,4.0,1424.0,3.0,4.0,3226.0
4.0,6.0,45.8,4.0,6.0,187.2,4.0,6.0,925.7,3.0,6.0,129.2,3.0,6.0,2867.0,3.0,5.0,4344.0
5.0,2.0,207.8,5.0,1.0,459.4,5.0,1.0,1113.0,5.0,1.0,17.3,4.0,1.0,228.6,4.0,1.0,868.8
5.0,3.0,280.5,5.0,3.0,800.7,5.0,2.0,1769.0,5.0,2.0,21.5,4.0,2.0,277.8,4.0,2.0,1113.0
5.0,4.0,154.7,5.0,4.0,431.0,5.0,4.0,1333.0,5.0,3.0,83.8,4.0,3.0,618.8,4.0,3.0,1776.0
5.0,6.0,328.4,5.0,6.0,835.7,5.0,6.0,2984.0,5.0,6.0,25.9,4.0,6.0,293.8,4.0,5.0,1151.0
6.0,2.0,342.5,6.0,1.0,694.2,6.0,1.0,3005.0,6.0,1.0,33.3,6.0,1.0,867.1,5.0,1.0,2297.0
6.0,3.0,635.0,6.0,3.0,1958.0,6.0,2.0,3226.0,6.0,2.0,34.7,6.0,2.0,863.7,5.0,2.0,2849.0
6.0,4.0,281.6,6.0,4.0,655.8,6.0,4.0,2742.0,6.0,3.0,128.6,6.0,3.0,2250.0,5.0,3.0,3656.0
6.0,5.0,500.9,6.0,5.0,1477.0,6.0,5.0,3917.0,6.0,5.0,42.3,6.0,4.0,652.9,5.0,4.0,1700.0
