1,菊池 宏志,菊池 宏志.1,2,森岡 まき,森岡 まき.1,3,松尾 充,松尾 充.1,4,吉永 浩則,吉永 浩則.1,5,前田 聖文,前田 聖文.1,6,井上 忠政,井上 忠政.1
2.0,3.0,29.4,1.0,3.0,85.5,1.0,2.0,61.1,1.0,2.0,490.5,1.0,2.0,73.4,1.0,2.0,384.9
2.0,4.0,65.0,1.0,4.0,226.4,1.0,4.0,74.1,1.0,3.0,409.7,1.0,3.0,44.9,1.0,3.0,199.9
2.0,5.0,30.8,1.0,5.0,81.9,1.0,5.0,18.7,1.0,5.0,434.9,1.0,4.0,225.5,1.0,4.0,799.2
2.0,6.0,53.4,1.0,6.0,127.7,1.0,6.0,27.7,1.0,6.0,503.9,1.0,6.0,35.9,1.0,5.0,167.1
3.0,2.0,25.8,3.0,1.0,149.7,2.0,1.0,140.0,2.0,1.0,826.6,2.0,1.0,141.7,2.0,1.0,744.9
3.0,4.0,44.0,3.0,4.0,373.0,2.0,4.0,270.2,2.0,3.0,993.2,2.0,3.0,156.3,2.0,3.0,622.0
3.0,5.0,11.1,3.0,5.0,126.3,2.0,5.0,106.1,2.0,5.0,957.8,2.0,4.0,552.3,2.0,4.0,1598.0
3.0,6.0,15.1,3.0,6.0,201.8,2.0,6.0,142.4,2.0,6.0,1133.0,2.0,6.0,103.8,2.0,5.0,464.1
4.0,2.0,134.6,4.0,1.0,583.0,4.0,1.0,168.6,3.0,1.0,457.1,3.0,1.0,56.3,3.0,1.0,228.5
4.0,3.0,112.6,4.0,3.0,703.7,4.0,2.0,296.5,3.0,2.0,793.9,3.0,2.0,126.5,3.0,2.0,400.9
4.0,5.0,119.3,4.0,5.0,749.5,4.0,5.0,115.4,3.0,5.0,367.9,3.0,4.0,192.0,3.0,4.0,593.0
4.0,6.0,148.1,4.0,6.0,890.6,4.0,6.0,127.4,3.0,6.0,447.8,3.0,6.0,38.8,3.0,5.0,111.2
5.0,2.0,30.7,5.0,1.0,138.1,5.0,1.0,30.2,5.0,1.0,405.6,4.0,1.0,365.1,4.0,1.0,1250.0
5.0,3.0,20.0,5.0,3.0,159.5,5.0,2.0,72.5,5.0,2.0,655.8,4.0,2.0,514.6,4.0,2.0,1403.0
5.0,4.0,92.6,5.0,4.0,553.6,5.0,4.0,81.5,5.0,3.0,337.5,4.0,3.0,300.5,4.0,3.0,815.4
5.0,6.0,18.7,5.0,6.0,147.8,5.0,6.0,21.3,5.0,6.0,245.0,4.0,6.0,176.3,4.0,5.0,615.7
6.0,2.0,67.8,6.0,1.0,368.5,6.0,1.0,63.4,6.0,1.0,691.6,6.0,1.0,47.1,5.0,1.0,132.4
6.0,3.0,43.9,6.0,3.0,380.7,6.0,2.0,118.3,6.0,2.0,846.9,6.0,2.0,83.8,5.0,2.0,218.8
6.0,4.0,153.4,6.0,4.0,1054.0,6.0,4.0,139.1,6.0,3.0,531.6,6.0,3.0,43.9,5.0,3.0,87.0
6.0,5.0,39.4,6.0,5.0,289.0,6.0,5.0,34.2,6.0,5.0,393.1,6.0,4.0,156.5,5.0,4.0,365.1
