1,川原 正明,川原 正明.1,2,大賀 広幸,大賀 広幸.1,3,黒柳 浩孝,黒柳 浩孝.1,4,三苫 晃幸,三苫 晃幸.1,5,嶋 義信,嶋 義信.1,6,齊藤 優,齊藤 優.1
2.0,3.0,10.1,1.0,3.0,33.4,1.0,2.0,42.6,1.0,2.0,92.7,1.0,2.0,238.7,1.0,2.0,1459.0
2.0,4.0,13.9,1.0,4.0,39.6,1.0,4.0,26.9,1.0,3.0,78.9,1.0,3.0,209.3,1.0,3.0,1250.0
2.0,5.0,20.2,1.0,5.0,59.0,1.0,5.0,34.4,1.0,5.0,92.7,1.0,4.0,258.4,1.0,4.0,1514.0
2.0,6.0,39.7,1.0,6.0,116.9,1.0,6.0,81.2,1.0,6.0,184.6,1.0,6.0,311.1,1.0,5.0,1548.0
3.0,2.0,10.7,3.0,1.0,87.0,2.0,1.0,114.6,2.0,1.0,171.2,2.0,1.0,414.3,2.0,1.0,2431.0
3.0,4.0,9.2,3.0,4.0,110.0,2.0,4.0,143.8,2.0,3.0,202.2,2.0,3.0,524.0,2.0,3.0,2472.0
3.0,5.0,13.5,3.0,5.0,169.8,2.0,5.0,190.6,2.0,5.0,215.2,2.0,4.0,505.4,2.0,4.0,2283.0
3.0,6.0,36.8,3.0,6.0,335.1,2.0,6.0,309.8,2.0,6.0,453.3,2.0,6.0,692.2,2.0,5.0,2793.0
4.0,2.0,21.8,4.0,1.0,123.7,4.0,1.0,49.4,3.0,1.0,105.0,3.0,1.0,304.8,3.0,1.0,1500.0
4.0,3.0,19.0,4.0,3.0,151.4,4.0,2.0,91.7,3.0,2.0,164.1,3.0,2.0,529.5,3.0,2.0,2600.0
4.0,5.0,28.6,4.0,5.0,206.0,4.0,5.0,61.3,3.0,5.0,133.6,3.0,4.0,364.4,3.0,4.0,1765.0
4.0,6.0,63.8,4.0,6.0,383.4,4.0,6.0,125.0,3.0,6.0,265.3,3.0,6.0,602.0,3.0,5.0,2675.0
5.0,2.0,40.8,5.0,1.0,259.3,5.0,1.0,95.8,5.0,1.0,147.2,4.0,1.0,352.1,4.0,1.0,1904.0
5.0,3.0,38.5,5.0,3.0,345.1,5.0,2.0,175.6,5.0,2.0,207.9,4.0,2.0,504.6,4.0,2.0,2051.0
5.0,4.0,59.3,5.0,4.0,333.0,5.0,4.0,110.5,5.0,3.0,183.4,4.0,3.0,377.9,4.0,3.0,1915.0
5.0,6.0,79.0,5.0,6.0,592.1,5.0,6.0,210.1,5.0,6.0,236.6,4.0,6.0,504.9,4.0,5.0,1793.0
6.0,2.0,177.6,6.0,1.0,761.0,6.0,1.0,382.9,6.0,1.0,542.8,6.0,1.0,786.4,5.0,1.0,2055.0
6.0,3.0,183.2,6.0,3.0,1040.0,6.0,2.0,623.5,6.0,2.0,796.3,6.0,2.0,1025.0,5.0,2.0,2675.0
6.0,4.0,238.7,6.0,4.0,1123.0,6.0,4.0,439.1,6.0,3.0,701.3,6.0,3.0,996.4,5.0,3.0,2668.0
6.0,5.0,203.4,6.0,5.0,1162.0,6.0,5.0,463.7,6.0,5.0,519.7,6.0,4.0,923.6,5.0,4.0,1952.0
