1,前田 紗希,前田 紗希.1,2,出口　舞有子,出口　舞有子.1,3,田中 博子,田中 博子.1,4,村上 奈穂,村上 奈穂.1,5,細川 裕子,細川 裕子.1,6,喜井　つかさ,喜井　つかさ.1
2.0,3.0,41.5,1.0,3.0,96.0,1.0,2.0,465.8,1.0,2.0,219.1,1.0,2.0,21.0,1.0,2.0,363.4
2.0,4.0,14.7,1.0,4.0,36.3,1.0,4.0,938.9,1.0,3.0,757.6,1.0,3.0,173.2,1.0,3.0,1227.0
2.0,5.0,4.9,1.0,5.0,12.7,1.0,5.0,462.2,1.0,5.0,167.4,1.0,4.0,62.8,1.0,4.0,719.7
2.0,6.0,19.0,1.0,6.0,40.1,1.0,6.0,1021.0,1.0,6.0,336.6,1.0,6.0,30.9,1.0,5.0,218.8
3.0,2.0,97.1,3.0,1.0,349.8,2.0,1.0,669.6,2.0,1.0,299.6,2.0,1.0,40.0,2.0,1.0,552.8
3.0,4.0,152.1,3.0,4.0,634.9,2.0,4.0,1289.0,2.0,3.0,1325.0,2.0,3.0,370.5,2.0,3.0,1984.0
3.0,5.0,93.1,3.0,5.0,464.2,2.0,5.0,936.3,2.0,5.0,373.6,2.0,4.0,158.5,2.0,4.0,1460.0
3.0,6.0,208.5,3.0,6.0,859.8,2.0,6.0,1601.0,2.0,6.0,686.9,2.0,6.0,83.7,2.0,5.0,640.4
4.0,2.0,30.7,4.0,1.0,134.1,4.0,1.0,1717.0,3.0,1.0,1669.0,3.0,1.0,493.6,3.0,1.0,2376.0
4.0,3.0,138.3,4.0,3.0,556.6,4.0,2.0,2052.0,3.0,2.0,1872.0,3.0,2.0,787.3,3.0,2.0,2797.0
4.0,5.0,27.1,4.0,5.0,153.1,4.0,5.0,2111.0,3.0,5.0,1915.0,3.0,4.0,1616.0,3.0,4.0,3545.0
4.0,6.0,66.9,4.0,6.0,308.3,4.0,6.0,2609.0,3.0,6.0,2367.0,3.0,6.0,1024.0,3.0,5.0,2651.0
5.0,2.0,6.8,5.0,1.0,27.8,5.0,1.0,656.3,5.0,1.0,206.9,4.0,1.0,173.4,4.0,1.0,1315.0
5.0,3.0,60.9,5.0,3.0,239.4,5.0,2.0,1065.0,5.0,2.0,305.7,4.0,2.0,271.3,4.0,2.0,1883.0
5.0,4.0,20.6,5.0,4.0,95.5,5.0,4.0,2014.0,5.0,3.0,1018.0,4.0,3.0,1103.0,4.0,3.0,3583.0
5.0,6.0,13.7,5.0,6.0,66.7,5.0,6.0,1320.0,5.0,6.0,317.9,4.0,6.0,266.1,4.0,5.0,1183.0
6.0,2.0,69.1,6.0,1.0,191.6,6.0,1.0,1949.0,6.0,1.0,731.6,6.0,1.0,62.9,5.0,1.0,228.2
6.0,3.0,273.4,6.0,3.0,866.5,6.0,2.0,2384.0,6.0,2.0,1035.0,6.0,2.0,99.2,5.0,2.0,455.6
6.0,4.0,131.8,6.0,4.0,528.6,6.0,4.0,3281.0,6.0,3.0,2187.0,6.0,3.0,444.3,5.0,3.0,1333.0
6.0,5.0,49.2,6.0,5.0,198.1,6.0,5.0,1726.0,6.0,5.0,649.9,6.0,4.0,210.4,5.0,4.0,679.9
