1,日高 逸子,日高 逸子.1,2,國崎 良春,國崎 良春.1,3,石田 勇斗,石田 勇斗.1,4,渡辺 空依,渡辺 空依.1,5,後藤 陽介,後藤 陽介.1,6,鶴本 崇文,鶴本 崇文.1
2.0,3.0,13.4,1.0,3.0,43.2,1.0,2.0,114.0,1.0,2.0,54.9,1.0,2.0,82.3,1.0,2.0,221.5
2.0,4.0,9.2,1.0,4.0,27.5,1.0,4.0,147.9,1.0,3.0,169.1,1.0,3.0,264.5,1.0,3.0,691.6
2.0,5.0,11.9,1.0,5.0,32.7,1.0,5.0,159.4,1.0,5.0,66.8,1.0,4.0,114.6,1.0,4.0,453.6
2.0,6.0,17.0,1.0,6.0,32.3,1.0,6.0,206.9,1.0,6.0,76.8,1.0,6.0,88.6,1.0,5.0,446.4
3.0,2.0,26.9,3.0,1.0,96.7,2.0,1.0,138.3,2.0,1.0,66.8,2.0,1.0,119.5,2.0,1.0,268.8
3.0,4.0,37.0,3.0,4.0,142.3,2.0,4.0,173.8,2.0,3.0,167.8,2.0,3.0,349.1,2.0,3.0,784.1
3.0,5.0,57.5,3.0,5.0,164.0,2.0,5.0,207.4,2.0,5.0,90.8,2.0,4.0,184.6,2.0,4.0,588.9
3.0,6.0,80.2,3.0,6.0,238.2,2.0,6.0,297.6,2.0,6.0,120.8,2.0,6.0,158.4,2.0,5.0,540.3
4.0,2.0,18.7,4.0,1.0,58.6,4.0,1.0,188.0,3.0,1.0,225.7,3.0,1.0,486.7,3.0,1.0,1172.0
4.0,3.0,48.0,4.0,3.0,132.0,4.0,2.0,195.5,3.0,2.0,261.0,3.0,2.0,588.9,3.0,2.0,1345.0
4.0,5.0,31.2,4.0,5.0,101.1,4.0,5.0,247.3,3.0,5.0,318.0,3.0,4.0,598.8,3.0,4.0,1465.0
4.0,6.0,45.5,4.0,6.0,127.6,4.0,6.0,339.5,3.0,6.0,363.0,3.0,6.0,697.7,3.0,5.0,1643.0
5.0,2.0,25.1,5.0,1.0,85.4,5.0,1.0,259.6,5.0,1.0,61.2,4.0,1.0,127.2,4.0,1.0,614.7
5.0,3.0,67.8,5.0,3.0,196.1,5.0,2.0,276.6,5.0,2.0,73.8,4.0,2.0,152.2,4.0,2.0,624.5
5.0,4.0,44.9,5.0,4.0,141.8,5.0,4.0,374.8,5.0,3.0,205.7,4.0,3.0,390.4,4.0,3.0,1340.0
5.0,6.0,49.1,5.0,6.0,149.8,5.0,6.0,511.5,5.0,6.0,69.1,4.0,6.0,127.0,4.0,5.0,558.0
6.0,2.0,55.4,6.0,1.0,119.3,6.0,1.0,549.4,6.0,1.0,123.4,6.0,1.0,165.3,5.0,1.0,518.9
6.0,3.0,161.0,6.0,3.0,370.2,6.0,2.0,673.8,6.0,2.0,168.7,6.0,2.0,207.5,5.0,2.0,526.5
6.0,4.0,102.7,6.0,4.0,240.5,6.0,4.0,749.6,6.0,3.0,400.0,6.0,3.0,540.3,5.0,3.0,1267.0
6.0,5.0,102.6,6.0,5.0,239.3,6.0,5.0,854.0,6.0,5.0,129.4,6.0,4.0,208.5,5.0,4.0,544.8
