1,國弘 翔平,國弘 翔平.1,2,高山 秀雄,高山 秀雄.1,3,金子 順一,金子 順一.1,4,山崎 善庸,山崎 善庸.1,5,久田 敏之,久田 敏之.1,6,広次 修,広次 修.1
2.0,3.0,38.5,1.0,3.0,131.1,1.0,2.0,237.5,1.0,2.0,280.9,1.0,2.0,17.1,1.0,2.0,196.9
2.0,4.0,48.4,1.0,4.0,147.1,1.0,4.0,346.6,1.0,3.0,366.0,1.0,3.0,42.7,1.0,3.0,423.3
2.0,5.0,15.0,1.0,5.0,48.4,1.0,5.0,128.9,1.0,5.0,167.2,1.0,4.0,50.0,1.0,4.0,536.4
2.0,6.0,36.2,1.0,6.0,115.8,1.0,6.0,317.4,1.0,6.0,272.9,1.0,6.0,13.5,1.0,5.0,87.4
3.0,2.0,54.1,3.0,1.0,238.8,2.0,1.0,316.6,2.0,1.0,429.1,2.0,1.0,40.0,2.0,1.0,289.4
3.0,4.0,83.4,3.0,4.0,316.6,2.0,4.0,382.9,2.0,3.0,501.8,2.0,3.0,99.5,2.0,3.0,824.2
3.0,5.0,28.3,3.0,5.0,186.3,2.0,5.0,228.7,2.0,5.0,348.6,2.0,4.0,121.4,2.0,4.0,864.2
3.0,6.0,63.1,3.0,6.0,488.0,2.0,6.0,503.8,2.0,6.0,592.6,2.0,6.0,40.0,2.0,5.0,243.0
4.0,2.0,68.5,4.0,1.0,284.1,4.0,1.0,484.2,3.0,1.0,610.0,3.0,1.0,121.4,3.0,1.0,745.2
4.0,3.0,102.4,4.0,3.0,405.3,4.0,2.0,449.3,3.0,2.0,536.4,3.0,2.0,166.3,3.0,2.0,1091.0
4.0,5.0,42.2,4.0,5.0,239.8,4.0,5.0,368.2,3.0,5.0,435.1,3.0,4.0,231.7,3.0,4.0,1367.0
4.0,6.0,97.7,4.0,6.0,469.6,4.0,6.0,655.0,3.0,6.0,876.4,3.0,6.0,123.8,3.0,5.0,390.1
5.0,2.0,10.8,5.0,1.0,58.7,5.0,1.0,148.1,5.0,1.0,145.0,4.0,1.0,103.5,4.0,1.0,876.4
5.0,3.0,20.2,5.0,3.0,136.9,5.0,2.0,188.2,5.0,2.0,229.2,4.0,2.0,141.9,4.0,2.0,1091.0
5.0,4.0,25.8,5.0,4.0,167.9,5.0,4.0,270.5,5.0,3.0,302.0,4.0,3.0,245.4,4.0,3.0,1857.0
5.0,6.0,11.7,5.0,6.0,90.9,5.0,6.0,177.5,5.0,6.0,133.5,4.0,6.0,74.6,4.0,5.0,402.7
6.0,2.0,57.0,6.0,1.0,217.5,6.0,1.0,510.0,6.0,1.0,406.7,6.0,1.0,22.7,5.0,1.0,82.7
6.0,3.0,130.8,6.0,3.0,754.2,6.0,2.0,846.6,6.0,2.0,699.1,6.0,2.0,34.7,5.0,2.0,147.9
6.0,4.0,137.8,6.0,4.0,740.8,6.0,4.0,1072.0,6.0,3.0,1003.0,6.0,3.0,76.0,5.0,3.0,229.6
6.0,5.0,37.7,6.0,5.0,193.5,6.0,5.0,343.8,6.0,5.0,268.8,6.0,4.0,67.2,5.0,4.0,237.0
