1,大橋　栄里佳,大橋　栄里佳.1,2,来田 衣織,来田 衣織.1,3,加藤 奈月,加藤 奈月.1,4,沼田 七華,沼田 七華.1,5,畑田 希咲,畑田 希咲.1,6,中尾 優香,中尾 優香.1
2.0,3.0,3.4,1.0,3.0,13.4,1.0,2.0,27.5,1.0,2.0,174.0,1.0,2.0,609.1,1.0,2.0,251.1
2.0,4.0,11.8,1.0,4.0,41.8,1.0,4.0,63.7,1.0,3.0,249.5,1.0,3.0,682.3,1.0,3.0,384.3
2.0,5.0,49.2,1.0,5.0,125.0,1.0,5.0,123.0,1.0,5.0,390.3,1.0,4.0,848.3,1.0,4.0,599.7
2.0,6.0,13.9,1.0,6.0,42.0,1.0,6.0,82.0,1.0,6.0,260.4,1.0,6.0,919.2,1.0,5.0,1261.0
3.0,2.0,5.2,3.0,1.0,31.5,2.0,1.0,42.8,2.0,1.0,249.3,2.0,1.0,1114.0,2.0,1.0,372.5
3.0,4.0,17.0,3.0,4.0,98.5,2.0,4.0,135.6,2.0,3.0,412.2,2.0,3.0,1485.0,2.0,3.0,652.0
3.0,5.0,60.3,3.0,5.0,277.6,2.0,5.0,311.8,2.0,5.0,712.7,2.0,4.0,1261.0,2.0,4.0,1038.0
3.0,6.0,28.0,3.0,6.0,118.9,2.0,6.0,152.8,2.0,6.0,479.0,2.0,6.0,1359.0,2.0,5.0,1700.0
4.0,2.0,35.5,4.0,1.0,147.1,4.0,1.0,188.7,3.0,1.0,405.1,3.0,1.0,969.9,3.0,1.0,660.5
4.0,3.0,48.4,4.0,3.0,209.1,4.0,2.0,230.2,3.0,2.0,478.3,3.0,2.0,1431.0,3.0,2.0,834.3
4.0,5.0,174.9,4.0,5.0,490.3,4.0,5.0,471.3,3.0,5.0,1041.0,3.0,4.0,1498.0,3.0,4.0,1460.0
4.0,6.0,95.0,4.0,6.0,353.4,4.0,6.0,302.2,3.0,6.0,741.2,3.0,6.0,1734.0,3.0,5.0,2331.0
5.0,2.0,187.7,5.0,1.0,525.4,5.0,1.0,467.5,5.0,1.0,595.7,4.0,1.0,1338.0,4.0,1.0,994.5
5.0,3.0,226.8,5.0,3.0,802.0,5.0,2.0,714.1,5.0,2.0,844.3,4.0,2.0,1284.0,4.0,2.0,1284.0
5.0,4.0,288.3,5.0,4.0,986.2,5.0,4.0,721.4,5.0,3.0,1070.0,4.0,3.0,1645.0,4.0,3.0,1637.0
5.0,6.0,356.3,5.0,6.0,1050.0,5.0,6.0,818.7,5.0,6.0,699.9,4.0,6.0,1226.0,4.0,5.0,1585.0
6.0,2.0,58.2,6.0,1.0,177.0,6.0,1.0,255.6,6.0,1.0,461.4,6.0,1.0,2083.0,5.0,1.0,2316.0
6.0,3.0,84.4,6.0,3.0,274.2,6.0,2.0,342.8,6.0,2.0,566.9,6.0,2.0,2146.0,5.0,2.0,1989.0
6.0,4.0,174.9,6.0,4.0,480.9,6.0,4.0,511.0,6.0,3.0,832.3,6.0,3.0,2301.0,5.0,3.0,2316.0
6.0,5.0,360.0,6.0,5.0,1060.0,6.0,5.0,1023.0,6.0,5.0,884.6,6.0,4.0,1652.0,5.0,4.0,1742.0
