1,中島 昂章,中島 昂章.1,2,松本 博昭,松本 博昭.1,3,桑原 将光,桑原 将光.1,4,品田 直樹,品田 直樹.1,5,守屋 美穂,守屋 美穂.1,6,木村 光宏,木村 光宏.1
2.0,3.0,6.5,1.0,3.0,55.9,1.0,2.0,60.6,1.0,2.0,418.8,1.0,2.0,70.1,1.0,2.0,468.4
2.0,4.0,15.6,1.0,4.0,137.8,1.0,4.0,96.0,1.0,3.0,328.7,1.0,3.0,67.2,1.0,3.0,572.8
2.0,5.0,7.9,1.0,5.0,65.1,1.0,5.0,47.7,1.0,5.0,302.5,1.0,4.0,208.7,1.0,4.0,1089.0
2.0,6.0,39.4,1.0,6.0,172.5,1.0,6.0,140.4,1.0,6.0,563.4,1.0,6.0,161.1,1.0,5.0,615.4
3.0,2.0,8.8,3.0,1.0,128.5,2.0,1.0,126.7,2.0,1.0,699.1,2.0,1.0,170.0,2.0,1.0,850.9
3.0,4.0,14.9,3.0,4.0,433.2,2.0,4.0,372.5,2.0,3.0,1000.0,2.0,3.0,235.2,2.0,3.0,1325.0
3.0,5.0,8.0,3.0,5.0,188.3,2.0,5.0,186.5,2.0,5.0,1011.0,2.0,4.0,675.5,2.0,4.0,2277.0
3.0,6.0,36.0,3.0,6.0,553.6,2.0,6.0,481.4,2.0,6.0,1565.0,2.0,6.0,481.4,2.0,5.0,1329.0
4.0,2.0,34.4,4.0,1.0,469.5,4.0,1.0,231.3,3.0,1.0,485.7,3.0,1.0,146.0,3.0,1.0,962.9
4.0,3.0,33.0,4.0,3.0,709.6,4.0,2.0,404.2,3.0,2.0,878.4,3.0,2.0,265.0,3.0,2.0,1546.0
4.0,5.0,38.5,4.0,5.0,731.4,4.0,5.0,285.1,3.0,5.0,676.7,3.0,4.0,577.1,3.0,4.0,1991.0
4.0,6.0,76.7,4.0,6.0,1149.0,4.0,6.0,561.8,3.0,6.0,1207.0,3.0,6.0,554.4,3.0,5.0,1388.0
5.0,2.0,16.0,5.0,1.0,140.4,5.0,1.0,99.1,5.0,1.0,432.7,4.0,1.0,501.1,4.0,1.0,1873.0
5.0,3.0,15.8,5.0,3.0,204.0,5.0,2.0,176.9,5.0,2.0,750.2,4.0,2.0,825.0,4.0,2.0,2570.0
5.0,4.0,42.6,5.0,4.0,610.5,5.0,4.0,293.2,5.0,3.0,708.3,4.0,3.0,738.5,4.0,3.0,2502.0
5.0,6.0,47.0,5.0,6.0,426.8,5.0,6.0,245.2,5.0,6.0,694.0,4.0,6.0,802.4,4.0,5.0,2078.0
6.0,2.0,120.7,6.0,1.0,660.3,6.0,1.0,448.0,6.0,1.0,934.5,6.0,1.0,358.8,5.0,1.0,814.4
6.0,3.0,118.0,6.0,3.0,1050.0,6.0,2.0,835.9,6.0,2.0,1675.0,6.0,2.0,556.0,5.0,2.0,1226.0
6.0,4.0,176.8,6.0,4.0,1591.0,6.0,4.0,990.5,6.0,3.0,1604.0,6.0,3.0,566.8,5.0,3.0,1128.0
6.0,5.0,127.2,6.0,5.0,858.6,6.0,5.0,502.4,6.0,5.0,1125.0,6.0,4.0,812.7,5.0,4.0,1713.0
