1,笹木 香吾,笹木 香吾.1,2,山田 丈,山田 丈.1,3,高井 駿弥,高井 駿弥.1,4,井上 慧人,井上 慧人.1,5,大場 恒季,大場 恒季.1,6,上原　健次郎,上原　健次郎.1
2.0,3.0,22.6,1.0,3.0,36.8,1.0,2.0,246.2,1.0,2.0,136.4,1.0,2.0,44.3,1.0,2.0,153.9
2.0,4.0,21.0,1.0,4.0,38.9,1.0,4.0,521.1,1.0,3.0,461.4,1.0,3.0,173.1,1.0,3.0,592.0
2.0,5.0,7.3,1.0,5.0,12.6,1.0,5.0,260.1,1.0,5.0,128.4,1.0,4.0,145.4,1.0,4.0,612.2
2.0,6.0,12.3,1.0,6.0,21.6,1.0,6.0,514.4,1.0,6.0,155.2,1.0,6.0,60.4,1.0,5.0,211.6
3.0,2.0,41.2,3.0,1.0,131.1,2.0,1.0,339.0,2.0,1.0,164.8,2.0,1.0,53.4,2.0,1.0,168.7
3.0,4.0,102.3,3.0,4.0,298.7,2.0,4.0,432.8,2.0,3.0,507.9,2.0,3.0,175.2,2.0,3.0,583.4
3.0,5.0,51.4,3.0,5.0,115.2,2.0,5.0,239.9,2.0,5.0,139.6,2.0,4.0,158.9,2.0,4.0,673.7
3.0,6.0,107.7,3.0,6.0,167.7,2.0,6.0,498.5,2.0,6.0,180.5,2.0,6.0,56.4,2.0,5.0,161.6
4.0,2.0,52.2,4.0,1.0,118.6,4.0,1.0,875.1,3.0,1.0,852.0,3.0,1.0,332.7,3.0,1.0,1450.0
4.0,3.0,148.9,4.0,3.0,250.0,4.0,2.0,838.7,3.0,2.0,987.9,3.0,2.0,317.6,3.0,2.0,1309.0
4.0,5.0,65.5,4.0,5.0,131.0,4.0,5.0,843.1,3.0,5.0,920.1,3.0,4.0,861.1,3.0,4.0,2012.0
4.0,6.0,84.4,4.0,6.0,171.4,4.0,6.0,1267.0,3.0,6.0,821.5,3.0,6.0,437.5,3.0,5.0,1988.0
5.0,2.0,13.6,5.0,1.0,26.8,5.0,1.0,377.1,5.0,1.0,121.5,4.0,1.0,196.3,4.0,1.0,947.2
5.0,3.0,65.8,5.0,3.0,83.1,5.0,2.0,271.5,5.0,2.0,112.9,4.0,2.0,172.0,4.0,2.0,1000.0
5.0,4.0,57.0,5.0,4.0,104.9,5.0,4.0,920.1,5.0,3.0,372.7,4.0,3.0,670.9,4.0,3.0,2683.0
5.0,6.0,26.3,5.0,6.0,33.6,5.0,6.0,621.7,5.0,6.0,98.7,4.0,6.0,150.4,4.0,5.0,817.4
6.0,2.0,43.5,6.0,1.0,66.6,6.0,1.0,742.0,6.0,1.0,263.9,6.0,1.0,83.3,5.0,1.0,208.3
6.0,3.0,138.4,6.0,3.0,145.3,6.0,2.0,712.5,6.0,2.0,277.1,6.0,2.0,73.3,5.0,2.0,157.5
6.0,4.0,126.4,6.0,4.0,224.9,6.0,4.0,1769.0,6.0,3.0,834.3,6.0,3.0,302.6,5.0,3.0,756.0
6.0,5.0,54.0,6.0,5.0,59.1,6.0,5.0,861.1,6.0,5.0,201.7,6.0,4.0,193.0,5.0,4.0,534.9
