1,後藤 陽介,後藤 陽介.1,2,三馬 崇史,三馬 崇史.1,3,石田 勇斗,石田 勇斗.1,4,木村 亮太,木村 亮太.1,5,南 彩寧,南 彩寧.1,6,丸岡 正典,丸岡 正典.1
2.0,3.0,25.1,1.0,3.0,90.9,1.0,2.0,175.8,1.0,2.0,103.1,1.0,2.0,1754.0,1.0,2.0,23.1
2.0,4.0,19.5,1.0,4.0,70.8,1.0,4.0,169.9,1.0,3.0,152.2,1.0,3.0,1867.0,1.0,3.0,44.5
2.0,5.0,205.5,1.0,5.0,543.2,1.0,5.0,692.7,1.0,5.0,322.6,1.0,4.0,1402.0,1.0,4.0,24.0
2.0,6.0,11.0,1.0,6.0,42.2,1.0,6.0,80.4,1.0,6.0,38.6,1.0,6.0,807.3,1.0,5.0,217.7
3.0,2.0,30.7,3.0,1.0,219.2,2.0,1.0,248.9,2.0,1.0,174.0,2.0,1.0,2426.0,2.0,1.0,52.4
3.0,4.0,31.3,3.0,4.0,354.2,2.0,4.0,439.5,2.0,3.0,377.3,2.0,3.0,3718.0,2.0,3.0,106.2
3.0,5.0,239.5,3.0,5.0,1188.0,2.0,5.0,1294.0,2.0,5.0,754.6,2.0,4.0,2581.0,2.0,4.0,72.1
3.0,6.0,16.6,3.0,6.0,179.8,2.0,6.0,207.6,2.0,6.0,101.1,2.0,6.0,2412.0,2.0,5.0,396.9
4.0,2.0,24.7,4.0,1.0,160.3,4.0,1.0,240.0,3.0,1.0,299.3,3.0,1.0,3001.0,3.0,1.0,91.0
4.0,3.0,34.0,4.0,3.0,359.2,4.0,2.0,423.9,3.0,2.0,447.3,3.0,2.0,4605.0,3.0,2.0,149.6
4.0,5.0,223.7,4.0,5.0,1125.0,4.0,5.0,1044.0,3.0,5.0,998.1,3.0,4.0,3434.0,3.0,4.0,136.2
4.0,6.0,11.6,4.0,6.0,134.5,4.0,6.0,169.8,3.0,6.0,167.1,3.0,6.0,2078.0,3.0,5.0,527.6
5.0,2.0,649.4,5.0,1.0,1920.0,5.0,1.0,1667.0,5.0,1.0,565.2,4.0,1.0,1517.0,4.0,1.0,35.4
5.0,3.0,537.4,5.0,3.0,2226.0,5.0,2.0,2251.0,5.0,2.0,796.2,4.0,2.0,2456.0,4.0,2.0,53.2
5.0,4.0,577.3,5.0,4.0,2155.0,5.0,4.0,2251.0,5.0,3.0,1039.0,4.0,3.0,2719.0,4.0,3.0,91.1
5.0,6.0,249.0,5.0,6.0,1608.0,5.0,6.0,1246.0,5.0,6.0,323.9,4.0,6.0,904.6,4.0,5.0,246.6
6.0,2.0,11.1,6.0,1.0,67.5,6.0,1.0,90.0,6.0,1.0,37.0,6.0,1.0,810.5,5.0,1.0,494.2
6.0,3.0,18.1,6.0,3.0,145.6,6.0,2.0,170.9,6.0,2.0,55.7,6.0,2.0,1739.0,5.0,2.0,942.4
6.0,4.0,10.8,6.0,4.0,106.3,6.0,4.0,144.6,6.0,3.0,88.3,6.0,3.0,1583.0,5.0,3.0,908.6
6.0,5.0,131.4,6.0,5.0,638.2,6.0,5.0,614.0,6.0,5.0,174.1,6.0,4.0,944.6,5.0,4.0,511.0
