1,鈴木　祐美子,鈴木　祐美子.1,2,藤本　紗弥香,藤本　紗弥香.1,3,小野 桜,小野 桜.1,4,川野 芽唯,川野 芽唯.1,5,蜂須 瑞生,蜂須 瑞生.1,6,中北 涼,中北 涼.1
2.0,3.0,57.2,1.0,3.0,77.1,1.0,2.0,164.7,1.0,2.0,39.4,1.0,2.0,392.5,1.0,2.0,2061.0
2.0,4.0,36.1,1.0,4.0,46.1,1.0,4.0,42.7,1.0,3.0,18.0,1.0,3.0,218.0,1.0,3.0,2167.0
2.0,5.0,111.5,1.0,5.0,144.6,1.0,5.0,75.0,1.0,5.0,15.1,1.0,4.0,127.0,1.0,4.0,1116.0
2.0,6.0,272.5,1.0,6.0,426.4,1.0,6.0,272.6,1.0,6.0,62.8,1.0,6.0,402.4,1.0,5.0,1914.0
3.0,2.0,62.5,3.0,1.0,126.1,2.0,1.0,209.2,2.0,1.0,61.6,2.0,1.0,492.3,2.0,1.0,1718.0
3.0,4.0,20.8,3.0,4.0,61.4,2.0,4.0,89.7,2.0,3.0,50.7,2.0,3.0,561.4,2.0,3.0,2811.0
3.0,5.0,45.6,3.0,5.0,188.4,2.0,5.0,213.4,2.0,5.0,61.8,2.0,4.0,373.5,2.0,4.0,1982.0
3.0,6.0,180.1,3.0,6.0,528.3,2.0,6.0,530.3,2.0,6.0,176.3,2.0,6.0,975.3,2.0,5.0,3111.0
4.0,2.0,27.0,4.0,1.0,53.4,4.0,1.0,33.1,3.0,1.0,25.5,3.0,1.0,268.5,3.0,1.0,2443.0
4.0,3.0,14.3,4.0,3.0,44.3,4.0,2.0,64.4,3.0,2.0,52.3,3.0,2.0,602.1,3.0,2.0,2754.0
4.0,5.0,15.5,4.0,5.0,80.4,4.0,5.0,29.0,3.0,5.0,20.9,3.0,4.0,135.0,3.0,4.0,1344.0
4.0,6.0,73.9,4.0,6.0,240.4,4.0,6.0,94.5,3.0,6.0,70.9,3.0,6.0,477.6,3.0,5.0,2301.0
5.0,2.0,154.0,5.0,1.0,303.5,5.0,1.0,118.7,5.0,1.0,18.4,4.0,1.0,100.4,4.0,1.0,1040.0
5.0,3.0,85.5,5.0,3.0,303.5,5.0,2.0,261.1,5.0,2.0,48.4,4.0,2.0,235.6,4.0,2.0,1655.0
5.0,4.0,55.8,5.0,4.0,183.3,5.0,4.0,67.1,5.0,3.0,22.3,4.0,3.0,97.4,4.0,3.0,1142.0
5.0,6.0,226.1,5.0,6.0,719.5,5.0,6.0,243.5,5.0,6.0,33.3,4.0,6.0,171.1,4.0,5.0,793.4
6.0,2.0,580.8,6.0,1.0,945.1,6.0,1.0,830.6,6.0,1.0,151.9,6.0,1.0,770.6,5.0,1.0,1964.0
6.0,3.0,638.1,6.0,3.0,1204.0,6.0,2.0,1246.0,6.0,2.0,263.5,6.0,2.0,1287.0,5.0,2.0,3068.0
6.0,4.0,376.6,6.0,4.0,721.8,6.0,4.0,411.0,6.0,3.0,179.3,6.0,3.0,735.2,5.0,3.0,2240.0
6.0,5.0,486.2,6.0,5.0,1302.0,6.0,5.0,537.6,6.0,5.0,107.0,6.0,4.0,415.5,5.0,4.0,888.9
