1,池田 剛規,池田 剛規.1,2,今井 貴士,今井 貴士.1,3,中渡 修作,中渡 修作.1,4,幸野 史明,幸野 史明.1,5,井上 恵一,井上 恵一.1,6,田中 京介,田中 京介.1
2.0,3.0,9.8,1.0,3.0,9.8,1.0,2.0,126.1,1.0,2.0,103.6,1.0,2.0,442.7,1.0,2.0,119.9
2.0,4.0,9.1,1.0,4.0,10.5,1.0,4.0,226.8,1.0,3.0,281.6,1.0,3.0,958.3,1.0,3.0,461.2
2.0,5.0,20.7,1.0,5.0,20.9,1.0,5.0,344.4,1.0,5.0,281.4,1.0,4.0,1087.0,1.0,4.0,353.4
2.0,6.0,10.2,1.0,6.0,9.6,1.0,6.0,211.8,1.0,6.0,137.1,1.0,6.0,713.4,1.0,5.0,576.0
3.0,2.0,27.5,3.0,1.0,37.9,2.0,1.0,125.1,2.0,1.0,121.8,2.0,1.0,457.7,2.0,1.0,124.2
3.0,4.0,48.9,3.0,4.0,80.5,2.0,4.0,225.0,2.0,3.0,314.6,2.0,3.0,1068.0,2.0,3.0,433.9
3.0,5.0,80.7,3.0,5.0,106.6,2.0,5.0,346.1,2.0,5.0,329.7,2.0,4.0,1060.0,2.0,4.0,345.5
3.0,6.0,61.3,3.0,6.0,67.0,2.0,6.0,223.7,2.0,6.0,155.6,2.0,6.0,694.5,2.0,5.0,532.8
4.0,2.0,25.9,4.0,1.0,41.5,4.0,1.0,447.9,3.0,1.0,571.3,3.0,1.0,1574.0,3.0,1.0,916.4
4.0,3.0,70.6,4.0,3.0,100.3,4.0,2.0,459.2,3.0,2.0,696.8,3.0,2.0,1288.0,3.0,2.0,861.7
4.0,5.0,109.6,4.0,5.0,145.6,4.0,5.0,997.1,3.0,5.0,1410.0,3.0,4.0,2313.0,3.0,4.0,1716.0
4.0,6.0,49.1,4.0,6.0,59.6,4.0,6.0,714.6,3.0,6.0,967.2,3.0,6.0,2393.0,3.0,5.0,2239.0
5.0,2.0,93.8,5.0,1.0,88.5,5.0,1.0,926.5,5.0,1.0,444.1,4.0,1.0,1288.0,4.0,1.0,508.2
5.0,3.0,196.0,5.0,3.0,195.7,5.0,2.0,840.9,5.0,2.0,426.4,4.0,2.0,1213.0,4.0,2.0,484.7
5.0,4.0,234.3,5.0,4.0,286.8,5.0,4.0,1528.0,5.0,3.0,987.7,4.0,3.0,1828.0,4.0,3.0,1869.0
5.0,6.0,176.2,5.0,6.0,162.3,5.0,6.0,1221.0,5.0,6.0,477.5,4.0,6.0,1338.0,4.0,5.0,1405.0
6.0,2.0,41.3,6.0,1.0,36.5,6.0,1.0,603.4,6.0,1.0,229.1,6.0,1.0,1084.0,5.0,1.0,1110.0
6.0,3.0,127.9,6.0,3.0,112.9,6.0,2.0,568.2,6.0,2.0,221.7,6.0,2.0,912.4,5.0,2.0,1014.0
6.0,4.0,98.0,6.0,4.0,92.2,6.0,4.0,1179.0,6.0,3.0,769.8,6.0,3.0,2251.0,5.0,3.0,2737.0
6.0,5.0,162.8,6.0,5.0,125.2,6.0,5.0,1228.0,6.0,5.0,482.4,6.0,4.0,1648.0,5.0,4.0,1938.0
