1,坂元 浩仁,坂元 浩仁.1,2,吉村 正明,吉村 正明.1,3,梶原 正,梶原 正.1,4,片橋 幸貴,片橋 幸貴.1,5,山崎 鉄平,山崎 鉄平.1,6,小林 京平,小林 京平.1
2.0,3.0,8.2,1.0,3.0,51.3,1.0,2.0,173.0,1.0,2.0,30.1,1.0,2.0,374.6,1.0,2.0,1315.0
2.0,4.0,3.7,1.0,4.0,26.5,1.0,4.0,186.0,1.0,3.0,89.0,1.0,3.0,725.2,1.0,3.0,3263.0
2.0,5.0,14.8,1.0,5.0,68.9,1.0,5.0,313.7,1.0,5.0,45.0,1.0,4.0,325.1,1.0,4.0,1973.0
2.0,6.0,58.4,1.0,6.0,253.3,1.0,6.0,942.8,1.0,6.0,146.6,1.0,6.0,1186.0,1.0,5.0,2926.0
3.0,2.0,19.6,3.0,1.0,180.9,2.0,1.0,267.2,2.0,1.0,52.0,2.0,1.0,617.1,2.0,1.0,1928.0
3.0,4.0,18.0,3.0,4.0,311.4,2.0,4.0,437.4,2.0,3.0,220.6,2.0,3.0,1285.0,2.0,3.0,4991.0
3.0,5.0,41.9,3.0,5.0,633.2,2.0,5.0,761.0,2.0,5.0,111.2,2.0,4.0,767.9,2.0,4.0,2424.0
3.0,6.0,118.4,3.0,6.0,1475.0,2.0,6.0,1571.0,2.0,6.0,295.1,2.0,6.0,1647.0,2.0,5.0,4351.0
4.0,2.0,5.5,4.0,1.0,65.9,4.0,1.0,430.7,3.0,1.0,342.8,3.0,1.0,1697.0,3.0,1.0,3463.0
4.0,3.0,13.8,4.0,3.0,223.6,4.0,2.0,535.3,3.0,2.0,423.2,3.0,2.0,2495.0,3.0,2.0,7071.0
4.0,5.0,16.1,4.0,5.0,206.2,4.0,5.0,836.0,3.0,5.0,556.4,3.0,4.0,2020.0,3.0,4.0,4991.0
4.0,6.0,74.9,4.0,6.0,601.8,4.0,6.0,1285.0,3.0,6.0,1450.0,3.0,6.0,3202.0,3.0,5.0,5852.0
5.0,2.0,50.7,5.0,1.0,377.1,5.0,1.0,969.8,5.0,1.0,78.2,4.0,1.0,397.4,4.0,1.0,2459.0
5.0,3.0,103.8,5.0,3.0,741.1,5.0,2.0,1060.0,5.0,2.0,114.9,4.0,2.0,577.2,4.0,2.0,2876.0
5.0,4.0,60.0,5.0,4.0,487.6,5.0,4.0,1305.0,5.0,3.0,335.4,4.0,3.0,1170.0,4.0,3.0,5303.0
5.0,6.0,311.4,5.0,6.0,1697.0,5.0,6.0,2495.0,5.0,6.0,254.4,4.0,6.0,1054.0,4.0,5.0,4351.0
6.0,2.0,304.1,6.0,1.0,1186.0,6.0,1.0,2611.0,6.0,1.0,441.9,6.0,1.0,2459.0,5.0,1.0,4586.0
6.0,3.0,617.1,6.0,3.0,2293.0,6.0,2.0,3142.0,6.0,2.0,565.7,6.0,2.0,3085.0,5.0,2.0,7714.0
6.0,4.0,359.5,6.0,4.0,1542.0,6.0,4.0,2175.0,6.0,3.0,1616.0,6.0,3.0,3771.0,5.0,3.0,4849.0
6.0,5.0,633.2,6.0,5.0,2204.0,6.0,5.0,4139.0,6.0,5.0,673.4,6.0,4.0,2459.0,5.0,4.0,4351.0
