first,second,third,odds
6,1,1597,6.0
6,1,1963,6.0
6,1,1060,6.0
6,1,1286,5.0
3,2,2137,2.0
3,1092,2,1263.0
4,1191,3,1397.0
5,1211,4,1242.0
