1,田中 宏樹,田中 宏樹.1,2,中島 浩哉,中島 浩哉.1,3,内堀 学,内堀 学.1,4,木場　雄二郎,木場　雄二郎.1,5,田邉 亮蔵,田邉 亮蔵.1,6,黒田 剛,黒田 剛.1
2.0,3.0,8.7,1.0,3.0,24.5,1.0,2.0,25.1,1.0,2.0,55.7,1.0,2.0,490.0,1.0,2.0,523.7
2.0,4.0,12.5,1.0,4.0,26.7,1.0,4.0,23.5,1.0,3.0,50.4,1.0,3.0,365.2,1.0,3.0,499.9
2.0,5.0,46.9,1.0,5.0,129.2,1.0,5.0,56.4,1.0,5.0,82.2,1.0,4.0,308.3,1.0,4.0,614.8
2.0,6.0,58.7,1.0,6.0,170.3,1.0,6.0,115.6,1.0,6.0,164.9,1.0,6.0,785.6,1.0,5.0,999.8
3.0,2.0,8.1,3.0,1.0,61.8,2.0,1.0,51.8,2.0,1.0,93.0,2.0,1.0,798.2,2.0,1.0,727.8
3.0,4.0,9.2,3.0,4.0,64.8,2.0,4.0,65.3,2.0,3.0,128.2,2.0,3.0,761.4,2.0,3.0,1151.0
3.0,5.0,27.6,3.0,5.0,149.9,2.0,5.0,133.7,2.0,5.0,179.9,2.0,4.0,755.6,2.0,4.0,664.3
3.0,6.0,53.3,3.0,6.0,255.1,2.0,6.0,225.4,2.0,6.0,232.9,2.0,6.0,838.8,2.0,5.0,1237.0
4.0,2.0,18.5,4.0,1.0,73.2,4.0,1.0,40.7,3.0,1.0,60.0,3.0,1.0,485.2,3.0,1.0,575.5
4.0,3.0,17.2,4.0,3.0,85.6,4.0,2.0,64.5,3.0,2.0,103.6,3.0,2.0,761.4,3.0,2.0,999.8
4.0,5.0,55.2,4.0,5.0,195.6,4.0,5.0,94.0,3.0,5.0,130.9,3.0,4.0,607.2,3.0,4.0,761.4
4.0,6.0,97.4,4.0,6.0,225.9,4.0,6.0,153.2,3.0,6.0,238.5,3.0,6.0,989.8,3.0,5.0,1596.0
5.0,2.0,133.9,5.0,1.0,447.9,5.0,1.0,171.5,5.0,1.0,136.9,4.0,1.0,335.5,4.0,1.0,712.1
5.0,3.0,117.4,5.0,3.0,299.9,5.0,2.0,213.7,5.0,2.0,197.1,4.0,2.0,592.7,4.0,2.0,673.3
5.0,4.0,161.4,5.0,4.0,572.1,5.0,4.0,193.3,5.0,3.0,220.9,4.0,3.0,630.4,4.0,3.0,1087.0
5.0,6.0,324.5,5.0,6.0,875.9,5.0,6.0,365.2,5.0,6.0,225.4,4.0,6.0,749.9,4.0,5.0,2020.0
6.0,2.0,236.2,6.0,1.0,475.9,6.0,1.0,328.8,6.0,1.0,293.7,6.0,1.0,1112.0,5.0,1.0,1394.0
6.0,3.0,215.1,6.0,3.0,471.3,6.0,2.0,359.9,6.0,2.0,334.4,6.0,2.0,1222.0,5.0,2.0,1596.0
6.0,4.0,249.9,6.0,4.0,478.1,6.0,4.0,325.6,6.0,3.0,385.1,6.0,3.0,1337.0,5.0,3.0,1546.0
6.0,5.0,388.1,6.0,5.0,1112.0,6.0,5.0,432.2,6.0,5.0,358.6,6.0,4.0,1337.0,5.0,4.0,1903.0
