1,寺田 祥,寺田 祥.1,2,伊藤 将吉,伊藤 将吉.1,3,内田 圭,内田 圭.1,4,松尾 昂明,松尾 昂明.1,5,田添 康介,田添 康介.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,6.1,1.0,3.0,34.5,1.0,2.0,225.1,1.0,2.0,53.5,1.0,2.0,295.6,1.0,2.0,1651.0
2.0,4.0,3.1,1.0,4.0,17.4,1.0,4.0,286.5,1.0,3.0,199.9,1.0,3.0,806.3,1.0,3.0,2667.0
2.0,5.0,8.2,1.0,5.0,31.7,1.0,5.0,501.4,1.0,5.0,89.6,1.0,4.0,384.0,1.0,4.0,2206.0
2.0,6.0,69.4,1.0,6.0,166.8,1.0,6.0,990.7,1.0,6.0,373.9,1.0,6.0,1108.0,1.0,5.0,2924.0
3.0,2.0,16.8,3.0,1.0,197.9,2.0,1.0,353.8,2.0,1.0,80.9,2.0,1.0,414.9,2.0,1.0,2356.0
3.0,4.0,23.1,3.0,4.0,299.6,2.0,4.0,556.7,2.0,3.0,329.3,2.0,3.0,1662.0,2.0,3.0,4759.0
3.0,5.0,48.1,3.0,5.0,451.1,2.0,5.0,959.3,2.0,5.0,185.4,2.0,4.0,879.4,2.0,4.0,4413.0
3.0,6.0,184.5,3.0,6.0,933.5,2.0,6.0,1219.0,2.0,6.0,765.6,2.0,6.0,1957.0,2.0,5.0,4667.0
4.0,2.0,8.2,4.0,1.0,73.0,4.0,1.0,635.4,3.0,1.0,635.4,3.0,1.0,1436.0,3.0,1.0,3979.0
4.0,3.0,22.1,4.0,3.0,209.2,4.0,2.0,753.7,3.0,2.0,676.1,3.0,2.0,2582.0,3.0,2.0,6068.0
4.0,5.0,21.8,4.0,5.0,222.2,4.0,5.0,1201.0,3.0,5.0,1093.0,3.0,4.0,2924.0,3.0,4.0,4953.0
4.0,6.0,109.1,4.0,6.0,707.6,4.0,6.0,1867.0,3.0,6.0,2333.0,3.0,6.0,3792.0,3.0,5.0,5164.0
5.0,2.0,39.0,5.0,1.0,246.6,5.0,1.0,1178.0,5.0,1.0,184.4,4.0,1.0,509.9,4.0,1.0,3280.0
5.0,3.0,93.8,5.0,3.0,713.8,5.0,2.0,1771.0,5.0,2.0,247.4,4.0,2.0,724.5,4.0,2.0,4258.0
5.0,4.0,62.6,5.0,4.0,430.3,5.0,4.0,1746.0,5.0,3.0,951.8,4.0,3.0,2092.0,4.0,3.0,4113.0
5.0,6.0,288.6,5.0,6.0,1257.0,5.0,6.0,1926.0,5.0,6.0,775.4,4.0,6.0,2005.0,4.0,5.0,5276.0
6.0,2.0,440.5,6.0,1.0,1118.0,6.0,1.0,2528.0,6.0,1.0,1161.0,6.0,1.0,2758.0,5.0,1.0,3622.0
6.0,3.0,760.8,6.0,3.0,2889.0,6.0,2.0,3152.0,6.0,2.0,1489.0,6.0,2.0,3418.0,5.0,2.0,4854.0
6.0,4.0,635.4,6.0,4.0,2247.0,6.0,4.0,3034.0,6.0,3.0,3622.0,6.0,3.0,3236.0,5.0,3.0,4953.0
6.0,5.0,763.2,6.0,5.0,2638.0,6.0,5.0,2789.0,6.0,5.0,1771.0,6.0,4.0,4184.0,5.0,4.0,3852.0
