1,高濱 芳久,高濱 芳久.1,2,畔柳 俊吾,畔柳 俊吾.1,3,石倉 洋行,石倉 洋行.1,4,里岡 右貴,里岡 右貴.1,5,関根 彰人,関根 彰人.1,6,山田 哲也,山田 哲也.1
2.0,3.0,53.7,1.0,3.0,69.6,1.0,2.0,48.1,1.0,2.0,57.7,1.0,2.0,1557.0,1.0,2.0,293.2
2.0,4.0,48.9,1.0,4.0,63.1,1.0,4.0,17.0,1.0,3.0,31.0,1.0,3.0,1676.0,1.0,3.0,198.1
2.0,5.0,243.7,1.0,5.0,384.7,1.0,5.0,98.6,1.0,5.0,150.9,1.0,4.0,787.9,1.0,4.0,207.3
2.0,6.0,114.0,1.0,6.0,156.4,1.0,6.0,32.8,1.0,6.0,38.9,1.0,6.0,1634.0,1.0,5.0,716.0
3.0,2.0,43.3,3.0,1.0,85.3,2.0,1.0,92.0,2.0,1.0,75.0,2.0,1.0,1783.0,2.0,1.0,437.9
3.0,4.0,19.7,3.0,4.0,57.0,2.0,4.0,40.3,2.0,3.0,54.9,2.0,3.0,1833.0,2.0,3.0,285.1
3.0,5.0,157.7,3.0,5.0,337.1,2.0,5.0,232.4,2.0,5.0,192.9,2.0,4.0,1676.0,2.0,4.0,211.4
3.0,6.0,40.1,3.0,6.0,93.3,2.0,6.0,74.6,2.0,6.0,58.6,2.0,6.0,1868.0,2.0,5.0,943.2
4.0,2.0,48.8,4.0,1.0,83.8,4.0,1.0,17.6,3.0,1.0,26.6,3.0,1.0,1783.0,3.0,1.0,184.3
4.0,3.0,27.4,4.0,3.0,64.5,4.0,2.0,26.2,3.0,2.0,37.1,3.0,2.0,1721.0,3.0,2.0,240.4
4.0,5.0,162.2,4.0,5.0,307.5,4.0,5.0,51.3,3.0,5.0,66.3,3.0,4.0,1011.0,3.0,4.0,78.4
4.0,6.0,42.9,4.0,6.0,72.6,4.0,6.0,12.8,3.0,6.0,16.7,3.0,6.0,1557.0,3.0,5.0,486.8
5.0,2.0,611.2,5.0,1.0,849.3,5.0,1.0,416.5,5.0,1.0,232.1,4.0,1.0,1442.0,4.0,1.0,189.5
5.0,3.0,485.6,5.0,3.0,797.5,5.0,2.0,455.2,5.0,2.0,295.9,4.0,2.0,1391.0,4.0,2.0,160.4
5.0,4.0,506.9,5.0,4.0,781.6,5.0,4.0,223.2,5.0,3.0,180.1,4.0,3.0,1021.0,4.0,3.0,81.7
5.0,6.0,568.6,5.0,6.0,887.7,5.0,6.0,276.7,5.0,6.0,159.5,4.0,6.0,925.4,4.0,5.0,401.2
6.0,2.0,179.1,6.0,1.0,315.4,6.0,1.0,71.7,6.0,1.0,44.3,6.0,1.0,1904.0,5.0,1.0,1816.0
6.0,3.0,116.3,6.0,3.0,268.3,6.0,2.0,92.5,6.0,2.0,51.1,6.0,2.0,1691.0,5.0,2.0,1676.0
6.0,4.0,103.8,6.0,4.0,180.3,6.0,4.0,35.8,6.0,3.0,27.8,6.0,3.0,1767.0,5.0,3.0,1432.0
6.0,5.0,491.7,6.0,5.0,853.0,6.0,5.0,190.4,6.0,5.0,107.7,6.0,4.0,1096.0,5.0,4.0,925.4
