1,野中 義生,野中 義生.1,2,長谷川 充,長谷川 充.1,3,中 亮太,中 亮太.1,4,中本 大樹,中本 大樹.1,5,高山 智至,高山 智至.1,6,西橋 奈未,西橋 奈未.1
2.0,3.0,28.6,1.0,3.0,33.7,1.0,2.0,25.1,1.0,2.0,419.7,1.0,2.0,402.2,1.0,2.0,96.4
2.0,4.0,156.5,1.0,4.0,146.6,1.0,4.0,69.9,1.0,3.0,377.0,1.0,3.0,354.2,1.0,3.0,78.0
2.0,5.0,110.0,1.0,5.0,105.1,1.0,5.0,36.9,1.0,5.0,743.9,1.0,4.0,761.7,1.0,4.0,256.2
2.0,6.0,45.6,1.0,6.0,47.0,1.0,6.0,17.7,1.0,6.0,371.3,1.0,6.0,350.8,1.0,5.0,259.8
3.0,2.0,24.2,3.0,1.0,29.7,2.0,1.0,27.1,2.0,1.0,480.4,2.0,1.0,391.6,2.0,1.0,107.8
3.0,4.0,81.4,3.0,4.0,85.4,2.0,4.0,60.6,2.0,3.0,331.5,2.0,3.0,200.2,2.0,3.0,56.1
3.0,5.0,60.3,3.0,5.0,44.2,2.0,5.0,33.8,2.0,5.0,593.1,2.0,4.0,482.5,2.0,4.0,249.3
3.0,6.0,26.4,3.0,6.0,20.3,2.0,6.0,14.0,2.0,6.0,306.3,2.0,6.0,229.7,2.0,5.0,156.7
4.0,2.0,255.6,4.0,1.0,320.5,4.0,1.0,111.8,3.0,1.0,353.6,3.0,1.0,308.9,3.0,1.0,63.5
4.0,3.0,209.4,4.0,3.0,195.4,4.0,2.0,97.6,3.0,2.0,287.0,3.0,2.0,198.7,3.0,2.0,44.8
4.0,5.0,437.0,4.0,5.0,317.3,4.0,5.0,109.4,3.0,5.0,466.3,3.0,4.0,453.9,3.0,4.0,142.7
4.0,6.0,219.5,4.0,6.0,182.3,4.0,6.0,54.8,3.0,6.0,226.0,3.0,6.0,175.8,3.0,5.0,101.9
5.0,2.0,185.9,5.0,1.0,187.8,5.0,1.0,83.0,5.0,1.0,741.4,4.0,1.0,830.0,4.0,1.0,438.7
5.0,3.0,142.6,5.0,3.0,91.0,5.0,2.0,61.1,5.0,2.0,668.0,4.0,2.0,688.6,4.0,2.0,344.8
5.0,4.0,413.4,5.0,4.0,237.1,5.0,4.0,127.9,5.0,3.0,617.9,4.0,3.0,715.2,4.0,3.0,245.2
5.0,6.0,165.0,5.0,6.0,99.8,5.0,6.0,40.0,5.0,6.0,395.8,4.0,6.0,423.7,4.0,5.0,454.8
6.0,2.0,83.7,6.0,1.0,71.4,6.0,1.0,26.7,6.0,1.0,340.1,6.0,1.0,357.0,5.0,1.0,361.6
6.0,3.0,59.2,6.0,3.0,37.0,6.0,2.0,18.7,6.0,2.0,294.6,6.0,2.0,277.7,5.0,2.0,252.7
6.0,4.0,256.8,6.0,4.0,163.6,6.0,4.0,62.5,6.0,3.0,258.9,6.0,3.0,213.8,5.0,3.0,198.2
6.0,5.0,207.5,6.0,5.0,103.5,6.0,5.0,40.6,6.0,5.0,358.7,6.0,4.0,403.7,5.0,4.0,425.3
