1,松尾 充,松尾 充.1,2,平野 和明,平野 和明.1,3,冨田 秀幸,冨田 秀幸.1,4,宮本 夏樹,宮本 夏樹.1,5,嶋田 有里,嶋田 有里.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,3.5,1.0,3.0,26.4,1.0,2.0,130.3,1.0,2.0,41.8,1.0,2.0,616.8,1.0,2.0,2306.0
2.0,4.0,3.4,1.0,4.0,19.6,1.0,4.0,185.6,1.0,3.0,100.5,1.0,3.0,1106.0,1.0,3.0,3525.0
2.0,5.0,30.0,1.0,5.0,107.0,1.0,5.0,485.7,1.0,5.0,164.9,1.0,4.0,924.1,1.0,4.0,3475.0
2.0,6.0,113.1,1.0,6.0,291.3,1.0,6.0,1011.0,1.0,6.0,503.5,1.0,6.0,2263.0,1.0,5.0,4329.0
3.0,2.0,9.4,3.0,1.0,105.2,2.0,1.0,207.3,2.0,1.0,65.3,2.0,1.0,793.4,2.0,1.0,3290.0
3.0,4.0,15.3,3.0,4.0,175.8,2.0,4.0,337.0,2.0,3.0,187.3,2.0,3.0,2091.0,2.0,3.0,2972.0
3.0,5.0,70.3,3.0,5.0,550.7,2.0,5.0,913.9,2.0,5.0,317.9,2.0,4.0,1591.0,2.0,4.0,4745.0
3.0,6.0,290.9,3.0,6.0,1410.0,2.0,6.0,999.0,2.0,6.0,1045.0,2.0,6.0,2869.0,2.0,5.0,5364.0
4.0,2.0,7.3,4.0,1.0,57.4,4.0,1.0,308.4,3.0,1.0,236.3,3.0,1.0,2543.0,3.0,1.0,4935.0
4.0,3.0,17.5,4.0,3.0,154.8,4.0,2.0,371.0,3.0,2.0,291.3,3.0,2.0,2653.0,3.0,2.0,3979.0
4.0,5.0,49.2,4.0,5.0,377.3,4.0,5.0,1163.0,3.0,5.0,913.9,3.0,4.0,3204.0,3.0,4.0,4745.0
4.0,6.0,220.3,4.0,6.0,1121.0,4.0,6.0,2056.0,3.0,6.0,2073.0,3.0,6.0,5483.0,3.0,5.0,6854.0
5.0,2.0,147.1,5.0,1.0,495.4,5.0,1.0,1504.0,5.0,1.0,345.1,4.0,1.0,1087.0,4.0,1.0,4838.0
5.0,3.0,237.0,5.0,3.0,1163.0,5.0,2.0,1942.0,5.0,2.0,517.3,4.0,2.0,1814.0,4.0,2.0,5608.0
5.0,4.0,192.4,5.0,4.0,1003.0,5.0,4.0,1974.0,5.0,3.0,963.8,4.0,3.0,2372.0,4.0,3.0,7050.0
5.0,6.0,498.4,5.0,6.0,2653.0,5.0,6.0,2711.0,5.0,6.0,907.1,4.0,6.0,2711.0,4.0,5.0,5364.0
6.0,2.0,505.6,6.0,1.0,1827.0,6.0,1.0,2741.0,6.0,1.0,1581.0,6.0,1.0,4329.0,5.0,1.0,5364.0
6.0,3.0,798.5,6.0,3.0,3380.0,6.0,2.0,2570.0,6.0,2.0,1634.0,6.0,2.0,5364.0,5.0,2.0,6327.0
6.0,4.0,738.7,6.0,4.0,2682.0,6.0,4.0,4112.0,6.0,3.0,2903.0,6.0,3.0,5140.0,5.0,3.0,6493.0
6.0,5.0,788.3,6.0,5.0,3628.0,6.0,5.0,4182.0,6.0,5.0,1814.0,6.0,4.0,4329.0,5.0,4.0,5364.0
