1,佐藤　謙史朗,佐藤　謙史朗.1,2,桑原 啓,桑原 啓.1,3,吉田 祐貴,吉田 祐貴.1,4,谷口 健一,谷口 健一.1,5,屋良 龍紀,屋良 龍紀.1,6,東 健介,東 健介.1
2.0,3.0,6.4,1.0,3.0,33.0,1.0,2.0,44.3,1.0,2.0,135.2,1.0,2.0,306.4,1.0,2.0,123.7
2.0,4.0,11.3,1.0,4.0,50.6,1.0,4.0,57.0,1.0,3.0,173.7,1.0,3.0,419.4,1.0,3.0,134.4
2.0,5.0,32.4,1.0,5.0,104.5,1.0,5.0,118.4,1.0,5.0,231.0,1.0,4.0,544.3,1.0,4.0,214.5
2.0,6.0,13.8,1.0,6.0,50.1,1.0,6.0,59.4,1.0,6.0,143.9,1.0,6.0,379.0,1.0,5.0,431.8
3.0,2.0,8.2,3.0,1.0,75.8,2.0,1.0,78.0,2.0,1.0,193.8,2.0,1.0,522.1,2.0,1.0,221.5
3.0,4.0,11.3,3.0,4.0,160.4,2.0,4.0,147.6,2.0,3.0,368.1,2.0,3.0,974.7,2.0,3.0,361.6
3.0,5.0,33.4,3.0,5.0,343.4,2.0,5.0,272.1,2.0,5.0,419.4,2.0,4.0,1149.0,2.0,4.0,465.2
3.0,6.0,13.5,3.0,6.0,151.1,2.0,6.0,146.2,2.0,6.0,257.1,2.0,6.0,799.5,2.0,5.0,852.8
4.0,2.0,29.7,4.0,1.0,140.3,4.0,1.0,117.1,3.0,1.0,249.6,3.0,1.0,635.6,3.0,1.0,235.8
4.0,3.0,33.6,4.0,3.0,285.0,4.0,2.0,230.5,3.0,2.0,395.1,3.0,2.0,1003.0,3.0,2.0,417.7
4.0,5.0,87.4,4.0,5.0,357.8,4.0,5.0,249.0,3.0,5.0,535.8,3.0,4.0,1023.0,3.0,4.0,454.8
4.0,6.0,40.7,4.0,6.0,200.6,4.0,6.0,202.6,3.0,6.0,396.6,3.0,6.0,867.3,3.0,5.0,1088.0
5.0,2.0,89.5,5.0,1.0,280.4,5.0,1.0,300.1,5.0,1.0,263.7,4.0,1.0,565.4,4.0,1.0,381.8
5.0,3.0,89.3,5.0,3.0,547.3,5.0,2.0,514.3,5.0,2.0,444.9,4.0,2.0,938.9,4.0,2.0,673.3
5.0,4.0,148.7,5.0,4.0,556.2,5.0,4.0,504.1,5.0,3.0,660.3,4.0,3.0,1176.0,4.0,3.0,660.3
5.0,6.0,113.3,5.0,6.0,559.2,5.0,6.0,454.8,5.0,6.0,322.8,4.0,6.0,720.7,4.0,5.0,1100.0
6.0,2.0,31.1,6.0,1.0,179.5,6.0,1.0,156.9,6.0,1.0,204.6,6.0,1.0,616.5,5.0,1.0,758.1
6.0,3.0,31.2,6.0,3.0,303.6,6.0,2.0,272.9,6.0,2.0,285.8,6.0,2.0,938.9,5.0,2.0,1421.0
6.0,4.0,61.1,6.0,4.0,383.3,6.0,4.0,312.0,6.0,3.0,389.1,6.0,3.0,1233.0,5.0,3.0,1218.0
6.0,5.0,120.5,6.0,5.0,627.8,6.0,5.0,450.8,6.0,5.0,380.4,6.0,4.0,1066.0,5.0,4.0,1233.0
