1,坂本 雄紀,坂本 雄紀.1,2,中島 航,中島 航.1,3,富永　夏哉人,富永　夏哉人.1,4,津田 陸翔,津田 陸翔.1,5,柳瀬 幹太,柳瀬 幹太.1,6,前原 大道,前原 大道.1
2.0,3.0,38.7,1.0,3.0,192.9,1.0,2.0,177.7,1.0,2.0,36.7,1.0,2.0,533.2,1.0,2.0,227.8
2.0,4.0,16.2,1.0,4.0,81.7,1.0,4.0,75.0,1.0,3.0,51.1,1.0,3.0,694.5,1.0,3.0,337.4
2.0,5.0,68.6,1.0,5.0,257.1,1.0,5.0,206.8,1.0,5.0,36.8,1.0,4.0,272.7,1.0,4.0,97.4
2.0,6.0,26.8,1.0,6.0,129.7,1.0,6.0,106.0,1.0,6.0,17.1,1.0,6.0,328.9,1.0,5.0,403.4
3.0,2.0,42.4,3.0,1.0,299.5,2.0,1.0,324.0,2.0,1.0,83.1,2.0,1.0,959.0,2.0,1.0,429.2
3.0,4.0,21.1,3.0,4.0,142.4,2.0,4.0,164.4,2.0,3.0,168.5,2.0,3.0,1206.0,2.0,3.0,905.9
3.0,5.0,61.4,3.0,5.0,325.6,2.0,5.0,378.3,2.0,5.0,135.8,2.0,4.0,669.6,2.0,4.0,300.9
3.0,6.0,33.6,3.0,6.0,250.5,2.0,6.0,236.9,2.0,6.0,63.8,2.0,6.0,750.2,2.0,5.0,1128.0
4.0,2.0,14.7,4.0,1.0,107.1,4.0,1.0,84.0,3.0,1.0,103.5,3.0,1.0,962.6,3.0,1.0,593.7
4.0,3.0,20.1,4.0,3.0,163.1,4.0,2.0,151.2,3.0,2.0,185.1,3.0,2.0,1302.0,3.0,2.0,991.7
4.0,5.0,31.6,4.0,5.0,194.9,4.0,5.0,151.1,3.0,5.0,160.8,3.0,4.0,1026.0,3.0,4.0,405.3
4.0,6.0,11.0,4.0,6.0,94.1,4.0,6.0,57.9,3.0,6.0,77.1,3.0,6.0,938.4,3.0,5.0,1206.0
5.0,2.0,130.5,5.0,1.0,491.2,5.0,1.0,453.7,5.0,1.0,46.8,4.0,1.0,222.0,4.0,1.0,100.0
5.0,3.0,150.4,5.0,3.0,651.3,5.0,2.0,596.4,5.0,2.0,79.8,4.0,2.0,323.2,4.0,2.0,184.6
5.0,4.0,80.0,5.0,4.0,446.8,5.0,4.0,372.9,5.0,3.0,147.4,4.0,3.0,566.7,4.0,3.0,243.5
5.0,6.0,88.7,5.0,6.0,433.4,5.0,6.0,358.6,5.0,6.0,33.2,4.0,6.0,166.2,4.0,5.0,190.6
6.0,2.0,47.9,6.0,1.0,291.2,6.0,1.0,244.0,6.0,1.0,22.1,6.0,1.0,481.3,5.0,1.0,690.8
6.0,3.0,68.4,6.0,3.0,423.6,6.0,2.0,371.9,6.0,2.0,47.7,6.0,2.0,831.2,5.0,2.0,1068.0
6.0,4.0,26.4,6.0,4.0,190.9,6.0,4.0,127.7,6.0,3.0,63.7,6.0,3.0,887.5,5.0,3.0,1128.0
6.0,5.0,95.5,6.0,5.0,502.5,6.0,5.0,434.2,6.0,5.0,30.6,6.0,4.0,275.6,5.0,4.0,378.9
