1,溝口　海義也,溝口　海義也.1,2,小林 文彦,小林 文彦.1,3,松下 哲也,松下 哲也.1,4,仲谷 颯仁,仲谷 颯仁.1,5,古賀 智之,古賀 智之.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,13.4,1.0,3.0,113.8,1.0,2.0,142.7,1.0,2.0,18.9,1.0,2.0,339.3,1.0,2.0,2476.0
2.0,4.0,6.0,1.0,4.0,53.6,1.0,4.0,78.5,1.0,3.0,36.2,1.0,3.0,475.5,1.0,3.0,3308.0
2.0,5.0,25.8,1.0,5.0,184.6,1.0,5.0,201.7,1.0,5.0,27.5,1.0,4.0,207.2,1.0,4.0,1744.0
2.0,6.0,212.8,1.0,6.0,789.6,1.0,6.0,802.8,1.0,6.0,145.9,1.0,6.0,966.7,1.0,5.0,4126.0
3.0,2.0,18.7,3.0,1.0,267.6,2.0,1.0,281.7,2.0,1.0,50.8,2.0,1.0,605.3,2.0,1.0,4126.0
3.0,4.0,10.9,3.0,4.0,346.0,2.0,4.0,325.5,2.0,3.0,144.6,2.0,3.0,1177.0,2.0,3.0,7107.0
3.0,5.0,34.9,3.0,5.0,778.4,2.0,5.0,662.8,2.0,5.0,121.0,2.0,4.0,766.0,2.0,4.0,4797.0
3.0,6.0,289.4,3.0,6.0,2340.0,2.0,6.0,2108.0,2.0,6.0,453.1,2.0,6.0,2340.0,2.0,5.0,5814.0
4.0,2.0,5.1,4.0,1.0,87.6,4.0,1.0,116.6,3.0,1.0,108.1,3.0,1.0,836.1,3.0,1.0,4515.0
4.0,3.0,8.0,4.0,3.0,263.2,4.0,2.0,236.0,3.0,2.0,203.4,3.0,2.0,1170.0,3.0,2.0,6190.0
4.0,5.0,11.5,4.0,5.0,303.6,4.0,5.0,275.7,3.0,5.0,224.9,3.0,4.0,911.5,3.0,4.0,4312.0
4.0,6.0,97.1,4.0,6.0,1323.0,4.0,6.0,909.4,3.0,6.0,752.5,3.0,6.0,3252.0,3.0,5.0,5562.0
5.0,2.0,51.7,5.0,1.0,520.7,5.0,1.0,488.2,5.0,1.0,51.2,4.0,1.0,228.4,4.0,1.0,2244.0
5.0,3.0,68.7,5.0,3.0,1015.0,5.0,2.0,952.3,5.0,2.0,85.3,4.0,2.0,466.8,4.0,2.0,4082.0
5.0,4.0,39.0,5.0,4.0,593.1,5.0,4.0,543.5,5.0,3.0,161.8,4.0,3.0,685.3,4.0,3.0,4680.0
5.0,6.0,318.2,5.0,6.0,3095.0,5.0,6.0,2244.0,5.0,6.0,202.0,4.0,6.0,684.1,4.0,5.0,3225.0
6.0,2.0,728.2,6.0,1.0,2193.0,6.0,1.0,2508.0,6.0,1.0,437.6,6.0,1.0,2508.0,5.0,1.0,5257.0
6.0,3.0,991.6,6.0,3.0,3837.0,6.0,2.0,3956.0,6.0,2.0,868.2,6.0,2.0,2885.0,5.0,2.0,5996.0
6.0,4.0,490.7,6.0,4.0,2929.0,6.0,4.0,2702.0,6.0,3.0,1242.0,6.0,3.0,3837.0,5.0,3.0,5257.0
6.0,5.0,900.8,6.0,5.0,3620.0,6.0,5.0,3690.0,6.0,5.0,685.3,6.0,4.0,1827.0,5.0,4.0,3145.0
