1,小林 遼太,小林 遼太.1,2,仲本 舜,仲本 舜.1,3,田中 孝明,田中 孝明.1,4,野相 弘司,野相 弘司.1,5,出畑 孝成,出畑 孝成.1,6,林 恵祐,林 恵祐.1
2.0,3.0,12.3,1.0,3.0,56.4,1.0,2.0,44.6,1.0,2.0,80.7,1.0,2.0,666.2,1.0,2.0,160.8
2.0,4.0,17.8,1.0,4.0,76.7,1.0,4.0,27.6,1.0,3.0,49.9,1.0,3.0,712.6,1.0,3.0,107.9
2.0,5.0,94.2,1.0,5.0,354.0,1.0,5.0,134.6,1.0,5.0,208.8,1.0,4.0,834.0,1.0,4.0,147.1
2.0,6.0,29.2,1.0,6.0,110.7,1.0,6.0,32.5,1.0,6.0,58.6,1.0,6.0,798.5,1.0,5.0,461.4
3.0,2.0,11.8,3.0,1.0,114.1,2.0,1.0,102.0,2.0,1.0,194.4,2.0,1.0,1373.0,2.0,1.0,299.4
3.0,4.0,7.2,3.0,4.0,189.2,2.0,4.0,133.2,2.0,3.0,254.1,2.0,3.0,1908.0,2.0,3.0,331.1
3.0,5.0,76.3,3.0,5.0,574.4,2.0,5.0,326.3,2.0,5.0,380.3,2.0,4.0,690.7,2.0,4.0,504.9
3.0,6.0,12.1,3.0,6.0,196.8,2.0,6.0,134.2,2.0,6.0,264.9,2.0,6.0,1787.0,2.0,5.0,815.9
4.0,2.0,19.6,4.0,1.0,182.7,4.0,1.0,46.4,3.0,1.0,75.0,3.0,1.0,866.1,3.0,1.0,140.7
4.0,3.0,11.7,4.0,3.0,261.8,4.0,2.0,113.0,3.0,2.0,194.4,3.0,2.0,1631.0,3.0,2.0,300.2
4.0,5.0,96.8,4.0,5.0,465.2,4.0,5.0,243.1,3.0,5.0,421.7,3.0,4.0,1125.0,3.0,4.0,229.3
4.0,6.0,18.1,4.0,6.0,302.6,4.0,6.0,56.6,3.0,6.0,112.7,3.0,6.0,1542.0,3.0,5.0,760.7
5.0,2.0,277.3,5.0,1.0,798.5,5.0,1.0,469.1,5.0,1.0,507.1,4.0,1.0,1103.0,4.0,1.0,189.2
5.0,3.0,236.5,5.0,3.0,1210.0,5.0,2.0,557.4,5.0,2.0,471.1,4.0,2.0,678.2,4.0,2.0,452.1
5.0,4.0,274.6,5.0,4.0,592.6,5.0,4.0,568.6,5.0,3.0,821.8,4.0,3.0,1390.0,4.0,3.0,261.2
5.0,6.0,311.0,5.0,6.0,1563.0,5.0,6.0,735.9,5.0,6.0,580.3,4.0,6.0,1309.0,4.0,5.0,666.2
6.0,2.0,45.7,6.0,1.0,274.6,6.0,1.0,75.4,6.0,1.0,95.2,6.0,1.0,1210.0,5.0,1.0,810.0
6.0,3.0,29.0,6.0,3.0,333.1,6.0,2.0,127.9,6.0,2.0,210.4,6.0,2.0,2085.0,5.0,2.0,859.5
6.0,4.0,34.4,6.0,4.0,426.5,6.0,4.0,93.0,6.0,3.0,147.7,6.0,3.0,2010.0,5.0,3.0,1237.0
6.0,5.0,200.3,6.0,5.0,1160.0,6.0,5.0,424.8,6.0,5.0,379.1,6.0,4.0,1390.0,5.0,4.0,821.8
