1,廣中　智紗衣,廣中　智紗衣.1,2,笠野　友紀恵,笠野　友紀恵.1,3,宇野 弥生,宇野 弥生.1,4,藤堂 里香,藤堂 里香.1,5,刑部　亜里紗,刑部　亜里紗.1,6,土屋　実沙希,土屋　実沙希.1
2.0,3.0,42.5,1.0,3.0,194.7,1.0,2.0,68.6,1.0,2.0,126.1,1.0,2.0,223.8,1.0,2.0,837.2
2.0,4.0,55.4,1.0,4.0,234.1,1.0,4.0,22.1,1.0,3.0,55.8,1.0,3.0,76.4,1.0,3.0,478.2
2.0,5.0,66.2,1.0,5.0,330.8,1.0,5.0,22.4,1.0,5.0,44.4,1.0,4.0,96.7,1.0,4.0,468.1
2.0,6.0,81.7,1.0,6.0,439.1,1.0,6.0,37.0,1.0,6.0,55.0,1.0,6.0,100.7,1.0,5.0,513.7
3.0,2.0,27.9,3.0,1.0,324.8,2.0,1.0,228.6,2.0,1.0,351.9,2.0,1.0,499.0,2.0,1.0,1569.0
3.0,4.0,9.4,3.0,4.0,629.1,2.0,4.0,343.3,2.0,3.0,538.8,2.0,3.0,768.9,2.0,3.0,2051.0
3.0,5.0,9.2,3.0,5.0,678.9,2.0,5.0,352.1,2.0,5.0,436.4,2.0,4.0,821.7,2.0,4.0,1940.0
3.0,6.0,21.2,3.0,6.0,1050.0,2.0,6.0,489.6,2.0,6.0,508.2,2.0,6.0,729.8,2.0,5.0,2217.0
4.0,2.0,48.4,4.0,1.0,471.1,4.0,1.0,35.9,3.0,1.0,72.4,3.0,1.0,97.5,3.0,1.0,658.6
4.0,3.0,16.8,4.0,3.0,784.6,4.0,2.0,176.4,3.0,2.0,310.1,3.0,2.0,508.7,3.0,2.0,2288.0
4.0,5.0,18.8,4.0,5.0,804.4,4.0,5.0,40.2,3.0,5.0,80.3,3.0,4.0,190.6,3.0,4.0,917.5
4.0,6.0,32.2,4.0,6.0,933.9,4.0,6.0,62.6,3.0,6.0,113.5,3.0,6.0,235.9,3.0,5.0,941.5
5.0,2.0,67.5,5.0,1.0,711.7,5.0,1.0,45.7,5.0,1.0,49.0,4.0,1.0,109.0,4.0,1.0,631.1
5.0,3.0,24.9,5.0,3.0,1204.0,5.0,2.0,220.0,5.0,2.0,180.9,4.0,2.0,379.6,4.0,2.0,1468.0
5.0,4.0,34.7,5.0,4.0,1267.0,5.0,4.0,66.0,5.0,3.0,82.3,4.0,3.0,174.9,4.0,3.0,857.2
5.0,6.0,42.8,5.0,6.0,1432.0,5.0,6.0,81.0,5.0,6.0,46.4,4.0,6.0,118.4,4.0,5.0,389.1
6.0,2.0,153.4,6.0,1.0,1259.0,6.0,1.0,134.3,6.0,1.0,119.0,6.0,1.0,198.6,5.0,1.0,654.9
6.0,3.0,80.1,6.0,3.0,1987.0,6.0,2.0,510.5,6.0,2.0,417.7,6.0,2.0,587.2,5.0,2.0,1599.0
6.0,4.0,84.8,6.0,4.0,1761.0,6.0,4.0,191.5,6.0,3.0,211.7,6.0,3.0,295.4,5.0,3.0,978.4
6.0,5.0,92.2,6.0,5.0,1877.0,6.0,5.0,177.6,6.0,5.0,99.8,6.0,4.0,194.4,5.0,4.0,422.9
