1,志道 吉和,志道 吉和.1,2,金子 貴志,金子 貴志.1,3,南野 利騰,南野 利騰.1,4,平池 仁志,平池 仁志.1,5,松浦 勝,松浦 勝.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,8.2,1.0,3.0,15.7,1.0,2.0,26.4,1.0,2.0,77.9,1.0,2.0,387.1,1.0,2.0,882.8
2.0,4.0,11.6,1.0,4.0,21.7,1.0,4.0,36.5,1.0,3.0,97.8,1.0,3.0,331.0,1.0,3.0,1161.0
2.0,5.0,27.6,1.0,5.0,40.7,1.0,5.0,54.1,1.0,5.0,131.8,1.0,4.0,606.8,1.0,4.0,973.8
2.0,6.0,87.7,1.0,6.0,127.5,1.0,6.0,156.9,1.0,6.0,191.2,1.0,6.0,504.2,1.0,5.0,1565.0
3.0,2.0,9.5,3.0,1.0,28.0,2.0,1.0,38.8,2.0,1.0,104.8,2.0,1.0,564.5,2.0,1.0,1324.0
3.0,4.0,13.7,3.0,4.0,44.8,2.0,4.0,49.1,2.0,3.0,112.8,2.0,3.0,368.0,2.0,3.0,1023.0
3.0,5.0,26.7,3.0,5.0,68.1,2.0,5.0,72.1,2.0,5.0,187.0,2.0,4.0,753.6,2.0,4.0,1073.0
3.0,6.0,70.9,3.0,6.0,181.1,2.0,6.0,186.5,2.0,6.0,254.1,2.0,6.0,1265.0,2.0,5.0,2068.0
4.0,2.0,22.1,4.0,1.0,52.5,4.0,1.0,60.0,3.0,1.0,142.4,3.0,1.0,539.7,3.0,1.0,1362.0
4.0,3.0,27.7,4.0,3.0,63.2,4.0,2.0,66.1,3.0,2.0,125.2,3.0,2.0,372.8,3.0,2.0,1085.0
4.0,5.0,50.4,4.0,5.0,113.7,4.0,5.0,83.4,3.0,5.0,181.5,3.0,4.0,673.1,3.0,4.0,1445.0
4.0,6.0,98.8,4.0,6.0,206.7,4.0,6.0,180.8,3.0,6.0,322.3,3.0,6.0,1226.0,3.0,5.0,1967.0
5.0,2.0,77.0,5.0,1.0,156.6,5.0,1.0,143.6,5.0,1.0,190.7,4.0,1.0,699.7,4.0,1.0,1248.0
5.0,3.0,83.1,5.0,3.0,149.9,5.0,2.0,126.5,5.0,2.0,209.7,4.0,2.0,679.5,4.0,2.0,1226.0
5.0,4.0,121.6,5.0,4.0,240.7,5.0,4.0,170.3,5.0,3.0,244.7,4.0,3.0,686.1,4.0,3.0,1557.0
5.0,6.0,214.6,5.0,6.0,480.3,5.0,6.0,337.7,5.0,6.0,283.9,4.0,6.0,1030.0,4.0,5.0,2213.0
6.0,2.0,341.0,6.0,1.0,448.3,6.0,1.0,496.3,6.0,1.0,356.9,6.0,1.0,1531.0,5.0,1.0,2146.0
6.0,3.0,366.6,6.0,3.0,474.6,6.0,2.0,483.5,6.0,2.0,375.8,6.0,2.0,1491.0,5.0,2.0,2442.0
6.0,4.0,356.4,6.0,4.0,496.3,6.0,4.0,507.8,6.0,3.0,508.7,6.0,3.0,1638.0,5.0,3.0,2422.0
6.0,5.0,431.9,6.0,5.0,726.6,6.0,5.0,676.3,6.0,5.0,504.2,6.0,4.0,1828.0,5.0,4.0,2179.0
