1,黒柳 浩孝,黒柳 浩孝.1,2,堂原 洋史,堂原 洋史.1,3,大田 直弥,大田 直弥.1,4,熊本 英一,熊本 英一.1,5,國弘 翔平,國弘 翔平.1,6,正木 聖賢,正木 聖賢.1
2.0,3.0,22.6,1.0,3.0,213.9,1.0,2.0,120.9,1.0,2.0,352.1,1.0,2.0,502.6,1.0,2.0,43.6
2.0,4.0,42.0,1.0,4.0,277.7,1.0,4.0,72.9,1.0,3.0,214.4,1.0,3.0,364.2,1.0,3.0,26.4
2.0,5.0,58.2,1.0,5.0,386.6,1.0,5.0,89.7,1.0,5.0,325.8,1.0,4.0,500.8,1.0,4.0,47.9
2.0,6.0,15.1,1.0,6.0,153.3,1.0,6.0,49.2,1.0,6.0,199.3,1.0,6.0,339.6,1.0,5.0,70.0
3.0,2.0,18.5,3.0,1.0,433.3,2.0,1.0,326.9,2.0,1.0,706.7,2.0,1.0,964.4,2.0,1.0,119.7
3.0,4.0,21.1,3.0,4.0,728.5,2.0,4.0,367.2,2.0,3.0,924.5,2.0,3.0,1340.0,2.0,3.0,229.5
3.0,5.0,27.6,3.0,5.0,891.7,2.0,5.0,569.6,2.0,5.0,1186.0,2.0,4.0,1861.0,2.0,4.0,291.6
3.0,6.0,8.7,3.0,6.0,505.8,2.0,6.0,377.6,2.0,6.0,834.3,2.0,6.0,1615.0,2.0,5.0,437.1
4.0,2.0,69.2,4.0,1.0,687.4,4.0,1.0,111.6,3.0,1.0,247.6,3.0,1.0,527.7,3.0,1.0,55.3
4.0,3.0,42.9,4.0,3.0,1018.0,4.0,2.0,247.1,3.0,2.0,599.3,3.0,2.0,1284.0,3.0,2.0,163.4
4.0,5.0,84.0,4.0,5.0,1158.0,4.0,5.0,149.4,3.0,5.0,317.4,3.0,4.0,723.3,3.0,4.0,128.2
4.0,6.0,31.2,4.0,6.0,791.6,4.0,6.0,148.4,3.0,6.0,305.8,3.0,6.0,708.0,3.0,5.0,169.4
5.0,2.0,119.1,5.0,1.0,701.8,5.0,1.0,187.9,5.0,1.0,505.8,4.0,1.0,903.7,4.0,1.0,158.4
5.0,3.0,69.0,5.0,3.0,1248.0,5.0,2.0,469.2,5.0,2.0,1025.0,4.0,2.0,1933.0,4.0,2.0,408.2
5.0,4.0,125.5,5.0,4.0,1349.0,5.0,4.0,222.3,5.0,3.0,485.7,4.0,3.0,891.7,4.0,3.0,200.8
5.0,6.0,61.7,5.0,6.0,1284.0,5.0,6.0,256.4,5.0,6.0,576.9,4.0,6.0,1061.0,4.0,5.0,309.8
6.0,2.0,11.2,6.0,1.0,216.5,6.0,1.0,78.8,6.0,1.0,273.3,6.0,1.0,594.0,5.0,1.0,270.9
6.0,3.0,5.9,6.0,3.0,435.7,6.0,2.0,271.9,6.0,2.0,777.8,6.0,2.0,1570.0,5.0,2.0,666.9
6.0,4.0,14.1,6.0,4.0,639.3,6.0,4.0,165.7,6.0,3.0,405.4,6.0,3.0,799.5,5.0,3.0,400.1
6.0,5.0,21.2,6.0,5.0,941.8,6.0,5.0,221.4,6.0,5.0,566.4,6.0,4.0,1044.0,5.0,4.0,485.1
