1,重野 哲之,重野 哲之.1,2,宇佐見 淳,宇佐見 淳.1,3,古田 祐貴,古田 祐貴.1,4,木場 悠介,木場 悠介.1,5,今坂 晃広,今坂 晃広.1,6,松山 将吾,松山 将吾.1
2.0,3.0,4.7,1.0,3.0,46.0,1.0,2.0,117.5,1.0,2.0,141.0,1.0,2.0,658.7,1.0,2.0,143.0
2.0,4.0,7.8,1.0,4.0,64.7,1.0,4.0,118.0,1.0,3.0,203.6,1.0,3.0,744.3,1.0,3.0,258.6
2.0,5.0,31.3,1.0,5.0,167.2,1.0,5.0,200.6,1.0,5.0,258.4,1.0,4.0,837.9,1.0,4.0,320.1
2.0,6.0,9.6,1.0,6.0,61.3,1.0,6.0,120.2,1.0,6.0,137.9,1.0,6.0,546.8,1.0,5.0,564.1
3.0,2.0,7.6,3.0,1.0,171.3,2.0,1.0,272.1,2.0,1.0,318.4,2.0,1.0,1160.0,2.0,1.0,276.0
3.0,4.0,12.5,3.0,4.0,469.0,2.0,4.0,611.0,2.0,3.0,622.9,2.0,3.0,1949.0,2.0,3.0,613.6
3.0,5.0,31.0,3.0,5.0,887.2,2.0,5.0,1034.0,2.0,5.0,804.9,2.0,4.0,2491.0,2.0,4.0,901.1
3.0,6.0,15.4,3.0,6.0,327.5,2.0,6.0,509.0,2.0,6.0,475.2,2.0,6.0,1758.0,2.0,5.0,1384.0
4.0,2.0,16.7,4.0,1.0,285.1,4.0,1.0,399.6,3.0,1.0,430.2,3.0,1.0,1836.0,3.0,1.0,621.6
4.0,3.0,23.5,4.0,3.0,604.5,4.0,2.0,762.1,3.0,2.0,871.0,3.0,2.0,2755.0,3.0,2.0,863.1
4.0,5.0,55.1,4.0,5.0,868.3,4.0,5.0,1609.0,3.0,5.0,2003.0,3.0,4.0,3980.0,3.0,4.0,1791.0
4.0,6.0,25.1,4.0,6.0,488.1,4.0,6.0,930.4,3.0,6.0,1030.0,3.0,6.0,3048.0,3.0,5.0,2470.0
5.0,2.0,71.9,5.0,1.0,811.8,5.0,1.0,766.2,5.0,1.0,466.7,4.0,1.0,1508.0,4.0,1.0,744.3
5.0,3.0,80.7,5.0,3.0,1469.0,5.0,2.0,1302.0,5.0,2.0,685.5,4.0,2.0,2292.0,4.0,2.0,1308.0
5.0,4.0,114.7,5.0,4.0,1685.0,5.0,4.0,2221.0,5.0,3.0,1251.0,4.0,3.0,3184.0,4.0,3.0,1768.0
5.0,6.0,85.8,5.0,6.0,1345.0,5.0,6.0,1326.0,5.0,6.0,608.4,4.0,6.0,1836.0,4.0,5.0,2274.0
6.0,2.0,25.7,6.0,1.0,224.0,6.0,1.0,458.5,6.0,1.0,275.5,6.0,1.0,865.7,5.0,1.0,1256.0
6.0,3.0,34.0,6.0,3.0,527.7,6.0,2.0,695.5,6.0,2.0,407.0,6.0,2.0,1592.0,5.0,2.0,1897.0
6.0,4.0,45.2,6.0,4.0,674.2,6.0,4.0,930.4,6.0,3.0,718.2,6.0,3.0,2238.0,5.0,3.0,2470.0
6.0,5.0,80.3,6.0,5.0,1251.0,6.0,5.0,1592.0,6.0,5.0,671.1,6.0,4.0,1962.0,5.0,4.0,2348.0
