1,竹井 貴史,竹井 貴史.1,2,溝口　海義也,溝口　海義也.1,3,國崎 良春,國崎 良春.1,4,小川 広大,小川 広大.1,5,谷村 啓司,谷村 啓司.1,6,田中 孝明,田中 孝明.1
2.0,3.0,3.0,1.0,3.0,19.1,1.0,2.0,40.4,1.0,2.0,296.0,1.0,2.0,329.9,1.0,2.0,639.0
2.0,4.0,7.4,1.0,4.0,31.7,1.0,4.0,100.9,1.0,3.0,516.4,1.0,3.0,526.1,1.0,3.0,1273.0
2.0,5.0,10.4,1.0,5.0,46.9,1.0,5.0,99.4,1.0,5.0,675.3,1.0,4.0,887.2,1.0,4.0,1676.0
2.0,6.0,17.8,1.0,6.0,60.5,1.0,6.0,172.4,1.0,6.0,747.9,1.0,6.0,942.3,1.0,5.0,2084.0
3.0,2.0,5.9,3.0,1.0,61.6,2.0,1.0,68.1,2.0,1.0,477.9,2.0,1.0,542.4,2.0,1.0,908.9
3.0,4.0,20.7,3.0,4.0,202.1,2.0,4.0,233.2,2.0,3.0,899.1,2.0,3.0,1104.0,2.0,3.0,1566.0
3.0,5.0,26.5,3.0,5.0,213.4,2.0,5.0,273.6,2.0,5.0,1146.0,2.0,4.0,1973.0,2.0,4.0,1997.0
3.0,6.0,45.5,3.0,6.0,250.4,2.0,6.0,325.4,2.0,6.0,1065.0,2.0,6.0,1651.0,2.0,5.0,2527.0
4.0,2.0,35.4,4.0,1.0,221.2,4.0,1.0,339.0,3.0,1.0,964.1,3.0,1.0,958.6,3.0,1.0,2084.0
4.0,3.0,59.6,4.0,3.0,420.1,4.0,2.0,403.8,3.0,2.0,1204.0,3.0,2.0,1278.0,3.0,2.0,1719.0
4.0,5.0,126.2,4.0,5.0,552.3,4.0,5.0,742.9,3.0,5.0,2072.0,3.0,4.0,2152.0,3.0,4.0,2399.0
4.0,6.0,131.0,4.0,6.0,657.9,4.0,6.0,672.5,3.0,6.0,1361.0,3.0,6.0,2489.0,3.0,5.0,3147.0
5.0,2.0,55.9,5.0,1.0,281.0,5.0,1.0,387.9,5.0,1.0,1158.0,4.0,1.0,1728.0,4.0,1.0,2034.0
5.0,3.0,88.8,5.0,3.0,532.9,5.0,2.0,516.4,5.0,2.0,1667.0,4.0,2.0,2209.0,4.0,2.0,2417.0
5.0,4.0,186.8,5.0,4.0,790.5,5.0,4.0,969.7,5.0,3.0,2209.0,4.0,3.0,2900.0,4.0,3.0,2566.0
5.0,6.0,182.1,5.0,6.0,829.8,5.0,6.0,873.2,5.0,6.0,1596.0,4.0,6.0,2626.0,4.0,5.0,3511.0
6.0,2.0,84.5,6.0,1.0,312.0,6.0,1.0,629.4,6.0,1.0,1318.0,6.0,1.0,1917.0,5.0,1.0,2734.0
6.0,3.0,170.5,6.0,3.0,654.1,6.0,2.0,669.8,6.0,2.0,1544.0,6.0,2.0,2471.0,5.0,2.0,4068.0
6.0,4.0,232.6,6.0,4.0,919.0,6.0,4.0,1134.0,6.0,3.0,1667.0,6.0,3.0,2875.0,5.0,3.0,4118.0
6.0,5.0,299.1,6.0,5.0,1029.0,6.0,5.0,1288.0,6.0,5.0,2489.0,6.0,4.0,2926.0,5.0,4.0,3270.0
