1,清水 敦揮,清水 敦揮.1,2,川上 剛,川上 剛.1,3,内田 圭,内田 圭.1,4,向井田　佑紀,向井田　佑紀.1,5,杉山 太陽,杉山 太陽.1,6,木村 亮太,木村 亮太.1
2.0,3.0,8.1,1.0,3.0,47.8,1.0,2.0,150.8,1.0,2.0,23.3,1.0,2.0,464.1,1.0,2.0,386.2
2.0,4.0,4.1,1.0,4.0,17.1,1.0,4.0,205.7,1.0,3.0,116.3,1.0,3.0,1477.0,1.0,3.0,821.7
2.0,5.0,54.2,1.0,5.0,151.6,1.0,5.0,559.2,1.0,5.0,103.7,1.0,4.0,657.4,1.0,4.0,326.0
2.0,6.0,15.0,1.0,6.0,52.6,1.0,6.0,327.3,1.0,6.0,38.5,1.0,6.0,825.9,1.0,5.0,1193.0
3.0,2.0,17.6,3.0,1.0,194.0,2.0,1.0,313.3,2.0,1.0,35.1,2.0,1.0,766.9,2.0,1.0,468.2
3.0,4.0,23.2,3.0,4.0,374.5,2.0,4.0,470.9,2.0,3.0,187.0,2.0,3.0,1353.0,2.0,3.0,1039.0
3.0,5.0,146.1,3.0,5.0,1025.0,2.0,5.0,953.0,2.0,5.0,174.3,2.0,4.0,1193.0,2.0,4.0,504.9
3.0,6.0,54.2,3.0,6.0,475.1,2.0,6.0,738.8,2.0,6.0,65.5,2.0,6.0,1477.0,2.0,5.0,1451.0
4.0,2.0,7.8,4.0,1.0,45.9,4.0,1.0,446.1,3.0,1.0,334.8,3.0,1.0,1278.0,3.0,1.0,1158.0
4.0,3.0,22.0,4.0,3.0,200.8,4.0,2.0,639.1,3.0,2.0,419.4,3.0,2.0,1626.0,3.0,2.0,1258.0
4.0,5.0,62.6,4.0,5.0,332.1,4.0,5.0,1364.0,3.0,5.0,843.2,3.0,4.0,1677.0,3.0,4.0,1103.0
4.0,6.0,19.5,4.0,6.0,116.4,4.0,6.0,856.7,3.0,6.0,475.1,3.0,6.0,1988.0,3.0,5.0,1851.0
5.0,2.0,163.0,5.0,1.0,598.7,5.0,1.0,1184.0,5.0,1.0,138.7,4.0,1.0,581.4,4.0,1.0,304.4
5.0,3.0,340.5,5.0,3.0,1505.0,5.0,2.0,1193.0,5.0,2.0,184.9,4.0,2.0,742.2,4.0,2.0,350.9
5.0,4.0,187.9,5.0,4.0,899.8,5.0,4.0,1519.0,5.0,3.0,511.3,4.0,3.0,1872.0,4.0,3.0,925.6
5.0,6.0,236.1,5.0,6.0,1019.0,5.0,6.0,2064.0,5.0,6.0,173.7,4.0,6.0,821.7,4.0,5.0,1095.0
6.0,2.0,56.3,6.0,1.0,225.5,6.0,1.0,941.9,6.0,1.0,66.5,6.0,1.0,1238.0,5.0,1.0,1626.0
6.0,3.0,145.1,6.0,3.0,742.2,6.0,2.0,1167.0,6.0,2.0,82.4,6.0,2.0,1425.0,5.0,2.0,1750.0
6.0,4.0,63.8,6.0,4.0,265.3,6.0,4.0,1258.0,6.0,3.0,285.0,6.0,3.0,2684.0,5.0,3.0,2825.0
6.0,5.0,266.2,6.0,5.0,925.6,6.0,5.0,2091.0,6.0,5.0,190.3,6.0,4.0,1533.0,5.0,4.0,1713.0
