1,牧原 崇,牧原 崇.1,2,井上 忠政,井上 忠政.1,3,森 竜也,森 竜也.1,4,山戸 信二,山戸 信二.1,5,上田 洋平,上田 洋平.1,6,中越 博紀,中越 博紀.1
2.0,3.0,15.2,1.0,3.0,23.2,1.0,2.0,337.5,1.0,2.0,172.7,1.0,2.0,104.9,1.0,2.0,285.9
2.0,4.0,12.0,1.0,4.0,16.3,1.0,4.0,729.7,1.0,3.0,591.7,1.0,3.0,453.3,1.0,3.0,1288.0
2.0,5.0,7.0,1.0,5.0,7.9,1.0,5.0,500.4,1.0,5.0,225.5,1.0,4.0,299.6,1.0,4.0,1101.0
2.0,6.0,10.0,1.0,6.0,11.1,1.0,6.0,550.6,1.0,6.0,248.4,1.0,6.0,173.2,1.0,5.0,456.8
3.0,2.0,48.1,3.0,1.0,104.8,2.0,1.0,377.5,2.0,1.0,171.0,2.0,1.0,108.5,2.0,1.0,302.1
3.0,4.0,112.6,3.0,4.0,184.5,2.0,4.0,615.2,2.0,3.0,609.9,2.0,3.0,380.8,2.0,3.0,1173.0
3.0,5.0,89.7,3.0,5.0,122.7,2.0,5.0,366.3,2.0,5.0,183.9,2.0,4.0,265.6,2.0,4.0,606.8
3.0,6.0,121.2,3.0,6.0,144.5,2.0,6.0,483.5,2.0,6.0,192.1,2.0,6.0,134.4,2.0,5.0,346.0
4.0,2.0,40.2,4.0,1.0,55.6,4.0,1.0,1383.0,3.0,1.0,1302.0,3.0,1.0,912.5,3.0,1.0,2015.0
4.0,3.0,143.0,4.0,3.0,192.1,4.0,2.0,1221.0,3.0,2.0,1307.0,3.0,2.0,803.6,3.0,2.0,2027.0
4.0,5.0,82.2,4.0,5.0,75.4,4.0,5.0,1486.0,3.0,5.0,1122.0,3.0,4.0,1356.0,3.0,4.0,2512.0
4.0,6.0,97.6,4.0,6.0,88.0,4.0,6.0,1551.0,3.0,6.0,1181.0,3.0,6.0,1052.0,3.0,5.0,1802.0
5.0,2.0,24.2,5.0,1.0,27.3,5.0,1.0,894.2,5.0,1.0,273.0,4.0,1.0,451.1,4.0,1.0,1346.0
5.0,3.0,117.9,5.0,3.0,115.1,5.0,2.0,617.3,5.0,2.0,230.2,4.0,2.0,355.0,4.0,2.0,874.5
5.0,4.0,78.5,5.0,4.0,81.2,5.0,4.0,1438.0,5.0,3.0,769.0,4.0,3.0,974.9,4.0,3.0,2495.0
5.0,6.0,53.9,5.0,6.0,35.1,5.0,6.0,926.8,5.0,6.0,240.2,4.0,6.0,345.7,4.0,5.0,1055.0
6.0,2.0,48.9,6.0,1.0,47.0,6.0,1.0,1341.0,6.0,1.0,455.7,6.0,1.0,269.9,5.0,1.0,544.7
6.0,3.0,207.6,6.0,3.0,219.8,6.0,2.0,1158.0,6.0,2.0,361.1,6.0,2.0,212.0,5.0,2.0,388.6
6.0,4.0,174.8,6.0,4.0,151.4,6.0,4.0,2123.0,6.0,3.0,922.0,6.0,3.0,824.0,5.0,3.0,1518.0
6.0,5.0,89.6,6.0,5.0,56.8,6.0,5.0,1189.0,6.0,5.0,345.0,6.0,4.0,442.7,5.0,4.0,964.3
