1,乙藤 智史,乙藤 智史.1,2,橋本 英一,橋本 英一.1,3,神里 琴音,神里 琴音.1,4,米丸 乃絵,米丸 乃絵.1,5,木下 大將,木下 大將.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,26.4,1.0,3.0,141.9,1.0,2.0,167.1,1.0,2.0,61.5,1.0,2.0,36.7,1.0,2.0,1183.0
2.0,4.0,13.3,1.0,4.0,97.8,1.0,4.0,115.9,1.0,3.0,92.8,1.0,3.0,68.2,1.0,3.0,2353.0
2.0,5.0,9.4,1.0,5.0,78.1,1.0,5.0,95.5,1.0,5.0,32.0,1.0,4.0,31.2,1.0,4.0,2222.0
2.0,6.0,152.9,1.0,6.0,510.3,1.0,6.0,460.9,1.0,6.0,253.8,1.0,6.0,143.8,1.0,5.0,1351.0
3.0,2.0,35.3,3.0,1.0,286.5,2.0,1.0,326.8,2.0,1.0,138.6,2.0,1.0,87.2,2.0,1.0,2273.0
3.0,4.0,24.8,3.0,4.0,378.8,2.0,4.0,455.6,2.0,3.0,322.1,2.0,3.0,295.0,2.0,3.0,4762.0
3.0,5.0,20.0,3.0,5.0,371.1,2.0,5.0,455.6,2.0,5.0,133.5,2.0,4.0,133.8,2.0,4.0,3279.0
3.0,6.0,227.0,3.0,6.0,1190.0,2.0,6.0,1389.0,2.0,6.0,606.1,2.0,6.0,477.4,2.0,5.0,3449.0
4.0,2.0,15.7,4.0,1.0,170.9,4.0,1.0,188.7,3.0,1.0,192.7,3.0,1.0,175.6,3.0,1.0,3077.0
4.0,3.0,26.6,4.0,3.0,390.7,4.0,2.0,412.4,3.0,2.0,363.0,3.0,2.0,378.1,3.0,2.0,5264.0
4.0,5.0,9.2,4.0,5.0,183.6,4.0,5.0,195.5,3.0,5.0,185.7,3.0,4.0,257.1,3.0,4.0,3847.0
4.0,6.0,133.8,4.0,6.0,939.1,4.0,6.0,778.3,3.0,6.0,732.7,3.0,6.0,763.5,3.0,5.0,4256.0
5.0,2.0,9.3,5.0,1.0,126.8,5.0,1.0,175.9,5.0,1.0,34.7,4.0,1.0,46.8,4.0,1.0,2564.0
5.0,3.0,17.4,5.0,3.0,349.7,5.0,2.0,383.9,5.0,2.0,67.8,4.0,2.0,92.3,4.0,2.0,2985.0
5.0,4.0,9.2,5.0,4.0,212.3,5.0,4.0,227.3,5.0,3.0,112.1,4.0,3.0,159.2,4.0,3.0,4167.0
5.0,6.0,82.5,5.0,6.0,980.6,5.0,6.0,1105.0,5.0,6.0,158.6,4.0,6.0,232.6,4.0,5.0,2632.0
6.0,2.0,549.5,6.0,1.0,1136.0,6.0,1.0,1786.0,6.0,1.0,581.5,6.0,1.0,474.0,5.0,1.0,1470.0
6.0,3.0,574.8,6.0,3.0,2174.0,6.0,2.0,2353.0,6.0,2.0,881.2,6.0,2.0,943.6,5.0,2.0,3175.0
6.0,4.0,472.9,6.0,4.0,1600.0,6.0,4.0,1942.0,6.0,3.0,1015.0,6.0,3.0,1111.0,5.0,3.0,4546.0
6.0,5.0,353.4,6.0,5.0,1770.0,6.0,5.0,2410.0,6.0,5.0,615.5,6.0,4.0,813.1,5.0,4.0,2778.0
