1,藤田 美代,藤田 美代.1,2,玄馬 徹,玄馬 徹.1,3,田中　太一郎,田中　太一郎.1,4,渡邉 翼,渡邉 翼.1,5,大場 広孝,大場 広孝.1,6,高橋 淳美,高橋 淳美.1
2.0,3.0,22.4,1.0,3.0,36.5,1.0,2.0,34.2,1.0,2.0,57.2,1.0,2.0,457.7,1.0,2.0,1308.0
2.0,4.0,26.5,1.0,4.0,37.3,1.0,4.0,21.7,1.0,3.0,37.2,1.0,3.0,377.4,1.0,3.0,1157.0
2.0,5.0,67.3,1.0,5.0,93.9,1.0,5.0,44.3,1.0,5.0,64.6,1.0,4.0,318.5,1.0,4.0,1084.0
2.0,6.0,201.6,1.0,6.0,219.3,1.0,6.0,162.0,1.0,6.0,149.0,1.0,6.0,933.3,1.0,5.0,2075.0
3.0,2.0,22.3,3.0,1.0,43.5,2.0,1.0,43.7,2.0,1.0,74.7,2.0,1.0,590.1,2.0,1.0,1504.0
3.0,4.0,14.5,3.0,4.0,32.6,2.0,4.0,29.4,2.0,3.0,55.5,2.0,3.0,349.9,2.0,3.0,948.0
3.0,5.0,46.6,3.0,5.0,78.3,2.0,5.0,55.1,2.0,5.0,53.8,2.0,4.0,304.8,2.0,4.0,919.0
3.0,6.0,111.0,3.0,6.0,236.5,2.0,6.0,187.5,2.0,6.0,186.0,2.0,6.0,1468.0,2.0,5.0,2006.0
4.0,2.0,27.8,4.0,1.0,54.6,4.0,1.0,21.6,3.0,1.0,37.4,3.0,1.0,379.7,3.0,1.0,1543.0
4.0,3.0,19.1,4.0,3.0,38.5,4.0,2.0,25.4,3.0,2.0,50.2,3.0,2.0,343.0,3.0,2.0,1180.0
4.0,5.0,54.2,4.0,5.0,64.9,4.0,5.0,26.5,3.0,5.0,42.5,3.0,4.0,200.9,3.0,4.0,933.3
4.0,6.0,113.7,4.0,6.0,228.4,4.0,6.0,89.9,3.0,6.0,115.7,3.0,6.0,1504.0,3.0,5.0,2229.0
5.0,2.0,153.7,5.0,1.0,273.6,5.0,1.0,108.8,5.0,1.0,69.6,4.0,1.0,262.8,4.0,1.0,1104.0
5.0,3.0,153.5,5.0,3.0,172.9,5.0,2.0,103.4,5.0,2.0,56.6,4.0,2.0,225.0,4.0,2.0,1056.0
5.0,4.0,143.4,5.0,4.0,136.9,5.0,4.0,62.7,5.0,3.0,64.4,4.0,3.0,189.3,4.0,3.0,948.0
5.0,6.0,450.9,5.0,6.0,738.6,5.0,6.0,325.3,5.0,6.0,93.9,4.0,6.0,378.6,4.0,5.0,866.1
6.0,2.0,363.7,6.0,1.0,847.8,6.0,1.0,501.6,6.0,1.0,225.8,6.0,1.0,1323.0,5.0,1.0,2271.0
6.0,3.0,262.3,6.0,3.0,668.8,6.0,2.0,505.8,6.0,2.0,226.3,6.0,2.0,1824.0,5.0,2.0,3344.0
6.0,4.0,240.7,6.0,4.0,334.4,6.0,4.0,239.3,6.0,3.0,250.3,6.0,3.0,1450.0,5.0,3.0,2457.0
6.0,5.0,611.1,6.0,5.0,912.0,6.0,5.0,487.4,6.0,5.0,148.2,6.0,4.0,704.0,5.0,4.0,948.0
