1,吉島 祥之,吉島 祥之.1,2,眞鳥 康太,眞鳥 康太.1,3,高木 圭大,高木 圭大.1,4,浮田 圭浩,浮田 圭浩.1,5,川辺 郭人,川辺 郭人.1,6,藤井 公人,藤井 公人.1
2.0,3.0,12.0,1.0,3.0,48.1,1.0,2.0,159.2,1.0,2.0,37.8,1.0,2.0,1780.0,1.0,2.0,80.2
2.0,4.0,7.4,1.0,4.0,29.7,1.0,4.0,154.1,1.0,3.0,70.5,1.0,3.0,1628.0,1.0,3.0,165.8
2.0,5.0,155.9,1.0,5.0,394.2,1.0,5.0,617.3,1.0,5.0,189.0,1.0,4.0,1897.0,1.0,4.0,68.5
2.0,6.0,11.6,1.0,6.0,38.9,1.0,6.0,184.5,1.0,6.0,29.0,1.0,6.0,1617.0,1.0,5.0,380.2
3.0,2.0,18.4,3.0,1.0,157.8,2.0,1.0,246.4,2.0,1.0,82.0,2.0,1.0,2106.0,2.0,1.0,159.5
3.0,4.0,18.2,3.0,4.0,206.4,2.0,4.0,300.2,2.0,3.0,188.3,2.0,3.0,1954.0,2.0,3.0,379.9
3.0,5.0,209.1,3.0,5.0,1231.0,2.0,5.0,1350.0,2.0,5.0,555.3,2.0,4.0,3234.0,2.0,4.0,195.4
3.0,6.0,24.3,3.0,6.0,270.3,2.0,6.0,356.6,2.0,6.0,100.1,2.0,6.0,2594.0,2.0,5.0,810.0
4.0,2.0,9.5,4.0,1.0,84.9,4.0,1.0,262.6,3.0,1.0,216.4,3.0,1.0,1946.0,3.0,1.0,434.1
4.0,3.0,17.0,4.0,3.0,196.1,4.0,2.0,361.9,3.0,2.0,291.9,3.0,2.0,3479.0,3.0,2.0,600.4
4.0,5.0,138.3,4.0,5.0,924.1,4.0,5.0,1367.0,3.0,5.0,805.8,3.0,4.0,3062.0,3.0,4.0,512.6
4.0,6.0,11.1,4.0,6.0,132.9,4.0,6.0,309.3,3.0,6.0,244.4,3.0,6.0,3304.0,3.0,5.0,1531.0
5.0,2.0,479.4,5.0,1.0,1362.0,5.0,1.0,1726.0,5.0,1.0,497.0,4.0,1.0,2050.0,4.0,1.0,76.6
5.0,3.0,463.4,5.0,3.0,2208.0,5.0,2.0,2331.0,5.0,2.0,750.5,4.0,2.0,3145.0,4.0,2.0,123.9
5.0,4.0,570.5,5.0,4.0,2050.0,5.0,4.0,2509.0,5.0,3.0,1036.0,4.0,3.0,3082.0,4.0,3.0,258.0
5.0,6.0,418.3,5.0,6.0,1815.0,5.0,6.0,2367.0,5.0,6.0,336.9,4.0,6.0,1156.0,4.0,5.0,304.3
6.0,2.0,22.2,6.0,1.0,143.1,6.0,1.0,391.9,6.0,1.0,37.8,6.0,1.0,2319.0,5.0,1.0,996.3
6.0,3.0,39.5,6.0,3.0,319.8,6.0,2.0,521.9,6.0,2.0,61.8,6.0,2.0,2750.0,5.0,2.0,1404.0
6.0,4.0,21.7,6.0,4.0,167.5,6.0,4.0,441.2,6.0,3.0,122.1,6.0,3.0,3041.0,5.0,3.0,1664.0
6.0,5.0,230.6,6.0,5.0,1241.0,6.0,5.0,1694.0,6.0,5.0,143.8,6.0,4.0,1261.0,5.0,4.0,723.3
