1,田村 慶,田村 慶.1,2,金子 萌,金子 萌.1,3,角浜 修,角浜 修.1,4,川口 貴久,川口 貴久.1,5,中田 元泰,中田 元泰.1,6,北川 潤二,北川 潤二.1
2.0,3.0,75.9,1.0,3.0,126.8,1.0,2.0,287.5,1.0,2.0,259.6,1.0,2.0,100.6,1.0,2.0,27.7
2.0,4.0,64.5,1.0,4.0,96.0,1.0,4.0,356.2,1.0,3.0,482.4,1.0,3.0,264.5,1.0,3.0,84.5
2.0,5.0,20.2,1.0,5.0,43.4,1.0,5.0,225.5,1.0,5.0,162.4,1.0,4.0,232.8,1.0,4.0,76.2
2.0,6.0,21.5,1.0,6.0,47.9,1.0,6.0,254.9,1.0,6.0,230.7,1.0,6.0,92.9,1.0,5.0,31.4
3.0,2.0,127.9,3.0,1.0,202.7,2.0,1.0,293.2,2.0,1.0,312.3,2.0,1.0,118.5,2.0,1.0,36.2
3.0,4.0,207.0,3.0,4.0,173.1,2.0,4.0,265.5,2.0,3.0,411.9,2.0,3.0,205.5,2.0,3.0,69.2
3.0,5.0,144.7,3.0,5.0,104.5,2.0,5.0,154.9,2.0,5.0,143.8,2.0,4.0,168.2,2.0,4.0,64.8
3.0,6.0,135.5,3.0,6.0,119.6,2.0,6.0,178.2,2.0,6.0,198.2,2.0,6.0,68.1,2.0,5.0,26.2
4.0,2.0,124.0,4.0,1.0,170.3,4.0,1.0,278.7,3.0,1.0,341.1,3.0,1.0,359.8,3.0,1.0,140.6
4.0,3.0,281.4,4.0,3.0,211.8,4.0,2.0,239.6,3.0,2.0,309.6,3.0,2.0,292.2,3.0,2.0,98.6
4.0,5.0,102.4,4.0,5.0,83.6,4.0,5.0,107.2,3.0,5.0,135.5,3.0,4.0,295.9,3.0,4.0,138.1
4.0,6.0,119.5,4.0,6.0,105.0,4.0,6.0,157.6,3.0,6.0,223.2,3.0,6.0,221.3,3.0,5.0,71.9
5.0,2.0,35.3,5.0,1.0,68.1,5.0,1.0,194.7,5.0,1.0,172.3,4.0,1.0,245.4,4.0,1.0,158.3
5.0,3.0,149.4,5.0,3.0,114.6,5.0,2.0,154.4,5.0,2.0,133.6,4.0,2.0,169.7,4.0,2.0,109.1
5.0,4.0,103.4,5.0,4.0,80.5,5.0,4.0,131.6,5.0,3.0,165.4,4.0,3.0,253.1,4.0,3.0,172.0
5.0,6.0,36.8,5.0,6.0,40.4,5.0,6.0,121.8,5.0,6.0,97.5,4.0,6.0,116.8,4.0,5.0,69.5
6.0,2.0,19.6,6.0,1.0,56.5,6.0,1.0,228.3,6.0,1.0,225.7,6.0,1.0,97.6,5.0,1.0,53.2
6.0,3.0,66.9,6.0,3.0,83.4,6.0,2.0,168.2,6.0,2.0,175.6,6.0,2.0,57.6,5.0,2.0,37.1
6.0,4.0,62.2,6.0,4.0,67.6,6.0,4.0,186.1,6.0,3.0,240.0,6.0,3.0,170.0,5.0,3.0,85.6
6.0,5.0,23.0,6.0,5.0,28.2,6.0,5.0,118.2,6.0,5.0,105.0,6.0,4.0,107.6,5.0,4.0,63.0
