1,服部 達哉,服部 達哉.1,2,檀 将太,檀 将太.1,3,西野 翔太,西野 翔太.1,4,大串 重幸,大串 重幸.1,5,屋良 龍紀,屋良 龍紀.1,6,大神 康司,大神 康司.1
2.0,3.0,56.5,1.0,3.0,116.8,1.0,2.0,29.7,1.0,2.0,234.3,1.0,2.0,1023.0,1.0,2.0,91.8
2.0,4.0,110.0,1.0,4.0,147.5,1.0,4.0,18.7,1.0,3.0,123.0,1.0,3.0,916.8,1.0,3.0,34.7
2.0,5.0,303.0,1.0,5.0,418.2,1.0,5.0,115.2,1.0,5.0,430.9,1.0,4.0,1007.0,1.0,4.0,63.4
2.0,6.0,82.0,1.0,6.0,155.9,1.0,6.0,9.6,1.0,6.0,135.8,1.0,6.0,1237.0,1.0,5.0,337.6
3.0,2.0,24.2,3.0,1.0,115.8,2.0,1.0,72.0,2.0,1.0,221.2,2.0,1.0,1494.0,2.0,1.0,139.7
3.0,4.0,17.1,3.0,4.0,110.1,2.0,4.0,77.7,2.0,3.0,157.9,2.0,3.0,1707.0,2.0,3.0,98.9
3.0,5.0,114.3,3.0,5.0,394.5,2.0,5.0,292.5,2.0,5.0,439.6,2.0,4.0,1477.0,2.0,4.0,124.2
3.0,6.0,10.2,3.0,6.0,115.7,2.0,6.0,62.7,2.0,6.0,166.4,2.0,6.0,1623.0,2.0,5.0,584.1
4.0,2.0,123.6,4.0,1.0,133.2,4.0,1.0,38.5,3.0,1.0,112.6,3.0,1.0,1073.0,3.0,1.0,29.7
4.0,3.0,56.7,4.0,3.0,105.0,4.0,2.0,74.5,3.0,2.0,170.6,3.0,2.0,1494.0,3.0,2.0,53.2
4.0,5.0,328.4,4.0,5.0,285.1,4.0,5.0,248.9,3.0,5.0,394.1,3.0,4.0,1461.0,3.0,4.0,32.9
4.0,6.0,69.0,4.0,6.0,119.3,4.0,6.0,26.5,3.0,6.0,75.9,3.0,6.0,1290.0,3.0,5.0,243.2
5.0,2.0,481.8,5.0,1.0,657.9,5.0,1.0,479.5,5.0,1.0,691.2,4.0,1.0,1200.0,4.0,1.0,110.1
5.0,3.0,468.7,5.0,3.0,619.8,5.0,2.0,518.4,5.0,2.0,936.3,4.0,2.0,1553.0,4.0,2.0,138.9
5.0,4.0,601.9,5.0,4.0,591.1,5.0,4.0,530.9,5.0,3.0,743.1,4.0,3.0,1610.0,4.0,3.0,69.8
5.0,6.0,616.9,5.0,6.0,736.2,5.0,6.0,425.8,5.0,6.0,902.2,4.0,6.0,1768.0,4.0,5.0,498.8
6.0,2.0,47.9,6.0,1.0,194.7,6.0,1.0,14.8,6.0,1.0,169.6,6.0,1.0,1483.0,5.0,1.0,906.3
6.0,3.0,17.9,6.0,3.0,155.2,6.0,2.0,33.4,6.0,2.0,210.9,6.0,2.0,1868.0,5.0,2.0,894.0
6.0,4.0,35.2,6.0,4.0,163.3,6.0,4.0,18.1,6.0,3.0,92.7,6.0,3.0,1082.0,5.0,3.0,680.5
6.0,5.0,235.4,6.0,5.0,619.8,6.0,5.0,144.5,6.0,5.0,615.9,6.0,4.0,1990.0,5.0,4.0,775.1
