1,上田 隆章,上田 隆章.1,2,杢野 誓良,杢野 誓良.1,3,坂東 満,坂東 満.1,4,中嶋 達也,中嶋 達也.1,5,峰重 侑治,峰重 侑治.1,6,山本 修一,山本 修一.1
2.0,3.0,25.0,1.0,3.0,43.4,1.0,2.0,232.4,1.0,2.0,338.2,1.0,2.0,71.3,1.0,2.0,91.6
2.0,4.0,46.7,1.0,4.0,70.9,1.0,4.0,367.9,1.0,3.0,479.1,1.0,3.0,184.2,1.0,3.0,198.2
2.0,5.0,14.4,1.0,5.0,24.2,1.0,5.0,204.8,1.0,5.0,229.2,1.0,4.0,194.0,1.0,4.0,267.3
2.0,6.0,12.6,1.0,6.0,17.5,1.0,6.0,163.9,1.0,6.0,229.7,1.0,6.0,51.9,1.0,5.0,95.8
3.0,2.0,43.2,3.0,1.0,122.5,2.0,1.0,231.9,2.0,1.0,406.1,2.0,1.0,88.5,2.0,1.0,99.6
3.0,4.0,67.3,3.0,4.0,213.0,2.0,4.0,270.4,2.0,3.0,787.7,2.0,3.0,194.0,2.0,3.0,184.5
3.0,5.0,48.4,3.0,5.0,85.5,2.0,5.0,191.1,2.0,5.0,255.7,2.0,4.0,184.5,2.0,4.0,197.9
3.0,6.0,42.0,3.0,6.0,60.3,2.0,6.0,143.8,2.0,6.0,227.0,2.0,6.0,53.9,2.0,5.0,83.6
4.0,2.0,84.9,4.0,1.0,195.6,4.0,1.0,543.4,3.0,1.0,663.1,3.0,1.0,267.9,3.0,1.0,276.1
4.0,3.0,130.8,4.0,3.0,298.6,4.0,2.0,503.7,3.0,2.0,1057.0,3.0,2.0,331.5,3.0,2.0,367.9
4.0,5.0,94.9,4.0,5.0,172.3,4.0,5.0,698.6,3.0,5.0,715.7,3.0,4.0,595.8,3.0,4.0,809.5
4.0,6.0,89.0,4.0,6.0,125.0,4.0,6.0,634.4,3.0,6.0,621.0,3.0,6.0,188.7,3.0,5.0,347.2
5.0,2.0,22.3,5.0,1.0,48.0,5.0,1.0,259.1,5.0,1.0,190.2,4.0,1.0,222.3,4.0,1.0,375.0
5.0,3.0,60.4,5.0,3.0,83.6,5.0,2.0,247.6,5.0,2.0,241.0,4.0,2.0,233.8,4.0,2.0,282.1
5.0,4.0,89.6,5.0,4.0,129.1,5.0,4.0,561.6,5.0,3.0,586.9,4.0,3.0,637.9,4.0,3.0,803.9
5.0,6.0,24.1,5.0,6.0,29.5,5.0,6.0,221.0,5.0,6.0,128.0,4.0,6.0,139.0,4.0,5.0,248.1
6.0,2.0,24.4,6.0,1.0,44.0,6.0,1.0,222.3,6.0,1.0,194.9,6.0,1.0,51.8,5.0,1.0,80.9
6.0,3.0,67.9,6.0,3.0,54.8,6.0,2.0,236.1,6.0,2.0,231.0,6.0,2.0,47.6,5.0,2.0,69.4
6.0,4.0,98.4,6.0,4.0,91.7,6.0,4.0,678.5,6.0,3.0,777.3,6.0,3.0,139.4,5.0,3.0,183.6
6.0,5.0,31.9,6.0,5.0,37.3,6.0,5.0,279.4,6.0,5.0,156.0,6.0,4.0,91.0,5.0,4.0,147.4
