1,奥田 誠,奥田 誠.1,2,山田 和佐,山田 和佐.1,3,宮武 英司,宮武 英司.1,4,溝口　海義也,溝口　海義也.1,5,越智 照浩,越智 照浩.1,6,坂東 満,坂東 満.1
2.0,3.0,32.3,1.0,3.0,103.6,1.0,2.0,75.4,1.0,2.0,38.3,1.0,2.0,892.3,1.0,2.0,677.4
2.0,4.0,27.2,1.0,4.0,78.4,1.0,4.0,23.6,1.0,3.0,17.3,1.0,3.0,829.4,1.0,3.0,341.3
2.0,5.0,158.1,1.0,5.0,323.4,1.0,5.0,138.2,1.0,5.0,65.9,1.0,4.0,599.0,1.0,4.0,364.4
2.0,6.0,106.4,1.0,6.0,183.0,1.0,6.0,59.6,1.0,6.0,27.7,1.0,6.0,898.5,1.0,5.0,1320.0
3.0,2.0,22.2,3.0,1.0,196.3,2.0,1.0,156.4,2.0,1.0,79.6,2.0,1.0,1078.0,2.0,1.0,951.3
3.0,4.0,8.9,3.0,4.0,155.7,2.0,4.0,96.7,2.0,3.0,77.2,2.0,3.0,2230.0,2.0,3.0,892.3
3.0,5.0,66.4,3.0,5.0,543.6,2.0,5.0,393.2,2.0,5.0,198.4,2.0,4.0,1406.0,2.0,4.0,788.9
3.0,6.0,35.5,3.0,6.0,264.0,2.0,6.0,165.6,2.0,6.0,88.5,2.0,6.0,1453.0,2.0,5.0,2537.0
4.0,2.0,19.9,4.0,1.0,122.4,4.0,1.0,22.7,3.0,1.0,19.8,3.0,1.0,868.3,3.0,1.0,480.9
4.0,3.0,9.2,4.0,3.0,128.7,4.0,2.0,51.3,3.0,2.0,45.8,3.0,2.0,1617.0,3.0,2.0,917.6
4.0,5.0,54.2,4.0,5.0,491.9,4.0,5.0,89.6,3.0,5.0,64.0,3.0,4.0,868.3,3.0,4.0,207.3
4.0,6.0,28.2,4.0,6.0,201.5,4.0,6.0,27.0,3.0,6.0,21.8,3.0,6.0,1134.0,3.0,5.0,1617.0
5.0,2.0,335.1,5.0,1.0,834.7,5.0,1.0,380.5,5.0,1.0,100.2,4.0,1.0,622.0,4.0,1.0,326.7
5.0,3.0,243.6,5.0,3.0,1453.0,5.0,2.0,680.9,5.0,2.0,164.4,4.0,2.0,1051.0,4.0,2.0,628.0
5.0,4.0,218.5,5.0,4.0,1125.0,5.0,4.0,357.4,5.0,3.0,131.4,4.0,3.0,880.1,4.0,3.0,167.8
5.0,6.0,420.0,5.0,6.0,1822.0,5.0,6.0,452.4,5.0,6.0,90.6,4.0,6.0,808.6,4.0,5.0,944.4
6.0,2.0,225.4,6.0,1.0,572.5,6.0,1.0,141.8,6.0,1.0,48.5,6.0,1.0,1680.0,5.0,1.0,3009.0
6.0,3.0,96.6,6.0,3.0,646.9,6.0,2.0,256.7,6.0,2.0,85.8,6.0,2.0,2310.0,5.0,2.0,3496.0
6.0,4.0,91.5,6.0,4.0,517.5,6.0,4.0,80.0,6.0,3.0,41.6,6.0,3.0,1597.0,5.0,3.0,2396.0
6.0,5.0,505.4,6.0,5.0,1875.0,6.0,5.0,429.8,6.0,5.0,95.2,6.0,4.0,1155.0,5.0,4.0,1406.0
