1,乙藤 智史,乙藤 智史.1,2,岩永 節也,岩永 節也.1,3,佐藤 悠,佐藤 悠.1,4,大澤 大夢,大澤 大夢.1,5,香月 大輝,香月 大輝.1,6,山崎 昂介,山崎 昂介.1
2.0,3.0,29.8,1.0,3.0,191.2,1.0,2.0,42.3,1.0,2.0,142.8,1.0,2.0,663.0,1.0,2.0,468.5
2.0,4.0,36.8,1.0,4.0,277.8,1.0,4.0,12.7,1.0,3.0,49.0,1.0,3.0,472.2,1.0,3.0,204.9
2.0,5.0,182.7,1.0,5.0,853.5,1.0,5.0,69.6,1.0,5.0,174.3,1.0,4.0,475.2,1.0,4.0,343.7
2.0,6.0,79.8,1.0,6.0,434.2,1.0,6.0,19.6,1.0,6.0,74.2,1.0,6.0,596.4,1.0,5.0,1045.0
3.0,2.0,15.1,3.0,1.0,244.4,2.0,1.0,115.3,2.0,1.0,343.7,2.0,1.0,1768.0,2.0,1.0,990.1
3.0,4.0,6.3,3.0,4.0,260.7,2.0,4.0,110.7,2.0,3.0,254.0,2.0,3.0,1421.0,2.0,3.0,584.7
3.0,5.0,46.3,3.0,5.0,775.5,2.0,5.0,339.0,2.0,5.0,663.0,2.0,4.0,1470.0,2.0,4.0,633.3
3.0,6.0,13.4,3.0,6.0,321.4,2.0,6.0,137.9,2.0,6.0,311.3,2.0,6.0,1778.0,2.0,5.0,1993.0
4.0,2.0,30.5,4.0,1.0,466.3,4.0,1.0,16.1,3.0,1.0,41.5,3.0,1.0,664.5,3.0,1.0,207.4
4.0,3.0,12.7,4.0,3.0,295.2,4.0,2.0,54.1,3.0,2.0,121.5,3.0,2.0,1100.0,3.0,2.0,377.4
4.0,5.0,75.0,4.0,5.0,1100.0,4.0,5.0,52.0,3.0,5.0,104.0,3.0,4.0,461.9,3.0,4.0,163.1
4.0,6.0,28.3,4.0,6.0,444.6,4.0,6.0,17.0,3.0,6.0,39.6,3.0,6.0,648.5,3.0,5.0,796.3
5.0,2.0,300.6,5.0,1.0,1632.0,5.0,1.0,178.2,5.0,1.0,281.2,4.0,1.0,464.1,4.0,1.0,381.7
5.0,3.0,167.6,5.0,3.0,1120.0,5.0,2.0,380.8,5.0,2.0,511.2,4.0,2.0,548.0,4.0,2.0,528.5
5.0,4.0,168.8,5.0,4.0,1632.0,5.0,4.0,131.7,5.0,3.0,246.5,4.0,3.0,444.6,4.0,3.0,195.4
5.0,6.0,313.0,5.0,6.0,1980.0,5.0,6.0,146.5,5.0,6.0,246.5,4.0,6.0,528.5,4.0,5.0,858.4
6.0,2.0,151.8,6.0,1.0,986.8,6.0,1.0,50.5,6.0,1.0,123.0,6.0,1.0,1362.0,5.0,1.0,1571.0
6.0,3.0,54.9,6.0,3.0,460.5,6.0,2.0,124.4,6.0,2.0,257.3,6.0,2.0,1879.0,5.0,2.0,2320.0
6.0,4.0,74.8,6.0,4.0,634.6,6.0,4.0,39.4,6.0,3.0,88.0,6.0,3.0,925.3,5.0,3.0,1291.0
6.0,5.0,304.6,6.0,5.0,2250.0,6.0,5.0,149.9,6.0,5.0,286.4,6.0,4.0,942.9,5.0,4.0,1155.0
