1,出本 正博,出本 正博.1,2,嶋田 貴支,嶋田 貴支.1,3,田中 宏樹,田中 宏樹.1,4,豊田 泰洋,豊田 泰洋.1,5,川辺 郭人,川辺 郭人.1,6,坂井 康嗣,坂井 康嗣.1
2.0,3.0,13.1,1.0,3.0,24.9,1.0,2.0,25.7,1.0,2.0,149.2,1.0,2.0,771.9,1.0,2.0,393.8
2.0,4.0,33.2,1.0,4.0,46.1,1.0,4.0,31.9,1.0,3.0,121.0,1.0,3.0,689.7,1.0,3.0,363.1
2.0,5.0,184.7,1.0,5.0,249.6,1.0,5.0,137.1,1.0,5.0,403.3,1.0,4.0,917.8,1.0,4.0,406.1
2.0,6.0,52.1,1.0,6.0,62.7,1.0,6.0,36.3,1.0,6.0,161.4,1.0,6.0,1022.0,1.0,5.0,925.1
3.0,2.0,15.4,3.0,1.0,27.7,2.0,1.0,23.1,2.0,1.0,147.3,2.0,1.0,1142.0,2.0,1.0,409.0
3.0,4.0,23.2,3.0,4.0,21.2,2.0,4.0,17.5,2.0,3.0,74.5,2.0,3.0,826.7,2.0,3.0,171.4
3.0,5.0,141.4,3.0,5.0,168.6,2.0,5.0,136.0,2.0,5.0,470.0,2.0,4.0,1142.0,2.0,4.0,247.4
3.0,6.0,43.3,3.0,6.0,26.2,2.0,6.0,17.0,2.0,6.0,105.9,2.0,6.0,1371.0,2.0,5.0,889.8
4.0,2.0,56.1,4.0,1.0,73.4,4.0,1.0,37.4,3.0,1.0,98.4,3.0,1.0,883.0,3.0,1.0,336.8
4.0,3.0,47.4,4.0,3.0,38.9,4.0,2.0,22.9,3.0,2.0,66.1,3.0,2.0,869.9,3.0,2.0,150.9
4.0,5.0,292.1,4.0,5.0,315.0,4.0,5.0,127.8,3.0,5.0,267.9,3.0,4.0,832.6,3.0,4.0,190.4
4.0,6.0,95.6,4.0,6.0,60.1,4.0,6.0,24.2,3.0,6.0,70.4,3.0,6.0,1793.0,3.0,5.0,850.8
5.0,2.0,436.5,5.0,1.0,815.1,5.0,1.0,403.3,5.0,1.0,647.5,4.0,1.0,1089.0,4.0,1.0,475.7
5.0,3.0,367.7,5.0,3.0,677.7,5.0,2.0,380.9,5.0,2.0,844.6,4.0,2.0,1069.0,4.0,2.0,261.9
5.0,4.0,438.2,5.0,4.0,850.8,5.0,4.0,339.8,5.0,3.0,557.7,4.0,3.0,925.1,4.0,3.0,230.8
5.0,6.0,532.2,5.0,6.0,940.0,5.0,6.0,444.9,5.0,6.0,613.5,4.0,6.0,1131.0,4.0,5.0,863.4
6.0,2.0,149.0,6.0,1.0,129.6,6.0,1.0,58.2,6.0,1.0,187.7,6.0,1.0,2081.0,5.0,1.0,1295.0
6.0,3.0,139.9,6.0,3.0,72.2,6.0,2.0,31.8,6.0,2.0,113.2,6.0,2.0,2241.0,5.0,2.0,1355.0
6.0,4.0,225.4,6.0,4.0,116.5,6.0,4.0,44.1,6.0,3.0,103.7,6.0,3.0,2158.0,5.0,3.0,1457.0
6.0,5.0,633.5,6.0,5.0,693.8,6.0,5.0,255.0,6.0,5.0,396.4,6.0,4.0,1596.0,5.0,4.0,947.7
