1,谷川 将太,谷川 将太.1,2,藤井 公人,藤井 公人.1,3,梅原 祥平,梅原 祥平.1,4,吉田 翔悟,吉田 翔悟.1,5,原田 雄次,原田 雄次.1,6,久田 武,久田 武.1
2.0,3.0,24.6,1.0,3.0,53.0,1.0,2.0,45.1,1.0,2.0,51.5,1.0,2.0,144.2,1.0,2.0,286.4
2.0,4.0,12.5,1.0,4.0,35.4,1.0,4.0,44.3,1.0,3.0,93.0,1.0,3.0,259.7,1.0,3.0,580.1
2.0,5.0,20.5,1.0,5.0,43.7,1.0,5.0,70.1,1.0,5.0,49.9,1.0,4.0,142.3,1.0,4.0,283.5
2.0,6.0,33.6,1.0,6.0,65.2,1.0,6.0,99.7,1.0,6.0,59.7,1.0,6.0,136.8,1.0,5.0,429.6
3.0,2.0,29.9,3.0,1.0,101.2,2.0,1.0,63.2,2.0,1.0,73.3,2.0,1.0,194.0,2.0,1.0,441.2
3.0,4.0,36.1,3.0,4.0,120.5,2.0,4.0,61.1,2.0,3.0,138.1,2.0,3.0,307.2,2.0,3.0,906.9
3.0,5.0,47.4,3.0,5.0,134.1,2.0,5.0,92.6,2.0,5.0,90.4,2.0,4.0,217.6,2.0,4.0,414.0
3.0,6.0,70.3,3.0,6.0,197.3,2.0,6.0,142.4,2.0,6.0,98.4,2.0,6.0,223.2,2.0,5.0,672.2
4.0,2.0,15.1,4.0,1.0,60.5,4.0,1.0,77.9,3.0,1.0,130.1,3.0,1.0,380.9,3.0,1.0,680.2
4.0,3.0,38.8,4.0,3.0,130.6,4.0,2.0,81.6,3.0,2.0,160.2,3.0,2.0,367.4,3.0,2.0,1038.0
4.0,5.0,26.1,4.0,5.0,78.2,4.0,5.0,115.2,3.0,5.0,168.0,3.0,4.0,412.5,3.0,4.0,936.7
4.0,6.0,31.1,4.0,6.0,79.3,4.0,6.0,137.6,3.0,6.0,191.1,3.0,6.0,524.2,3.0,5.0,1284.0
5.0,2.0,39.3,5.0,1.0,103.6,5.0,1.0,163.0,5.0,1.0,64.3,4.0,1.0,150.1,4.0,1.0,272.7
5.0,3.0,70.5,5.0,3.0,187.6,5.0,2.0,166.5,5.0,2.0,80.8,4.0,2.0,189.8,4.0,2.0,426.4
5.0,4.0,52.1,5.0,4.0,114.0,5.0,4.0,181.9,5.0,3.0,157.6,4.0,3.0,358.2,4.0,3.0,772.1
5.0,6.0,63.2,5.0,6.0,117.8,5.0,6.0,250.0,5.0,6.0,51.8,4.0,6.0,117.3,4.0,5.0,323.7
6.0,2.0,90.8,6.0,1.0,202.2,6.0,1.0,254.5,6.0,1.0,87.8,6.0,1.0,257.3,5.0,1.0,496.8
6.0,3.0,179.9,6.0,3.0,403.8,6.0,2.0,297.6,6.0,2.0,125.7,6.0,2.0,309.7,5.0,2.0,653.0
6.0,4.0,79.8,6.0,4.0,181.1,6.0,4.0,307.2,6.0,3.0,220.1,6.0,3.0,660.5,5.0,3.0,1269.0
6.0,5.0,110.2,6.0,5.0,196.6,6.0,5.0,408.1,6.0,5.0,84.4,6.0,4.0,198.4,5.0,4.0,349.4
