1,関口 智久,関口 智久.1,2,三好 勇人,三好 勇人.1,3,齋藤 和政,齋藤 和政.1,4,幸野 史明,幸野 史明.1,5,金子 猛志,金子 猛志.1,6,秋山 広一,秋山 広一.1
2.0,3.0,16.5,1.0,3.0,62.4,1.0,2.0,335.9,1.0,2.0,44.7,1.0,2.0,155.9,1.0,2.0,152.1
2.0,4.0,6.6,1.0,4.0,21.4,1.0,4.0,402.2,1.0,3.0,199.1,1.0,3.0,458.7,1.0,3.0,625.7
2.0,5.0,16.5,1.0,5.0,39.3,1.0,5.0,372.0,1.0,5.0,54.3,1.0,4.0,189.9,1.0,4.0,230.4
2.0,6.0,10.8,1.0,6.0,27.8,1.0,6.0,485.5,1.0,6.0,43.7,1.0,6.0,164.1,1.0,5.0,375.3
3.0,2.0,44.1,3.0,1.0,230.1,2.0,1.0,407.6,2.0,1.0,66.9,2.0,1.0,235.2,2.0,1.0,200.2
3.0,4.0,68.8,3.0,4.0,212.1,2.0,4.0,245.7,2.0,3.0,205.2,2.0,3.0,745.5,2.0,3.0,878.6
3.0,5.0,87.7,3.0,5.0,388.8,2.0,5.0,664.8,2.0,5.0,90.1,2.0,4.0,309.7,2.0,4.0,277.8
3.0,6.0,84.9,3.0,6.0,307.1,2.0,6.0,573.2,2.0,6.0,70.8,2.0,6.0,264.8,2.0,5.0,511.2
4.0,2.0,12.5,4.0,1.0,54.4,4.0,1.0,501.0,3.0,1.0,383.6,3.0,1.0,932.9,3.0,1.0,1459.0
4.0,3.0,59.5,4.0,3.0,167.1,4.0,2.0,284.2,3.0,2.0,317.8,3.0,2.0,1127.0,3.0,2.0,1328.0
4.0,5.0,29.8,4.0,5.0,101.6,4.0,5.0,892.6,3.0,5.0,638.4,3.0,4.0,1508.0,3.0,4.0,1279.0
4.0,6.0,20.1,4.0,6.0,69.9,4.0,6.0,549.2,3.0,6.0,470.4,3.0,6.0,1272.0,3.0,5.0,2080.0
5.0,2.0,41.7,5.0,1.0,133.1,5.0,1.0,813.4,5.0,1.0,61.4,4.0,1.0,191.3,4.0,1.0,300.6
5.0,3.0,107.5,5.0,3.0,412.0,5.0,2.0,965.2,5.0,2.0,72.9,4.0,2.0,213.8,4.0,2.0,287.7
5.0,4.0,59.7,5.0,4.0,159.8,5.0,4.0,1194.0,5.0,3.0,341.1,4.0,3.0,830.2,4.0,3.0,1059.0
5.0,6.0,63.4,5.0,6.0,178.8,5.0,6.0,1216.0,5.0,6.0,56.1,4.0,6.0,177.2,4.0,5.0,451.9
6.0,2.0,36.1,6.0,1.0,97.7,6.0,1.0,915.2,6.0,1.0,65.6,6.0,1.0,286.6,5.0,1.0,616.6
6.0,3.0,135.8,6.0,3.0,366.9,6.0,2.0,962.7,6.0,2.0,74.1,6.0,2.0,322.3,5.0,2.0,647.5
6.0,4.0,49.6,6.0,4.0,131.9,6.0,4.0,767.7,6.0,3.0,323.0,6.0,3.0,958.9,5.0,3.0,1736.0
6.0,5.0,85.0,6.0,5.0,215.7,6.0,5.0,1416.0,6.0,5.0,76.7,6.0,4.0,307.9,5.0,4.0,562.5
