1,福田 宗平,福田 宗平.1,2,近藤 友宝,近藤 友宝.1,3,山本 兼士,山本 兼士.1,4,磯村 匠,磯村 匠.1,5,峰重 力也,峰重 力也.1,6,奥田 誠,奥田 誠.1
2.0,3.0,10.1,1.0,3.0,153.4,1.0,2.0,287.8,1.0,2.0,110.7,1.0,2.0,127.0,1.0,2.0,496.3
2.0,4.0,7.7,1.0,4.0,133.7,1.0,4.0,240.6,1.0,3.0,183.6,1.0,3.0,220.9,1.0,3.0,641.2
2.0,5.0,9.0,1.0,5.0,148.1,1.0,5.0,269.5,1.0,5.0,80.3,1.0,4.0,160.8,1.0,4.0,489.9
2.0,6.0,15.2,1.0,6.0,182.8,1.0,6.0,290.5,1.0,6.0,82.7,1.0,6.0,135.4,1.0,5.0,549.1
3.0,2.0,16.4,3.0,1.0,396.3,2.0,1.0,478.8,2.0,1.0,283.2,2.0,1.0,304.2,2.0,1.0,763.4
3.0,4.0,17.8,3.0,4.0,1123.0,2.0,4.0,1134.0,2.0,3.0,836.5,2.0,3.0,1224.0,2.0,3.0,2240.0
3.0,5.0,18.8,3.0,5.0,1057.0,2.0,5.0,1064.0,2.0,5.0,560.0,2.0,4.0,1064.0,2.0,4.0,2316.0
3.0,6.0,31.2,3.0,6.0,1162.0,2.0,6.0,1220.0,2.0,6.0,452.7,2.0,6.0,733.8,2.0,5.0,2316.0
4.0,2.0,11.8,4.0,1.0,416.7,4.0,1.0,450.3,3.0,1.0,400.5,3.0,1.0,667.6,3.0,1.0,1064.0
4.0,3.0,23.3,4.0,3.0,1367.0,4.0,2.0,1170.0,3.0,2.0,1057.0,3.0,2.0,1418.0,3.0,2.0,2619.0
4.0,5.0,14.9,4.0,5.0,1112.0,4.0,5.0,820.4,3.0,5.0,861.9,3.0,4.0,1436.0,3.0,4.0,2332.0
4.0,6.0,21.8,4.0,6.0,1007.0,4.0,6.0,953.7,3.0,6.0,751.6,3.0,6.0,1340.0,3.0,5.0,2038.0
5.0,2.0,14.8,5.0,1.0,387.7,5.0,1.0,460.1,5.0,1.0,127.7,4.0,1.0,254.4,4.0,1.0,599.4
5.0,3.0,27.4,5.0,3.0,1418.0,5.0,2.0,1060.0,5.0,2.0,321.2,4.0,2.0,584.0,4.0,2.0,1728.0
5.0,4.0,25.7,5.0,4.0,1309.0,5.0,4.0,1004.0,5.0,3.0,490.6,4.0,3.0,970.0,4.0,3.0,1850.0
5.0,6.0,24.8,5.0,6.0,1280.0,5.0,6.0,1309.0,5.0,6.0,179.9,4.0,6.0,361.8,4.0,5.0,1436.0
6.0,2.0,47.2,6.0,1.0,538.7,6.0,1.0,773.8,6.0,1.0,204.8,6.0,1.0,316.7,5.0,1.0,678.2
6.0,3.0,69.8,6.0,3.0,1591.0,6.0,2.0,1533.0,6.0,2.0,512.0,6.0,2.0,727.5,5.0,2.0,1737.0
6.0,4.0,51.9,6.0,4.0,1367.0,6.0,4.0,1561.0,6.0,3.0,636.4,6.0,3.0,1031.0,5.0,3.0,2002.0
6.0,5.0,51.9,6.0,5.0,1956.0,6.0,5.0,1685.0,6.0,5.0,342.5,6.0,4.0,725.9,5.0,4.0,1448.0
