1,堀之内紀代子,堀之内紀代子.1,2,北村 寧々,北村 寧々.1,3,細川 裕子,細川 裕子.1,4,佐藤　ほのか,佐藤　ほのか.1,5,平田　さやか,平田　さやか.1,6,間庭 菜摘,間庭 菜摘.1
2.0,3.0,13.5,1.0,3.0,48.0,1.0,2.0,27.0,1.0,2.0,144.0,1.0,2.0,202.6,1.0,2.0,570.0
2.0,4.0,32.2,1.0,4.0,92.2,1.0,4.0,21.0,1.0,3.0,69.7,1.0,3.0,108.8,1.0,3.0,376.0
2.0,5.0,34.7,1.0,5.0,94.0,1.0,5.0,18.0,1.0,5.0,91.4,1.0,4.0,216.0,1.0,4.0,624.3
2.0,6.0,61.6,1.0,6.0,171.5,1.0,6.0,44.5,1.0,6.0,141.9,1.0,6.0,227.6,1.0,5.0,571.5
3.0,2.0,9.5,3.0,1.0,78.2,2.0,1.0,70.4,2.0,1.0,298.3,2.0,1.0,360.9,2.0,1.0,1159.0
3.0,4.0,9.4,3.0,4.0,214.5,2.0,4.0,134.7,2.0,3.0,310.5,2.0,3.0,472.9,2.0,3.0,1381.0
3.0,5.0,9.2,3.0,5.0,180.5,2.0,5.0,119.5,2.0,5.0,295.4,2.0,4.0,731.8,2.0,4.0,1678.0
3.0,6.0,22.4,3.0,6.0,308.8,2.0,6.0,189.7,2.0,6.0,452.2,2.0,6.0,705.3,2.0,5.0,1883.0
4.0,2.0,45.6,4.0,1.0,325.8,4.0,1.0,55.6,3.0,1.0,101.7,3.0,1.0,138.2,3.0,1.0,532.9
4.0,3.0,24.0,4.0,3.0,401.3,4.0,2.0,122.4,3.0,2.0,223.6,3.0,2.0,383.0,3.0,2.0,1198.0
4.0,5.0,47.8,4.0,5.0,539.9,4.0,5.0,75.3,3.0,5.0,121.6,3.0,4.0,380.1,3.0,4.0,1099.0
4.0,6.0,59.4,4.0,6.0,616.7,4.0,6.0,117.3,3.0,6.0,173.0,3.0,6.0,370.1,3.0,5.0,1015.0
5.0,2.0,55.9,5.0,1.0,268.2,5.0,1.0,51.2,5.0,1.0,105.6,4.0,1.0,226.9,4.0,1.0,1121.0
5.0,3.0,31.5,5.0,3.0,371.6,5.0,2.0,122.4,5.0,2.0,165.5,4.0,2.0,371.4,4.0,2.0,1661.0
5.0,4.0,73.9,5.0,4.0,678.6,5.0,4.0,108.0,5.0,3.0,127.9,4.0,3.0,294.9,4.0,3.0,1339.0
5.0,6.0,82.4,5.0,6.0,784.6,5.0,6.0,130.4,5.0,6.0,128.9,4.0,6.0,278.8,4.0,5.0,1218.0
6.0,2.0,162.0,6.0,1.0,616.1,6.0,1.0,162.1,6.0,1.0,276.4,6.0,1.0,472.2,5.0,1.0,1024.0
6.0,3.0,102.6,6.0,3.0,675.8,6.0,2.0,337.7,6.0,2.0,430.8,6.0,2.0,841.3,5.0,2.0,1857.0
6.0,4.0,157.2,6.0,4.0,894.7,6.0,4.0,270.6,6.0,3.0,315.1,6.0,3.0,589.3,5.0,3.0,1129.0
6.0,5.0,164.5,6.0,5.0,1094.0,6.0,5.0,246.7,6.0,5.0,269.0,6.0,4.0,647.4,5.0,4.0,1179.0
