1,中 亮太,中 亮太.1,2,佐々木　和伸,佐々木　和伸.1,3,丹下 将,丹下 将.1,4,野中 義生,野中 義生.1,5,阪本 勇介,阪本 勇介.1,6,近藤 稔也,近藤 稔也.1
2.0,3.0,5.1,1.0,3.0,53.7,1.0,2.0,29.1,1.0,2.0,226.1,1.0,2.0,250.0,1.0,2.0,1469.0
2.0,4.0,17.1,1.0,4.0,110.1,1.0,4.0,30.5,1.0,3.0,192.7,1.0,3.0,201.6,1.0,3.0,1862.0
2.0,5.0,19.1,1.0,5.0,172.2,1.0,5.0,36.6,1.0,5.0,244.8,1.0,4.0,368.0,1.0,4.0,2022.0
2.0,6.0,78.6,1.0,6.0,332.8,1.0,6.0,115.9,1.0,6.0,416.9,1.0,6.0,545.1,1.0,5.0,2411.0
3.0,2.0,4.3,3.0,1.0,94.6,2.0,1.0,71.1,2.0,1.0,383.4,2.0,1.0,515.2,2.0,1.0,1990.0
3.0,4.0,7.7,3.0,4.0,226.4,2.0,4.0,141.2,2.0,3.0,451.5,2.0,3.0,613.5,2.0,3.0,3214.0
3.0,5.0,10.4,3.0,5.0,359.2,2.0,5.0,204.6,2.0,5.0,550.7,2.0,4.0,800.2,2.0,4.0,3214.0
3.0,6.0,42.2,3.0,6.0,655.2,2.0,6.0,423.5,2.0,6.0,917.3,2.0,6.0,1237.0,2.0,5.0,3419.0
4.0,2.0,28.4,4.0,1.0,365.8,4.0,1.0,96.9,3.0,1.0,277.5,3.0,1.0,383.0,3.0,1.0,2022.0
4.0,3.0,23.6,4.0,3.0,399.2,4.0,2.0,156.7,3.0,2.0,428.8,3.0,2.0,676.4,3.0,2.0,2849.0
4.0,5.0,42.5,4.0,5.0,770.7,4.0,5.0,194.3,3.0,5.0,506.2,3.0,4.0,997.6,3.0,4.0,2725.0
4.0,6.0,107.8,4.0,6.0,1080.0,4.0,6.0,335.5,3.0,6.0,724.7,3.0,6.0,1190.0,3.0,5.0,2893.0
5.0,2.0,38.9,5.0,1.0,522.4,5.0,1.0,164.2,5.0,1.0,353.1,4.0,1.0,677.7,4.0,1.0,2252.0
5.0,3.0,30.4,5.0,3.0,612.5,5.0,2.0,301.3,5.0,2.0,531.2,4.0,2.0,969.4,4.0,2.0,2961.0
5.0,4.0,67.7,5.0,4.0,1139.0,5.0,4.0,368.0,5.0,3.0,656.4,4.0,3.0,1109.0,4.0,3.0,3057.0
5.0,6.0,135.6,5.0,6.0,1457.0,5.0,6.0,523.1,5.0,6.0,579.5,4.0,6.0,1266.0,4.0,5.0,3328.0
6.0,2.0,239.2,6.0,1.0,1541.0,6.0,1.0,703.0,6.0,1.0,949.8,6.0,1.0,1362.0,5.0,1.0,2490.0
6.0,3.0,227.8,6.0,3.0,2011.0,6.0,2.0,1024.0,6.0,2.0,1560.0,6.0,2.0,1834.0,5.0,2.0,3270.0
6.0,4.0,291.3,6.0,4.0,2161.0,6.0,4.0,954.6,6.0,3.0,1717.0,6.0,3.0,1701.0,5.0,3.0,3160.0
6.0,5.0,299.9,6.0,5.0,2490.0,6.0,5.0,1157.0,6.0,5.0,1310.0,6.0,4.0,2033.0,5.0,4.0,3108.0
