1,宮本 裕之,宮本 裕之.1,2,峰重 力也,峰重 力也.1,3,鈴木 成美,鈴木 成美.1,4,松本 博昭,松本 博昭.1,5,古田 祐貴,古田 祐貴.1,6,東 健介,東 健介.1
2.0,3.0,25.0,1.0,3.0,36.8,1.0,2.0,202.1,1.0,2.0,55.0,1.0,2.0,190.9,1.0,2.0,1131.0
2.0,4.0,11.3,1.0,4.0,16.6,1.0,4.0,163.4,1.0,3.0,91.1,1.0,3.0,289.9,1.0,3.0,1858.0
2.0,5.0,14.8,1.0,5.0,21.2,1.0,5.0,169.5,1.0,5.0,52.0,1.0,4.0,134.1,1.0,4.0,1486.0
2.0,6.0,77.5,1.0,6.0,115.7,1.0,6.0,486.3,1.0,6.0,153.9,1.0,6.0,328.3,1.0,5.0,1210.0
3.0,2.0,44.4,3.0,1.0,78.2,2.0,1.0,223.8,2.0,1.0,56.6,2.0,1.0,191.6,2.0,1.0,1486.0
3.0,4.0,41.9,3.0,4.0,43.0,2.0,4.0,109.7,2.0,3.0,87.9,2.0,3.0,190.9,2.0,3.0,1553.0
3.0,5.0,58.5,3.0,5.0,55.4,2.0,5.0,119.2,2.0,5.0,33.8,2.0,4.0,95.1,2.0,4.0,1224.0
3.0,6.0,187.2,3.0,6.0,184.5,2.0,6.0,304.3,2.0,6.0,131.9,2.0,6.0,320.2,2.0,5.0,1254.0
4.0,2.0,18.4,4.0,1.0,23.6,4.0,1.0,199.4,3.0,1.0,260.2,3.0,1.0,464.6,3.0,1.0,2973.0
4.0,3.0,40.5,4.0,3.0,35.5,4.0,2.0,131.5,3.0,2.0,179.7,3.0,2.0,349.2,3.0,2.0,1764.0
4.0,5.0,20.2,4.0,5.0,19.2,4.0,5.0,136.4,3.0,5.0,164.1,3.0,4.0,300.8,3.0,4.0,3252.0
4.0,6.0,64.5,4.0,6.0,87.4,4.0,6.0,442.9,3.0,6.0,416.3,3.0,6.0,765.3,3.0,5.0,2739.0
5.0,2.0,35.2,5.0,1.0,69.3,5.0,1.0,300.8,5.0,1.0,60.9,4.0,1.0,162.1,4.0,1.0,1734.0
5.0,3.0,82.5,5.0,3.0,65.5,5.0,2.0,236.5,5.0,2.0,36.4,4.0,2.0,89.8,4.0,2.0,1301.0
5.0,4.0,26.4,5.0,4.0,34.2,5.0,4.0,213.2,5.0,3.0,74.8,4.0,3.0,199.7,4.0,3.0,3154.0
5.0,6.0,142.9,5.0,6.0,149.9,5.0,6.0,406.5,5.0,6.0,90.1,4.0,6.0,210.7,4.0,5.0,1285.0
6.0,2.0,344.6,6.0,1.0,394.2,6.0,1.0,1119.0,6.0,1.0,392.7,6.0,1.0,708.0,5.0,1.0,1051.0
6.0,3.0,542.1,6.0,3.0,473.1,6.0,2.0,882.1,6.0,2.0,294.8,6.0,2.0,794.5,5.0,2.0,1387.0
6.0,4.0,264.1,6.0,4.0,223.8,6.0,4.0,1351.0,6.0,3.0,547.8,6.0,3.0,1119.0,5.0,3.0,1678.0
6.0,5.0,316.3,6.0,5.0,341.2,6.0,5.0,1425.0,6.0,5.0,268.2,6.0,4.0,565.6,5.0,4.0,1073.0
