1,高倉 和士,高倉 和士.1,2,金田 大輔,金田 大輔.1,3,長岡 良也,長岡 良也.1,4,岸本 隆,岸本 隆.1,5,籾山 佳岳,籾山 佳岳.1,6,村越 篤,村越 篤.1
2.0,3.0,9.0,1.0,3.0,114.9,1.0,2.0,55.5,1.0,2.0,440.2,1.0,2.0,1518.0,1.0,2.0,321.1
2.0,4.0,22.0,1.0,4.0,244.0,1.0,4.0,48.5,1.0,3.0,217.3,1.0,3.0,621.0,1.0,3.0,160.5
2.0,5.0,50.4,1.0,5.0,386.1,1.0,5.0,77.2,1.0,5.0,391.1,1.0,4.0,1769.0,1.0,4.0,410.0
2.0,6.0,25.9,1.0,6.0,221.8,1.0,6.0,36.3,1.0,6.0,269.6,1.0,6.0,1062.0,1.0,5.0,693.0
3.0,2.0,6.2,3.0,1.0,237.4,2.0,1.0,191.5,2.0,1.0,724.7,2.0,1.0,2661.0,2.0,1.0,580.5
3.0,4.0,5.0,3.0,4.0,743.9,2.0,4.0,517.8,2.0,3.0,1591.0,2.0,3.0,3314.0,2.0,3.0,1029.0
3.0,5.0,14.1,3.0,5.0,1257.0,2.0,5.0,665.2,2.0,5.0,1512.0,2.0,4.0,5207.0,2.0,4.0,1634.0
3.0,6.0,5.3,3.0,6.0,599.6,2.0,6.0,363.1,2.0,6.0,1084.0,2.0,6.0,2916.0,2.0,5.0,2398.0
4.0,2.0,34.1,4.0,1.0,673.8,4.0,1.0,198.8,3.0,1.0,340.0,3.0,1.0,1091.0,3.0,1.0,230.5
4.0,3.0,16.0,4.0,3.0,1413.0,4.0,2.0,724.7,3.0,2.0,1203.0,3.0,2.0,3226.0,3.0,2.0,839.9
4.0,5.0,63.4,4.0,5.0,2131.0,4.0,5.0,635.1,3.0,5.0,1446.0,3.0,4.0,3609.0,3.0,4.0,794.2
4.0,6.0,34.7,4.0,6.0,1283.0,4.0,6.0,320.6,3.0,6.0,676.3,3.0,6.0,1500.0,3.0,5.0,1340.0
5.0,2.0,129.1,5.0,1.0,1365.0,5.0,1.0,397.9,5.0,1.0,693.0,4.0,1.0,2700.0,4.0,1.0,895.7
5.0,3.0,60.3,5.0,3.0,2048.0,5.0,2.0,1223.0,5.0,2.0,1813.0,4.0,2.0,3344.0,4.0,2.0,1679.0
5.0,4.0,139.8,5.0,4.0,2916.0,5.0,4.0,1187.0,5.0,3.0,1634.0,4.0,3.0,4239.0,4.0,3.0,1316.0
5.0,6.0,104.3,5.0,6.0,2463.0,5.0,6.0,699.7,5.0,6.0,821.0,4.0,6.0,2336.0,4.0,5.0,2870.0
6.0,2.0,47.8,6.0,1.0,451.7,6.0,1.0,120.1,6.0,1.0,466.7,6.0,1.0,1898.0,5.0,1.0,1551.0
6.0,3.0,20.1,6.0,3.0,707.8,6.0,2.0,430.9,6.0,2.0,1375.0,6.0,2.0,3645.0,5.0,2.0,3797.0
6.0,4.0,57.4,6.0,4.0,1578.0,6.0,4.0,344.5,6.0,3.0,874.2,6.0,3.0,2025.0,5.0,3.0,1970.0
6.0,5.0,107.3,6.0,5.0,2003.0,6.0,5.0,475.3,6.0,5.0,906.8,6.0,4.0,2549.0,5.0,4.0,2870.0
