1,守田 俊介,守田 俊介.1,2,永井 彪也,永井 彪也.1,3,平本 真之,平本 真之.1,4,新開 航,新開 航.1,5,古賀 繁輝,古賀 繁輝.1,6,佐藤 博亮,佐藤 博亮.1
2.0,3.0,15.7,1.0,3.0,75.9,1.0,2.0,86.4,1.0,2.0,74.8,1.0,2.0,261.7,1.0,2.0,286.8
2.0,4.0,12.7,1.0,4.0,65.9,1.0,4.0,47.8,1.0,3.0,85.2,1.0,3.0,304.6,1.0,3.0,301.6
2.0,5.0,32.7,1.0,5.0,133.4,1.0,5.0,78.8,1.0,5.0,73.6,1.0,4.0,209.2,1.0,4.0,197.2
2.0,6.0,20.7,1.0,6.0,102.1,1.0,6.0,62.3,1.0,6.0,52.7,1.0,6.0,206.6,1.0,5.0,336.6
3.0,2.0,17.6,3.0,1.0,214.6,2.0,1.0,230.4,2.0,1.0,171.0,2.0,1.0,637.8,2.0,1.0,496.7
3.0,4.0,11.3,3.0,4.0,282.6,2.0,4.0,276.3,2.0,3.0,279.8,2.0,3.0,1195.0,2.0,3.0,724.7
3.0,5.0,27.4,3.0,5.0,471.8,2.0,5.0,425.4,2.0,5.0,260.3,2.0,4.0,927.8,2.0,4.0,492.5
3.0,6.0,18.6,3.0,6.0,377.1,2.0,6.0,321.0,2.0,6.0,181.4,2.0,6.0,835.4,2.0,5.0,862.3
4.0,2.0,13.8,4.0,1.0,184.0,4.0,1.0,107.1,3.0,1.0,169.1,3.0,1.0,690.3,3.0,1.0,547.2
4.0,3.0,13.1,4.0,3.0,298.9,4.0,2.0,228.9,3.0,2.0,286.9,3.0,2.0,1242.0,3.0,2.0,985.0
4.0,5.0,24.0,4.0,5.0,393.9,4.0,5.0,214.3,3.0,5.0,250.4,3.0,4.0,930.4,3.0,4.0,662.1
4.0,6.0,12.7,4.0,6.0,240.0,4.0,6.0,140.9,3.0,6.0,186.1,3.0,6.0,887.8,3.0,5.0,1274.0
5.0,2.0,61.3,5.0,1.0,498.4,5.0,1.0,321.0,5.0,1.0,125.7,4.0,1.0,303.7,4.0,1.0,295.9
5.0,3.0,60.9,5.0,3.0,750.5,5.0,2.0,589.6,5.0,2.0,215.0,4.0,2.0,595.2,4.0,2.0,468.0
5.0,4.0,49.9,5.0,4.0,660.4,5.0,4.0,418.7,5.0,3.0,245.5,4.0,3.0,706.1,4.0,3.0,566.0
5.0,6.0,48.8,5.0,6.0,675.2,5.0,6.0,414.7,5.0,6.0,103.9,4.0,6.0,322.2,4.0,5.0,549.9
6.0,2.0,41.8,6.0,1.0,413.6,6.0,1.0,222.7,6.0,1.0,87.9,6.0,1.0,396.9,5.0,1.0,567.9
6.0,3.0,49.3,6.0,3.0,686.0,6.0,2.0,404.3,6.0,2.0,138.5,6.0,2.0,813.4,5.0,2.0,993.9
6.0,4.0,33.0,6.0,4.0,434.3,6.0,4.0,259.6,6.0,3.0,200.3,6.0,3.0,1013.0,5.0,3.0,994.9
6.0,5.0,65.8,6.0,5.0,880.7,6.0,5.0,461.0,6.0,5.0,123.1,6.0,4.0,496.7,5.0,4.0,585.0
