1,野田部　宏子,野田部　宏子.1,2,谷村 啓司,谷村 啓司.1,3,西山 貴浩,西山 貴浩.1,4,山口 広樹,山口 広樹.1,5,乙藤 智史,乙藤 智史.1,6,山田 丈,山田 丈.1
2.0,3.0,45.9,1.0,3.0,121.1,1.0,2.0,27.2,1.0,2.0,657.8,1.0,2.0,247.0,1.0,2.0,962.0
2.0,4.0,148.0,1.0,4.0,332.2,1.0,4.0,20.3,1.0,3.0,300.5,1.0,3.0,66.3,1.0,3.0,354.4
2.0,5.0,99.5,1.0,5.0,231.9,1.0,5.0,7.8,1.0,5.0,596.5,1.0,4.0,405.2,1.0,4.0,1282.0
2.0,6.0,165.1,1.0,6.0,354.1,1.0,6.0,15.0,1.0,6.0,617.6,1.0,6.0,133.5,1.0,5.0,489.7
3.0,2.0,21.0,3.0,1.0,141.1,2.0,1.0,70.4,2.0,1.0,1342.0,2.0,1.0,471.1,2.0,1.0,1604.0
3.0,4.0,22.2,3.0,4.0,296.6,2.0,4.0,117.1,2.0,3.0,943.2,2.0,3.0,284.7,2.0,3.0,1032.0
3.0,5.0,9.6,3.0,5.0,160.7,2.0,5.0,56.9,2.0,5.0,1509.0,2.0,4.0,1050.0,2.0,4.0,2543.0
3.0,6.0,17.9,3.0,6.0,277.3,2.0,6.0,93.9,2.0,6.0,1138.0,2.0,6.0,497.5,2.0,5.0,1411.0
4.0,2.0,220.2,4.0,1.0,939.2,4.0,1.0,46.0,3.0,1.0,262.2,3.0,1.0,56.0,3.0,1.0,345.6
4.0,3.0,83.6,4.0,3.0,632.0,4.0,2.0,111.3,3.0,2.0,525.1,3.0,2.0,152.6,3.0,2.0,773.7
4.0,5.0,158.5,4.0,5.0,935.1,4.0,5.0,32.8,3.0,5.0,174.1,3.0,4.0,139.3,3.0,4.0,777.9
4.0,6.0,197.3,4.0,6.0,1150.0,4.0,6.0,52.5,3.0,6.0,279.8,3.0,6.0,66.1,3.0,5.0,274.8
5.0,2.0,109.9,5.0,1.0,564.0,5.0,1.0,13.0,5.0,1.0,825.1,4.0,1.0,749.7,4.0,1.0,1834.0
5.0,3.0,30.4,5.0,3.0,330.6,5.0,2.0,35.5,5.0,2.0,1444.0,4.0,2.0,1298.0,4.0,2.0,2958.0
5.0,4.0,165.6,5.0,4.0,1011.0,5.0,4.0,26.0,5.0,3.0,347.3,4.0,3.0,350.4,4.0,3.0,1402.0
5.0,6.0,77.5,5.0,6.0,761.5,5.0,6.0,13.4,5.0,6.0,579.8,4.0,6.0,615.9,4.0,5.0,1634.0
6.0,2.0,366.0,6.0,1.0,1290.0,6.0,1.0,46.4,6.0,1.0,1221.0,6.0,1.0,207.2,5.0,1.0,539.5
6.0,3.0,101.1,6.0,3.0,864.5,6.0,2.0,112.6,6.0,2.0,1915.0,6.0,2.0,457.7,5.0,2.0,1207.0
6.0,4.0,353.2,6.0,4.0,1536.0,6.0,4.0,79.1,6.0,3.0,831.4,6.0,3.0,134.6,5.0,3.0,312.8
6.0,5.0,175.5,6.0,5.0,1275.0,6.0,5.0,33.6,6.0,5.0,955.7,6.0,4.0,562.5,5.0,4.0,1271.0
