1,松尾 昂明,松尾 昂明.1,2,服部 幸男,服部 幸男.1,3,田頭 虎親,田頭 虎親.1,4,岡本 猛,岡本 猛.1,5,酒見 峻介,酒見 峻介.1,6,小林 遼太,小林 遼太.1
2.0,3.0,6.7,1.0,3.0,26.5,1.0,2.0,55.6,1.0,2.0,298.5,1.0,2.0,52.4,1.0,2.0,881.4
2.0,4.0,14.8,1.0,4.0,57.3,1.0,4.0,109.5,1.0,3.0,363.2,1.0,3.0,74.6,1.0,3.0,1308.0
2.0,5.0,9.3,1.0,5.0,31.1,1.0,5.0,65.2,1.0,5.0,244.9,1.0,4.0,147.5,1.0,4.0,1925.0
2.0,6.0,52.8,1.0,6.0,126.0,1.0,6.0,159.0,1.0,6.0,418.6,1.0,6.0,93.3,1.0,5.0,915.1
3.0,2.0,9.4,3.0,1.0,57.4,2.0,1.0,85.7,2.0,1.0,411.8,2.0,1.0,72.2,2.0,1.0,1082.0
3.0,4.0,17.0,3.0,4.0,162.4,2.0,4.0,260.1,2.0,3.0,693.0,2.0,3.0,111.1,2.0,3.0,1674.0
3.0,5.0,13.0,3.0,5.0,69.9,2.0,5.0,117.6,2.0,5.0,493.0,2.0,4.0,247.0,2.0,4.0,2450.0
3.0,6.0,49.4,3.0,6.0,244.2,2.0,6.0,363.5,2.0,6.0,738.8,2.0,6.0,129.4,2.0,5.0,1092.0
4.0,2.0,32.7,4.0,1.0,210.5,4.0,1.0,295.0,3.0,1.0,664.5,3.0,1.0,167.5,3.0,1.0,2067.0
4.0,3.0,33.3,4.0,3.0,321.6,4.0,2.0,479.4,3.0,2.0,1121.0,3.0,2.0,181.5,3.0,2.0,2499.0
4.0,5.0,40.4,4.0,5.0,257.3,4.0,5.0,400.6,3.0,5.0,840.1,3.0,4.0,463.4,3.0,4.0,3563.0
4.0,6.0,107.1,4.0,6.0,512.1,4.0,6.0,807.7,3.0,6.0,1357.0,3.0,6.0,330.1,3.0,5.0,2369.0
5.0,2.0,18.6,5.0,1.0,71.9,5.0,1.0,142.0,5.0,1.0,310.9,4.0,1.0,278.0,4.0,1.0,2644.0
5.0,3.0,23.8,5.0,3.0,99.2,5.0,2.0,172.7,5.0,2.0,400.0,4.0,2.0,388.2,4.0,2.0,3262.0
5.0,4.0,42.4,5.0,4.0,194.6,5.0,4.0,380.0,5.0,3.0,593.1,4.0,3.0,482.6,4.0,3.0,4019.0
5.0,6.0,62.4,5.0,6.0,186.7,5.0,6.0,448.5,5.0,6.0,466.5,4.0,6.0,395.9,4.0,5.0,2242.0
6.0,2.0,146.5,6.0,1.0,479.8,6.0,1.0,622.5,6.0,1.0,1094.0,6.0,1.0,159.2,5.0,1.0,814.3
6.0,3.0,182.5,6.0,3.0,718.7,6.0,2.0,1082.0,6.0,2.0,1439.0,6.0,2.0,175.9,5.0,2.0,878.3
6.0,4.0,216.9,6.0,4.0,949.7,6.0,4.0,1625.0,6.0,3.0,2067.0,6.0,3.0,283.3,5.0,3.0,1399.0
6.0,5.0,157.6,6.0,5.0,490.6,6.0,5.0,1134.0,6.0,5.0,1196.0,6.0,4.0,443.4,5.0,4.0,1600.0
