1,伊達 正利,伊達 正利.1,2,坂東 満,坂東 満.1,3,乙津 康志,乙津 康志.1,4,山田 和佐,山田 和佐.1,5,待鳥 雄紀,待鳥 雄紀.1,6,小野 信樹,小野 信樹.1
2.0,3.0,21.1,1.0,3.0,36.0,1.0,2.0,187.5,1.0,2.0,210.9,1.0,2.0,22.4,1.0,2.0,481.2
2.0,4.0,36.6,1.0,4.0,53.4,1.0,4.0,256.3,1.0,3.0,321.7,1.0,3.0,48.0,1.0,3.0,1004.0
2.0,5.0,11.6,1.0,5.0,14.9,1.0,5.0,105.4,1.0,5.0,132.0,1.0,4.0,52.5,1.0,4.0,747.9
2.0,6.0,71.8,1.0,6.0,93.1,1.0,6.0,275.9,1.0,6.0,355.4,1.0,6.0,43.6,1.0,5.0,369.1
3.0,2.0,38.4,3.0,1.0,109.2,2.0,1.0,210.9,2.0,1.0,251.4,2.0,1.0,25.2,2.0,1.0,545.0
3.0,4.0,68.2,3.0,4.0,182.6,2.0,4.0,319.3,2.0,3.0,424.4,2.0,3.0,45.2,2.0,3.0,1010.0
3.0,5.0,22.7,3.0,5.0,65.5,2.0,5.0,116.5,2.0,5.0,139.7,2.0,4.0,41.9,2.0,4.0,735.1
3.0,6.0,126.2,3.0,6.0,325.3,2.0,6.0,505.1,2.0,6.0,431.9,2.0,6.0,35.4,2.0,5.0,230.9
4.0,2.0,97.3,4.0,1.0,159.8,4.0,1.0,434.0,3.0,1.0,416.3,3.0,1.0,114.5,3.0,1.0,1439.0
4.0,3.0,136.4,4.0,3.0,258.6,4.0,2.0,463.1,3.0,2.0,444.1,3.0,2.0,79.8,3.0,2.0,1349.0
4.0,5.0,93.4,4.0,5.0,88.5,4.0,5.0,263.3,3.0,5.0,263.3,3.0,4.0,148.4,3.0,4.0,1528.0
4.0,6.0,298.3,4.0,6.0,366.8,4.0,6.0,799.8,3.0,6.0,587.6,3.0,6.0,210.4,3.0,5.0,959.8
5.0,2.0,14.1,5.0,1.0,23.3,5.0,1.0,146.7,5.0,1.0,105.9,4.0,1.0,84.2,4.0,1.0,899.8
5.0,3.0,28.2,5.0,3.0,44.7,5.0,2.0,122.9,5.0,2.0,97.2,4.0,2.0,67.1,4.0,2.0,761.0
5.0,4.0,51.4,5.0,4.0,45.2,5.0,4.0,200.1,5.0,3.0,195.4,4.0,3.0,126.2,4.0,3.0,1100.0
5.0,6.0,56.0,5.0,6.0,47.5,5.0,6.0,349.0,5.0,6.0,128.7,4.0,6.0,84.8,4.0,5.0,536.5
6.0,2.0,220.3,6.0,1.0,267.4,6.0,1.0,1047.0,6.0,1.0,412.3,6.0,1.0,51.6,5.0,1.0,281.3
6.0,3.0,389.9,6.0,3.0,515.7,6.0,2.0,1114.0,6.0,2.0,400.8,6.0,2.0,41.0,5.0,2.0,177.1
6.0,4.0,434.0,6.0,4.0,490.8,6.0,4.0,1136.0,6.0,3.0,599.8,6.0,3.0,112.1,5.0,3.0,465.6
6.0,5.0,184.7,6.0,5.0,132.0,6.0,5.0,691.0,6.0,5.0,229.1,6.0,4.0,65.6,5.0,4.0,334.1
