1,峰重 侑治,峰重 侑治.1,2,久富 政弘,久富 政弘.1,3,田頭 虎親,田頭 虎親.1,4,今坂 晃広,今坂 晃広.1,5,高橋 勲,高橋 勲.1,6,鈴木 孝明,鈴木 孝明.1
2.0,3.0,11.0,1.0,3.0,44.9,1.0,2.0,27.7,1.0,2.0,295.5,1.0,2.0,334.9,1.0,2.0,265.6
2.0,4.0,25.6,1.0,4.0,111.1,1.0,4.0,23.8,1.0,3.0,170.3,1.0,3.0,266.8,1.0,3.0,188.7
2.0,5.0,31.2,1.0,5.0,102.0,1.0,5.0,29.3,1.0,5.0,292.0,1.0,4.0,527.9,1.0,4.0,458.9
2.0,6.0,29.6,1.0,6.0,98.1,1.0,6.0,20.4,1.0,6.0,210.1,1.0,6.0,342.4,1.0,5.0,527.0
3.0,2.0,8.5,3.0,1.0,94.2,2.0,1.0,67.9,2.0,1.0,535.7,2.0,1.0,656.3,2.0,1.0,485.7
3.0,4.0,8.5,3.0,4.0,246.3,2.0,4.0,158.7,2.0,3.0,721.3,2.0,3.0,827.9,2.0,3.0,668.4
3.0,5.0,14.9,3.0,5.0,222.1,2.0,5.0,132.4,2.0,5.0,714.3,2.0,4.0,1189.0,2.0,4.0,1147.0
3.0,6.0,9.6,3.0,6.0,200.9,2.0,6.0,116.2,2.0,6.0,789.8,2.0,6.0,968.2,2.0,5.0,1209.0
4.0,2.0,44.1,4.0,1.0,344.8,4.0,1.0,66.5,3.0,1.0,198.7,3.0,1.0,356.7,3.0,1.0,227.3
4.0,3.0,28.8,4.0,3.0,514.9,4.0,2.0,159.9,3.0,2.0,550.9,3.0,2.0,654.9,3.0,2.0,493.9
4.0,5.0,67.6,4.0,5.0,709.0,4.0,5.0,120.1,3.0,5.0,425.4,3.0,4.0,791.9,3.0,4.0,458.2
4.0,6.0,43.6,4.0,6.0,656.3,4.0,6.0,93.7,3.0,6.0,317.4,3.0,6.0,558.3,3.0,5.0,688.9
5.0,2.0,56.8,5.0,1.0,378.4,5.0,1.0,98.6,5.0,1.0,513.0,4.0,1.0,697.2,4.0,1.0,751.1
5.0,3.0,39.2,5.0,3.0,482.5,5.0,2.0,183.7,5.0,2.0,798.4,4.0,2.0,1165.0,4.0,2.0,1125.0
5.0,4.0,96.0,5.0,4.0,896.7,5.0,4.0,166.5,5.0,3.0,679.3,4.0,3.0,1015.0,4.0,3.0,636.3
5.0,6.0,73.8,5.0,6.0,730.4,5.0,6.0,133.9,5.0,6.0,558.3,4.0,6.0,885.8,4.0,5.0,1261.0
6.0,2.0,71.7,6.0,1.0,373.1,6.0,1.0,73.8,6.0,1.0,468.5,6.0,1.0,651.9,5.0,1.0,940.1
6.0,3.0,43.0,6.0,3.0,473.1,6.0,2.0,166.1,6.0,2.0,880.4,6.0,2.0,1129.0,5.0,2.0,1449.0
6.0,4.0,101.7,6.0,4.0,864.7,6.0,4.0,142.6,6.0,3.0,481.7,6.0,3.0,857.1,5.0,3.0,1116.0
6.0,5.0,104.6,6.0,5.0,842.3,6.0,5.0,157.1,6.0,5.0,673.0,6.0,4.0,1161.0,5.0,4.0,1464.0
