1,森 智也,森 智也.1,2,大塚 雅治,大塚 雅治.1,3,黒野 元基,黒野 元基.1,4,庄司　樹良々,庄司　樹良々.1,5,本橋 克洋,本橋 克洋.1,6,畑田 希咲,畑田 希咲.1
2.0,3.0,36.1,1.0,3.0,90.8,1.0,2.0,36.9,1.0,2.0,84.5,1.0,2.0,161.5,1.0,2.0,882.6
2.0,4.0,57.1,1.0,4.0,147.0,1.0,4.0,13.6,1.0,3.0,38.3,1.0,3.0,65.6,1.0,3.0,1664.0
2.0,5.0,72.3,1.0,5.0,170.7,1.0,5.0,13.3,1.0,5.0,38.2,1.0,4.0,92.4,1.0,4.0,1888.0
2.0,6.0,480.4,1.0,6.0,478.7,1.0,6.0,222.5,1.0,6.0,311.3,1.0,6.0,514.5,1.0,5.0,1924.0
3.0,2.0,22.1,3.0,1.0,170.8,2.0,1.0,94.1,2.0,1.0,181.0,2.0,1.0,338.6,2.0,1.0,1015.0
3.0,4.0,9.8,3.0,4.0,232.0,2.0,4.0,125.6,2.0,3.0,200.4,2.0,3.0,294.8,2.0,3.0,2537.0
3.0,5.0,11.3,3.0,5.0,259.7,2.0,5.0,106.9,2.0,5.0,169.0,2.0,4.0,363.8,2.0,4.0,3593.0
3.0,6.0,263.6,3.0,6.0,1586.0,2.0,6.0,750.4,2.0,6.0,740.9,2.0,6.0,1434.0,2.0,5.0,2602.0
4.0,2.0,47.2,4.0,1.0,342.3,4.0,1.0,23.9,3.0,1.0,44.1,3.0,1.0,77.9,3.0,1.0,1630.0
4.0,3.0,16.9,4.0,3.0,288.7,4.0,2.0,76.7,3.0,2.0,114.7,3.0,2.0,192.1,3.0,2.0,2942.0
4.0,5.0,26.3,4.0,5.0,409.2,4.0,5.0,20.6,3.0,5.0,37.2,3.0,4.0,76.8,3.0,4.0,2602.0
4.0,6.0,292.9,4.0,6.0,2061.0,4.0,6.0,289.8,3.0,6.0,378.7,3.0,6.0,519.8,3.0,5.0,2255.0
5.0,2.0,66.1,5.0,1.0,429.6,5.0,1.0,25.5,5.0,1.0,34.3,4.0,1.0,76.6,4.0,1.0,2255.0
5.0,3.0,26.1,5.0,3.0,394.9,5.0,2.0,82.9,5.0,2.0,72.7,4.0,2.0,144.3,4.0,2.0,3440.0
5.0,4.0,40.6,5.0,4.0,506.2,5.0,4.0,27.7,5.0,3.0,33.0,4.0,3.0,66.5,4.0,3.0,1617.0
5.0,6.0,459.2,5.0,6.0,1906.0,5.0,6.0,280.2,5.0,6.0,189.3,4.0,6.0,356.4,4.0,5.0,1650.0
6.0,2.0,837.1,6.0,1.0,1237.0,6.0,1.0,939.8,6.0,1.0,740.9,6.0,1.0,1163.0,5.0,1.0,2762.0
6.0,3.0,873.1,6.0,3.0,2859.0,6.0,2.0,1194.0,6.0,2.0,1027.0,6.0,2.0,1390.0,5.0,2.0,3099.0
6.0,4.0,746.3,6.0,4.0,2879.0,6.0,4.0,1076.0,6.0,3.0,749.1,6.0,3.0,1065.0,5.0,3.0,2963.0
6.0,5.0,939.8,6.0,5.0,2839.0,6.0,5.0,813.6,6.0,5.0,557.7,6.0,4.0,884.5,5.0,4.0,1698.0
