1,藤原 碧生,藤原 碧生.1,2,坂本 雄紀,坂本 雄紀.1,3,嘉手苅　徹哉,嘉手苅　徹哉.1,4,加藤 優弥,加藤 優弥.1,5,生方 靖亜,生方 靖亜.1,6,山本　稔太朗,山本　稔太朗.1
2.0,3.0,16.3,1.0,3.0,235.1,1.0,2.0,502.6,1.0,2.0,74.6,1.0,2.0,213.7,1.0,2.0,490.3
2.0,4.0,4.0,1.0,4.0,65.6,1.0,4.0,568.3,1.0,3.0,371.8,1.0,3.0,682.0,1.0,3.0,1515.0
2.0,5.0,7.8,1.0,5.0,116.6,1.0,5.0,642.6,1.0,5.0,96.4,1.0,4.0,254.7,1.0,4.0,674.3
2.0,6.0,10.8,1.0,6.0,139.7,1.0,6.0,880.0,1.0,6.0,125.7,1.0,6.0,270.1,1.0,5.0,802.4
3.0,2.0,36.7,3.0,1.0,645.3,2.0,1.0,771.4,2.0,1.0,177.3,2.0,1.0,425.0,2.0,1.0,740.9
3.0,4.0,40.7,3.0,4.0,1091.0,2.0,4.0,940.7,2.0,3.0,1158.0,2.0,3.0,2420.0,2.0,3.0,2971.0
3.0,5.0,52.8,3.0,5.0,1493.0,2.0,5.0,1648.0,2.0,5.0,410.5,2.0,4.0,761.6,2.0,4.0,1667.0
3.0,6.0,76.3,3.0,6.0,1829.0,2.0,6.0,1887.0,2.0,6.0,500.9,2.0,6.0,649.5,2.0,5.0,1841.0
4.0,2.0,7.2,4.0,1.0,182.6,4.0,1.0,789.7,3.0,1.0,968.0,3.0,1.0,1408.0,3.0,1.0,2703.0
4.0,3.0,30.7,4.0,3.0,1010.0,4.0,2.0,1333.0,3.0,2.0,1923.0,3.0,2.0,3226.0,3.0,2.0,5174.0
4.0,5.0,12.7,4.0,5.0,422.6,4.0,5.0,1596.0,3.0,5.0,1875.0,3.0,4.0,3093.0,3.0,4.0,3449.0
4.0,6.0,16.9,4.0,6.0,584.9,4.0,6.0,1240.0,3.0,6.0,1974.0,3.0,6.0,2728.0,3.0,5.0,5358.0
5.0,2.0,17.4,5.0,1.0,379.8,5.0,1.0,1195.0,5.0,1.0,146.4,4.0,1.0,359.3,4.0,1.0,1000.0
5.0,3.0,64.0,5.0,3.0,1515.0,5.0,2.0,1923.0,5.0,2.0,297.1,4.0,2.0,696.2,4.0,2.0,1911.0
5.0,4.0,23.7,5.0,4.0,696.2,5.0,4.0,1923.0,5.0,3.0,1056.0,4.0,3.0,1796.0,4.0,3.0,4001.0
5.0,6.0,29.3,5.0,6.0,920.5,5.0,6.0,2543.0,5.0,6.0,212.5,4.0,6.0,467.4,4.0,5.0,1923.0
6.0,2.0,37.8,6.0,1.0,456.7,6.0,1.0,1863.0,6.0,1.0,286.6,6.0,1.0,541.6,5.0,1.0,1240.0
6.0,3.0,144.0,6.0,3.0,1961.0,6.0,2.0,3371.0,6.0,2.0,543.6,6.0,2.0,724.8,5.0,2.0,2041.0
6.0,4.0,49.3,6.0,4.0,895.8,6.0,4.0,2728.0,6.0,3.0,1639.0,6.0,3.0,1829.0,5.0,3.0,4349.0
6.0,5.0,59.2,6.0,5.0,1250.0,6.0,5.0,2381.0,6.0,5.0,425.0,6.0,4.0,641.2,5.0,4.0,1829.0
