first,second,third,odds
4,1088,3,330.0
5,1530,4,812.1
3,1,1153,2.0
5,1016,4,424.4
4,1,1016,3.0
5,1,1730,4.0
5,1,1206,4.0
3,1131,2,730.5
6,1,1384,6.0
