1,金子 萌,金子 萌.1,2,藤田 竜弘,藤田 竜弘.1,3,鈴木 孝明,鈴木 孝明.1,4,上野 俊樹,上野 俊樹.1,5,中嶋 達也,中嶋 達也.1,6,久富 政弘,久富 政弘.1
2.0,3.0,5.2,1.0,3.0,25.8,1.0,2.0,19.5,1.0,2.0,388.7,1.0,2.0,113.6,1.0,2.0,623.1
2.0,4.0,37.2,1.0,4.0,120.0,1.0,4.0,59.1,1.0,3.0,362.4,1.0,3.0,113.8,1.0,3.0,583.6
2.0,5.0,17.6,1.0,5.0,50.8,1.0,5.0,24.8,1.0,5.0,419.1,1.0,4.0,340.8,1.0,4.0,1383.0
2.0,6.0,30.7,1.0,6.0,90.9,1.0,6.0,37.4,1.0,6.0,476.6,1.0,6.0,177.9,1.0,5.0,832.9
3.0,2.0,5.5,3.0,1.0,46.2,2.0,1.0,38.0,2.0,1.0,643.4,2.0,1.0,190.7,2.0,1.0,881.3
3.0,4.0,25.2,3.0,4.0,265.3,2.0,4.0,167.7,2.0,3.0,971.1,2.0,3.0,320.9,2.0,3.0,1133.0
3.0,5.0,10.6,3.0,5.0,121.0,2.0,5.0,89.8,2.0,5.0,946.2,2.0,4.0,745.9,2.0,4.0,2318.0
3.0,6.0,16.8,3.0,6.0,171.0,2.0,6.0,119.4,2.0,6.0,1164.0,2.0,6.0,390.5,2.0,5.0,1414.0
4.0,2.0,89.6,4.0,1.0,327.8,4.0,1.0,173.7,3.0,1.0,544.1,3.0,1.0,176.8,3.0,1.0,541.8
4.0,3.0,86.3,4.0,3.0,467.9,4.0,2.0,266.4,3.0,2.0,827.5,3.0,2.0,324.5,3.0,2.0,1186.0
4.0,5.0,143.2,4.0,5.0,434.0,4.0,5.0,267.8,3.0,5.0,932.4,3.0,4.0,654.8,3.0,4.0,2237.0
4.0,6.0,177.8,4.0,6.0,680.8,4.0,6.0,315.4,3.0,6.0,1009.0,3.0,6.0,363.0,3.0,5.0,1197.0
5.0,2.0,42.8,5.0,1.0,144.8,5.0,1.0,65.1,5.0,1.0,484.6,4.0,1.0,697.4,4.0,1.0,1799.0
5.0,3.0,37.0,5.0,3.0,213.2,5.0,2.0,108.8,5.0,2.0,561.9,4.0,2.0,881.3,4.0,2.0,2339.0
5.0,4.0,158.3,5.0,4.0,479.2,5.0,4.0,226.5,5.0,3.0,903.0,4.0,3.0,1033.0,4.0,3.0,2797.0
5.0,6.0,86.5,5.0,6.0,287.5,5.0,6.0,140.4,5.0,6.0,558.2,4.0,6.0,852.2,4.0,5.0,2859.0
6.0,2.0,92.4,6.0,1.0,354.5,6.0,1.0,141.3,6.0,1.0,791.9,6.0,1.0,302.0,5.0,1.0,878.3
6.0,3.0,77.0,6.0,3.0,451.5,6.0,2.0,273.5,6.0,2.0,1513.0,6.0,2.0,446.0,5.0,2.0,1368.0
6.0,4.0,291.8,6.0,4.0,1513.0,6.0,4.0,498.7,6.0,3.0,1159.0,6.0,3.0,429.6,5.0,3.0,1231.0
6.0,5.0,162.3,6.0,5.0,452.3,6.0,5.0,252.3,6.0,5.0,1029.0,6.0,4.0,899.8,5.0,4.0,2010.0
