1,青木　幸太郎,青木　幸太郎.1,2,村上 純,村上 純.1,3,乙藤 智史,乙藤 智史.1,4,杉山 太陽,杉山 太陽.1,5,長尾　京志郎,長尾　京志郎.1,6,原田 雄次,原田 雄次.1
2.0,3.0,7.0,1.0,3.0,38.4,1.0,2.0,19.7,1.0,2.0,402.5,1.0,2.0,217.7,1.0,2.0,1608.0
2.0,4.0,52.3,1.0,4.0,202.6,1.0,4.0,44.8,1.0,3.0,224.7,1.0,3.0,145.4,1.0,3.0,807.6
2.0,5.0,20.1,1.0,5.0,99.4,1.0,5.0,15.3,1.0,5.0,338.7,1.0,4.0,638.9,1.0,4.0,3032.0
2.0,6.0,49.6,1.0,6.0,257.2,1.0,6.0,31.6,1.0,6.0,526.9,1.0,6.0,327.6,1.0,5.0,1325.0
3.0,2.0,5.1,3.0,1.0,64.2,2.0,1.0,50.1,2.0,1.0,889.2,2.0,1.0,468.2,2.0,1.0,2623.0
3.0,4.0,18.3,3.0,4.0,525.4,2.0,4.0,321.3,2.0,3.0,1307.0,2.0,3.0,527.7,2.0,3.0,2740.0
3.0,5.0,5.9,3.0,5.0,201.2,2.0,5.0,118.6,2.0,5.0,1266.0,2.0,4.0,1462.0,2.0,4.0,4932.0
3.0,6.0,13.4,3.0,6.0,438.8,2.0,6.0,239.2,2.0,6.0,1522.0,2.0,6.0,1091.0,2.0,5.0,4110.0
4.0,2.0,92.5,4.0,1.0,667.7,4.0,1.0,136.0,3.0,1.0,332.6,3.0,1.0,204.3,3.0,1.0,1062.0
4.0,3.0,61.0,4.0,3.0,1141.0,4.0,2.0,323.6,3.0,2.0,927.1,3.0,2.0,381.7,3.0,2.0,2201.0
4.0,5.0,103.8,4.0,5.0,1127.0,4.0,5.0,195.5,3.0,5.0,658.2,3.0,4.0,960.8,3.0,4.0,3489.0
4.0,6.0,144.8,4.0,6.0,1439.0,4.0,6.0,314.5,3.0,6.0,900.0,3.0,6.0,427.6,3.0,5.0,1385.0
5.0,2.0,39.7,5.0,1.0,280.6,5.0,1.0,52.9,5.0,1.0,501.2,4.0,1.0,922.5,4.0,1.0,3662.0
5.0,3.0,23.5,5.0,3.0,385.3,5.0,2.0,109.3,5.0,2.0,856.3,4.0,2.0,1528.0,4.0,2.0,4804.0
5.0,4.0,127.9,5.0,4.0,1411.0,5.0,4.0,207.2,5.0,3.0,658.2,4.0,3.0,1411.0,4.0,3.0,4456.0
5.0,6.0,62.0,5.0,6.0,1110.0,5.0,6.0,115.0,5.0,6.0,701.9,4.0,6.0,1189.0,4.0,5.0,3699.0
6.0,2.0,139.0,6.0,1.0,620.6,6.0,1.0,175.3,6.0,1.0,915.6,6.0,1.0,695.3,5.0,1.0,1547.0
6.0,3.0,73.9,6.0,3.0,1330.0,6.0,2.0,416.1,6.0,2.0,1658.0,6.0,2.0,978.6,5.0,2.0,2241.0
6.0,4.0,321.6,6.0,4.0,2215.0,6.0,4.0,608.4,6.0,3.0,1411.0,6.0,3.0,697.9,5.0,3.0,1401.0
6.0,5.0,120.6,6.0,5.0,1926.0,6.0,5.0,244.0,6.0,5.0,1316.0,6.0,4.0,1422.0,5.0,4.0,2935.0
