1,宮嵜　隆太郎,宮嵜　隆太郎.1,2,木山 誠一,木山 誠一.1,3,深川 和仁,深川 和仁.1,4,小野 信樹,小野 信樹.1,5,渡邊 哲也,渡邊 哲也.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,10.5,1.0,3.0,33.9,1.0,2.0,27.3,1.0,2.0,44.0,1.0,2.0,376.9,1.0,2.0,672.3
2.0,4.0,12.1,1.0,4.0,30.2,1.0,4.0,24.9,1.0,3.0,46.9,1.0,3.0,277.2,1.0,3.0,643.5
2.0,5.0,39.3,1.0,5.0,90.0,1.0,5.0,40.5,1.0,5.0,52.5,1.0,4.0,255.2,1.0,4.0,744.6
2.0,6.0,139.4,1.0,6.0,235.2,1.0,6.0,166.5,1.0,6.0,160.0,1.0,6.0,715.0,1.0,5.0,1035.0
3.0,2.0,10.1,3.0,1.0,67.5,2.0,1.0,62.6,2.0,1.0,73.7,2.0,1.0,514.8,2.0,1.0,938.5
3.0,4.0,8.6,3.0,4.0,79.4,2.0,4.0,76.2,2.0,3.0,115.6,2.0,3.0,732.5,2.0,3.0,1287.0
3.0,5.0,22.6,3.0,5.0,184.6,2.0,5.0,162.6,2.0,5.0,125.4,2.0,4.0,612.9,2.0,4.0,1085.0
3.0,6.0,91.0,3.0,6.0,439.5,2.0,6.0,539.5,2.0,6.0,262.6,2.0,6.0,1251.0,2.0,5.0,1958.0
4.0,2.0,17.3,4.0,1.0,60.3,4.0,1.0,41.9,3.0,1.0,68.3,3.0,1.0,322.9,3.0,1.0,1269.0
4.0,3.0,15.6,4.0,3.0,84.2,4.0,2.0,65.3,3.0,2.0,107.7,3.0,2.0,657.6,3.0,2.0,1608.0
4.0,5.0,32.9,4.0,5.0,133.2,4.0,5.0,70.9,3.0,5.0,116.2,3.0,4.0,402.2,3.0,4.0,1430.0
4.0,6.0,125.3,4.0,6.0,312.8,4.0,6.0,273.0,3.0,6.0,337.4,3.0,6.0,1201.0,3.0,5.0,1958.0
5.0,2.0,84.9,5.0,1.0,249.5,5.0,1.0,97.3,5.0,1.0,69.4,4.0,1.0,240.2,4.0,1.0,1035.0
5.0,3.0,61.8,5.0,3.0,367.7,5.0,2.0,236.4,5.0,2.0,99.6,4.0,2.0,398.6,4.0,2.0,1072.0
5.0,4.0,78.6,5.0,4.0,340.0,5.0,4.0,126.0,5.0,3.0,109.7,4.0,3.0,334.9,4.0,3.0,1325.0
5.0,6.0,247.5,5.0,6.0,1098.0,5.0,6.0,509.0,5.0,6.0,186.1,4.0,6.0,648.2,4.0,5.0,1501.0
6.0,2.0,315.0,6.0,1.0,596.6,6.0,1.0,559.6,6.0,1.0,366.2,6.0,1.0,1580.0,5.0,1.0,1958.0
6.0,3.0,346.5,6.0,3.0,928.8,6.0,2.0,938.5,6.0,2.0,433.1,6.0,2.0,1958.0,5.0,2.0,2310.0
6.0,4.0,349.2,6.0,4.0,834.2,6.0,4.0,726.6,6.0,3.0,639.0,6.0,3.0,2197.0,5.0,3.0,2310.0
6.0,5.0,585.0,6.0,5.0,1287.0,6.0,5.0,1085.0,6.0,5.0,517.8,6.0,4.0,1365.0,5.0,4.0,1802.0
