1,青木　幸太郎,青木　幸太郎.1,2,荒牧 凪沙,荒牧 凪沙.1,3,小池 公生,小池 公生.1,4,森 晋太郎,森 晋太郎.1,5,島田 一生,島田 一生.1,6,仲谷 颯仁,仲谷 颯仁.1
2.0,3.0,15.8,1.0,3.0,40.9,1.0,2.0,158.9,1.0,2.0,362.3,1.0,2.0,278.1,1.0,2.0,40.0
2.0,4.0,29.6,1.0,4.0,59.7,1.0,4.0,221.5,1.0,3.0,485.0,1.0,3.0,255.6,1.0,3.0,56.3
2.0,5.0,30.0,1.0,5.0,62.8,1.0,5.0,136.9,1.0,5.0,426.3,1.0,4.0,482.7,1.0,4.0,122.7
2.0,6.0,9.7,1.0,6.0,19.8,1.0,6.0,65.9,1.0,6.0,207.6,1.0,6.0,136.0,1.0,5.0,86.3
3.0,2.0,21.6,3.0,1.0,103.6,2.0,1.0,202.4,2.0,1.0,519.5,2.0,1.0,346.3,2.0,1.0,56.9
3.0,4.0,37.8,3.0,4.0,145.8,2.0,4.0,220.5,2.0,3.0,1008.0,2.0,3.0,685.8,2.0,3.0,118.5
3.0,5.0,27.8,3.0,5.0,127.7,2.0,5.0,196.6,2.0,5.0,878.3,2.0,4.0,1025.0,2.0,4.0,196.3
3.0,6.0,11.9,3.0,6.0,59.0,2.0,6.0,109.3,2.0,6.0,444.9,2.0,6.0,288.6,2.0,5.0,155.0
4.0,2.0,66.8,4.0,1.0,219.5,4.0,1.0,481.2,3.0,1.0,873.3,3.0,1.0,365.3,3.0,1.0,116.6
4.0,3.0,74.8,4.0,3.0,277.4,4.0,2.0,582.8,3.0,2.0,1226.0,3.0,2.0,886.0,3.0,2.0,160.2
4.0,5.0,104.7,4.0,5.0,325.4,4.0,5.0,690.4,3.0,5.0,1446.0,3.0,4.0,1277.0,3.0,4.0,322.3
4.0,6.0,54.0,4.0,6.0,159.7,4.0,6.0,298.7,3.0,6.0,673.7,3.0,6.0,383.6,3.0,5.0,244.2
5.0,2.0,65.7,5.0,1.0,169.9,5.0,1.0,299.0,5.0,1.0,474.5,4.0,1.0,580.6,4.0,1.0,241.5
5.0,3.0,64.5,5.0,3.0,251.8,5.0,2.0,558.3,5.0,2.0,666.4,4.0,2.0,1087.0,4.0,2.0,338.3
5.0,4.0,141.6,5.0,4.0,395.0,5.0,4.0,786.0,5.0,3.0,1161.0,4.0,3.0,1266.0,4.0,3.0,430.5
5.0,6.0,42.9,5.0,6.0,108.7,5.0,6.0,227.9,5.0,6.0,293.3,4.0,6.0,430.5,4.0,5.0,353.5
6.0,2.0,14.0,6.0,1.0,38.5,6.0,1.0,104.3,6.0,1.0,237.0,6.0,1.0,154.6,5.0,1.0,161.6
6.0,3.0,14.7,6.0,3.0,68.7,6.0,2.0,141.0,6.0,2.0,354.8,6.0,2.0,267.2,5.0,2.0,245.8
6.0,4.0,43.2,6.0,4.0,110.1,6.0,4.0,278.1,6.0,3.0,495.2,6.0,3.0,287.8,5.0,3.0,260.4
6.0,5.0,33.6,6.0,5.0,89.5,6.0,5.0,186.5,6.0,5.0,305.9,6.0,4.0,370.6,5.0,4.0,389.0
